,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,14522.65,6204.05652817574,0.03664137931034483,0.8156505048898656,0.038,0.02,0.15,12,1.6274482758620692,28000,0.375,10.5,0.1,110.4,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,19264.42,7765.75814322524,0.043303448275862085,1.6601587954956118,0.051,0.03,0.15,12,1.9233479623824459,28000,0.375,10.5,0.4,130.4727272727273,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,35872.85,14386.0479243481,0.04370072761784245,2.070530303534988,0.064,0.03,0.15,12,1.9409933565327426,28000,0.375,10.5,-0.5,131.66972477064218,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,17427.18,6204.05652817574,0.029313103448275868,0.7340854544008789,0.038,0.02,0.15,12,1.3019586206896554,28000,0.375,10.5,0,88.32000000000001,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,23117.3,7765.75814322524,0.03464275862068966,1.4941429159460506,0.051,0.03,0.15,12,1.5386783699059565,28000,0.375,10.5,0,104.37818181818184,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,43047.42,14386.0479243481,0.034960582094273954,1.863477273181489,0.064,0.03,0.15,12,1.5527946852261938,28000,0.375,10.5,0,105.33577981651374,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,17427.18,6204.05652817574,0.042071407837445576,0.101,0.038,0.02,0.15,12,2.66222351233672,28000,0.375,10.5,0,182.76923076923077,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,23117.3,7765.75814322524,0.04972075471698113,0.101,0.051,0.03,0.15,12,3.1462641509433964,28000,0.375,10.5,-0.5,216,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,42800.58,30603.9767434338,0.05017690842998095,3.3844282179849183,0.064,0.04,0.15,12,3.1751289596676475,28000,0.375,10.5,-0.1,217.98165137614677,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,17427.18,6204.05652817574,0.03365712626995646,0.09595000000000001,0.038,0,0.15,12,2.1297788098693764,28000,0.375,10.5,0,146.21538461538464,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,23117.3,7765.75814322524,0.039776603773584905,0.09595000000000001,0.051,0,0.15,12,2.517011320754717,28000,0.375,10.5,0,172.8,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,42800.58,30603.9767434338,0.04014152674398476,3.215206807085672,0.064,0,0.15,12,2.5401031677341175,28000,0.375,10.5,0,174.3853211009174,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,14522.65,6204.05652817574,0.01328099705263158,0.2442328629998188,0.039,0.02,0.15,12,0.5746585263157895,28000,0.375,10.5,0,49.62960000000001,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,19264.42,7765.75814322524,0.015022767157894742,0.4939923309152663,0.056,0.03,0.15,12,0.6500235789473686,28000,0.375,10.5,0,56.13840000000001,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,35872.85,14386.0479243481,0.01850630736842106,0.8356638512708002,0.066,0.04,0.15,12,0.8007536842105265,28000,0.375,10.5,0,69.15600000000002,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20000,1000,0.029870689655172415,0.12,0.039,0.03,0.15,12,1.3267241379310346,28000,0.375,10.5,0,90,4,-0.01449956969511509,4,0,0,0,0,0
