,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,22620.16160519512,6888.2,0.09,0.000122472217754824,0.038,0.02,0.15,14,1.56,18550,0.375,6.95625,0.7,108,4,-0.014499569695115089,4,0,0,0,0,0
2 Petrol Mid,36144,7383.7,0.09767427692985134,0.000113085375879867,0.051,0.03,0.15,14,1.74,18550,0.375,6.95625,0.1,120.3,4,-0.014499569695115089,4,0,0,0,0,0
3 Petrol Lux,53973,23695,0.136,0.000196288394621582,0.064,0.03,0.15,14,2.36,18550,0.375,6.95625,0,164,4,-0.014499569695115089,4,0,0,0,0,0
4 Adv Petrol Econ,24615.101308562105,6888.2,0.072,0.0001102249959793416,0.038,0.02,0.15,14,1.2480000000000002,18550,0.375,6.95625,0,86.4,4,-0.07400058144377691,4,0,0,0,0,0
5 Adv Petrol Mid,32337.193061532576,7383.7,0.07813942154388108,0.0001017768382918803,0.051,0.03,0.15,14,1.3920000000000001,18550,0.375,6.95625,0,96.24000000000001,4,-0.07400058144377691,4,0,0,0,0,0
6 Adv Petrol Lux,52047.898295647785,23695,0.10880000000000001,0.00017665955515942385,0.064,0.03,0.15,14,1.888,18550,0.375,6.95625,0,131.20000000000002,4,-0.07400058144377691,4,0,0,0,0,0
7 Diesel Econ,27076.611439418317,6786.1,0.05688054339622642,1e-06,0.038,0.02,0.15,14,2.31842961509434,18550,0.375,6.95625,0.5,90.19451999999998,4,-0.014499569695115089,4,0,0,0,0,0
8 Diesel Mid,39600,7399.1,0.06434028679245284,9.22073927726037e-06,0.051,0.03,0.15,14,2.7048345509433958,18550,0.375,6.95625,0,118.53449462686582,4,-0.014499569695115089,4,0,0,0,0,0
9 Diesel Lux,59370.3,24677,0.07925977358490567,2.34999637292338e-05,0.064,0.04,0.15,14,2.7301054337479242,18550,0.375,6.95625,0,203.17942581280786,4,-0.014499569695115089,4,0,0,0,0,0
10 Adv Diesel Econ,27076.611439418317,6786.1,0.04550443471698114,9.000000000000002e-07,0.038,0,0.15,14,2.0865866535849054,18550,0.375,6.95625,0,81.175068,4,-0.07400058144377691,4,0,0,0,0,0
11 Adv Diesel Mid,35570.912367685836,7399.1,0.05147222943396227,8.298665349534334e-06,0.051,0,0.15,14,2.4343510958490566,18550,0.375,6.95625,0,106.68104516417924,4,-0.07400058144377691,4,0,0,0,0,0
12 Adv Diesel Lux,57252.68812521257,24677,0.06340781886792454,2.1149967356310422e-05,0.064,0,0.15,14,2.457094890373133,18550,0.375,6.95625,0,182.86148323152707,4,-0.07400058144377691,4,0,0,0,0,0
13 CNG Econ,20000,1000,0.017112053894736842,0,0.039,0.02,0.15,14,0,18550,0.375,6.95625,0,0,4,-0.014499569695115089,4,0,0,0,0,0
14 CNG Mid,30000,1000,0.019356257684210534,0,0.056,0.03,0.15,14,0,18550,0.375,6.95625,0,0,4,-0.014499569695115089,4,0,0,0,0,0
15 CNG Lux,40000,1000,0.023844665263157903,0,0.066,0.04,0.15,14,0,18550,0.375,6.95625,0,0,4,-0.014499569695115089,4,0,0,0,0,0
16 Hybrid Econ,17307.30548297762,2169.9,0.081,3.49648868767977e-05,0.039,0.03,0.15,14,1.3168253910233267,18550,0.375,6.95625,0,89.32850605772275,4,-0.07,4,0,0,0,0,0
17 Hybrid Mid,30278,3253.3,0.086,0.0001303561702189,0.056,0.04,0.15,14,1.3983630821069863,18550,0.375,6.95625,-0.2,94.85971785053239,4,-0.07,4,0,0,0,0,0
18 Hybrid Lux,37590,5812.34250231927,0.108,0.000112307692307692,0.066,0.04,0.15,14,2.618288389455397,18550,0.375,6.95625,-0.3,177.61488489872866,4,-0.07,4,0,0,0,0,0
19 Electric Econ,25453.045919355427,5654.3,0.043890000000000005,0.00478,0.0133,0.04,0.15,12,0.63,12104,0.375,4.539,-0.3,38.7018,4,-0.23,4,18.5,150,1.05,1.00045,0.996
20 Electric Mid,43734.02317595303,8516.01856505514,0.047025,0.0022446000000000002,0.017849999999999998,0.05,0.15,12,0.67,12104,0.375,4.539,-1.1,54.1824,4,-0.23,4,50.2,150,1.05,1.00045,0.996
21 Electric Lux,65473.277851945844,22389.55196602272,0.06269999999999999,0.012,0.0224,0.06,0.15,12,0.86,12104,0.375,4.539,-1.5,67.083,4,-0.23,4,81,150,1.05,1.00045,0.996
22 PHEV Econ,36620,1000,0.066945,0.000326666666666667,0.02565,0.04,0.15,12,0.2948275862068966,18550,0.375,6.95625,-0.5,20,4,-0.23,4,11.5,150,1.05,1.00045,0.996
23 PHEV Mid,47920,6480.6,0.07234963846492568,0.000421666666666667,0.034425,0.05,0.15,12,0.44224137931034485,18550,0.375,6.95625,-0.8,30,4,-0.23,4,11.5,150,1.05,1.00045,0.996
24 PHEV Lux,74410.45,33781,0.09935,0.000516666666666667,0.0432,0.06,0.15,12,1.0918581081081082,18550,0.375,6.95625,-1,74.06756756756756,4,-0.23,4,11.5,150,1.05,1.00045,0.996
25 Hydrogen Econ,10000,1000,0,0.000611666666666667,0.046,0.04,0.15,12,0,18550,0.375,6.95625,0,0,4,-0.22,4,0,0,0,0,0
26 Hydrogen Mid,20000,1000,0,0.000706666666666667,0.065,0.05,0.15,12,0,18550,0.375,6.95625,0,0,4,-0.22,4,0,0,0,0,0
27 Hydrogen Lux,59021.02,1596.2,0,0.000801666666666667,0.08,0.06,0.15,12,0,18550,0.375,6.95625,0,0,4,-0.22,4,0,0,0,0,0
28 Bikes Econ,1504,404,0.0511393103448276,2.38e-05,0.03,0.03,0.15,7,1.4104551724137935,4000,0.55,2.2,0,47.50653599999999,2,-0.01,3,0,0,0,0,0
29 Bikes Lux,5974,5360,0.0639241379310345,3.74e-05,0.03,0.03,0.15,7,1.763068965517242,4000,0.55,2.2,0,55.46217599999999,2,-0.01,3,0,0,0,0,0
30 Bikes Adv Econ,1504,404,0.04091144827586208,0,0.03,0.03,0.15,7,1.1283641379310347,4000,0.55,2.2,0,0,2,-0.01,3,0,0,0,0,0
31 Bikes Adv Lux,5974,5360,0.0511393103448276,0,0.03,0.03,0.15,7,1.4104551724137935,4000,0.55,2.2,0,0,2,-0.01,3,0,0,0,0,0
