,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,16927.2890717672,6504.70324566147,0.06964882943143812,0.01267241379310345,0.038,0.02,0.15,12,1.7014214046822742,12104,0.375,4.539,0.45,119,4,-0.014499569695115089,4
2 Petrol  Mid,31794.6945022333,10901.4315622838,0.07257525083612039,0.013517241379310345,0.051,0.03,0.15,12,1.7729096989966555,12104,0.375,4.539,0.2,124,4,-0.014499569695115089,4
3 Petrol Lux,40593.663,28669.0214613536,0.08779264214046821,0.05660344827586207,0.064,0.03,0.15,12,2.144648829431438,12104,0.375,4.539,0.4,150,4,-0.014499569695115089,4
4 Adv Petrol Econ,20312.74688612064,6504.70324566147,0.05571906354515049,0.01267241379310345,0.038,0.02,0.15,12,1.3611371237458192,12104,0.375,4.539,0.7116279999999997,95.2,4,-0.07400058144377691,4
5 Adv Petrol Mid,38153.63340267996,10901.4315622838,0.05806020066889632,0.013517241379310345,0.051,0.03,0.15,12,1.4183277591973245,12104,0.375,4.539,0.24062000000000028,99.2,4,-0.07400058144377691,4
6 Adv Petrol Lux,48712.395599999996,28669.0214613536,0.07023411371237458,0.05660344827586207,0.064,0.03,0.15,12,1.7157190635451505,12104,0.375,4.539,-0.5844959999999999,120,4,-0.07400058144377691,4
7 Diesel Econ,22931.2350944167,6504.70324566147,0.04772727272727272,0.009958490566037734,0.038,0.02,0.15,12,1.315909090909091,12104,0.375,4.539,0.8,90,4,-0.014499569695115089,4
8 Diesel Mid,32758.3172600623,10901.4315622838,0.06363636363636364,0.014554716981132072,0.051,0.03,0.15,12,1.7545454545454546,12104,0.375,4.539,0.9,120,4,-0.014499569695115089,4
9 Diesel Lux,38482.9459413627,16497.4614286195,0.07424242424242425,0.025279245283018864,0.064,0.04,0.15,12,2.0469696969696973,12104,0.375,4.539,1,140,4,-0.014499569695115089,4
10 Adv Diesel Econ,27517.48211330004,6504.70324566147,0.038181818181818185,0.009958490566037734,0.038,0,0.15,12,1.0527272727272727,12104,0.375,4.539,0.3999999999999999,72,4,-0.07400058144377691,4
11 Adv Diesel Mid,39309.98071207476,10901.4315622838,0.05090909090909091,0.014554716981132072,0.051,0,0.15,12,1.4036363636363638,12104,0.375,4.539,0.08000000000000007,96,4,-0.07400058144377691,4
12 Adv Diesel Lux,46179.53512963524,28669.0214613536,0.05939393939393939,0.025279245283018864,0.064,0,0.15,12,1.6375757575757575,12104,0.375,4.539,-0.41457199999999994,112,4,-0.07400058144377691,4
13 LPG Econ,22931.2350944167,6504.70324566147,0.038181818181818185,0.055200000000000006,0.039,0.02,0.15,12,0.932727272727273,12104,0.375,4.539,0.418604,72,4,-0.014499569695115089,4
14 LPG Mid,32758.3172600623,10901.4315622838,0.05090909090909091,0.069,0.056,0.03,0.15,12,1.2436363636363639,12104,0.375,4.539,0.05457200000000029,96,4,-0.014499569695115089,4
15 LPG Lux,51656.4809246409,28669.0214613536,0.05939393939393939,0.07590000000000001,0.066,0.04,0.15,12,1.450909090909091,12104,0.375,4.539,-0.96,112,4,-0.014499569695115089,4
16 Hybrid Econ,25224.358603858374,6504.70324566147,0.026515151515151512,0.003379310344827586,0.039,0.03,0.15,12,0.6477272727272728,12104,0.375,4.539,1,50,4,-0.15200309344504995,4
17 Hybrid Mid,36034.14898606853,10901.4315622838,0.037121212121212124,0.009293103448275861,0.056,0.04,0.15,12,0.906818181818182,12104,0.375,4.539,0.8,70,4,-0.15200309344504995,4
18 Hybrid Lux,47767.3070858958,10485.1854390857,0.05992424242424242,0.016896551724137933,0.066,0.04,0.15,12,1.4638636363636366,12104,0.375,4.539,0.1,113,4,-0.15200309344504995,4
19 Electric Econ,22931.2350944167,294.004148012157,0.030000000000000002,0,0.046,0.04,0.15,12,0.54,12104,0.375,4.539,0,22.437167942583734,4,-0.15200309344504995,4
20 Electric Mid,32758.3172600623,1288.68387826157,0.042,0,0.065,0.05,0.15,12,0.756,12104,0.375,4.539,0,31.412035119617226,4,-0.15200309344504995,4
21 Electric Lux,51656.4809246409,1288.68387826157,0.052000000000000005,0,0.08,0.06,0.15,12,0.936,12104,0.375,4.539,-0.6,38.89109110047848,4,-0.15200309344504995,4
22 motorcycles Econ,3808,1326,0.055999999999999994,0.0031258620689655174,0.03,0.03,0.15,7,1.368,6052,0.55,3.3286000000000002,1.472868,50,2,-0.014499569695115089,3
23 motorcycles Lux,14932,5760,0.07,0.03945344827586208,0.03,0.03,0.15,7,1.71,6052,0.55,3.3286000000000002,0.20465199999999983,70,2,-0.014499569695115089,3
24 Adv motorcycles Econ,3808,1326,0.04479999999999999,0.09462068965517241,0.03,0.03,0.15,7,1.0944,6052,0.55,3.3286000000000002,1.472868,50,2,-0.014499569695115089,3
25 Adv motorcycles Lux,14932,5760,0.055999999999999994,0.09462068965517241,0.03,0.03,0.15,7,1.368,6052,0.55,3.3286000000000002,0.20465199999999983,70,2,-0.014499569695115089,3
