,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,14583.59,23503,0.07108364137931035,0.39699734442212214,0.038,0.02,0.15,12,2.0250879375758783,10000,0.375,8.866875,0.5,137.37438640865605,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,19130.26,4864.4,0.07520486815415824,0.7949625241976758,0.051,0.03,0.15,12,2.0615529073942778,10000,0.375,8.866875,0.45,139.84803348405623,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,36023.62,14482,0.08523218390804599,1.0560241921750955,0.064,0.03,0.15,12,2.8346138016636444,10000,0.375,8.866875,-0.25,192.2895912239665,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,14583.59,23503,0.06238995862068966,0.35729760997990995,0.038,0.02,0.15,12,1.8225791438182901,10000,0.375,8.866875,0,123.63694776779043,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,19130.26,4864.4,0.07057224827586209,0.7154662717779082,0.051,0.03,0.15,12,1.8553976166548494,10000,0.375,8.866875,0,125.8632301356506,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,36023.62,14482,0.0869368275862069,0.9504217729575859,0.064,0.03,0.15,12,2.5511524214972803,10000,0.375,8.866875,0,173.06063210156987,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,15523.41,2872.35341254385,0.05688054339622642,0.10200000000000001,0.038,0.02,0.15,12,2.31842961509434,10000,0.375,8.866875,0,159.16680000000002,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,25584.64,3746.18407830755,0.06434028679245284,0.10200000000000001,0.051,0.03,0.15,12,2.7048345509433958,10000,0.375,8.866875,0,185.69459999999998,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,33589.37,15787.1067762675,0.07925977358490567,0.15104245377825307,0.064,0.04,0.15,12,2.7301054337479242,10000,0.375,8.866875,-0.5,187.42951811999998,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,18628.09,2872.35341254385,0.04550443471698114,0.0918,0.038,0,0.15,12,2.0865866535849054,10000,0.375,8.866875,0,143.25011999999998,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,30701.57,3746.18407830755,0.05147222943396227,0.0918,0.051,0,0.15,12,2.4343510958490566,10000,0.375,8.866875,0,167.12514,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,40307.25,15787.1067762675,0.06340781886792454,0.13593820840042775,0.064,0,0.15,12,2.457094890373133,10000,0.375,8.866875,0,168.68656630800004,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,15523.41,2872.35341254385,0.017112053894736842,0,0.039,0.02,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,25584.64,3746.18407830755,0.019356257684210534,0,0.056,0.03,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,33589.37,15787.1067762675,0.023844665263157903,0,0.066,0.04,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20265.57,719.7491,0.04774454634119664,0.011200000000000002,0.039,0.03,0.15,12,1.3168253910233267,10000,0.375,8.866875,0,89.32850605772275,4,-0.01449956969511509,4,0,0,0,0,0
17 Hybrid Mid,25620.44,4419.4,0.050700883678732836,0.011200000000000002,0.056,0.04,0.15,12,1.3983630821069863,10000,0.375,8.866875,0,94.85971785053239,4,-0.0144995696951151,4,0,0,0,0,0
18 Hybrid Lux,37338.88,13422.7486389078,0.09493209365276878,0.011200000000000002,0.066,0.04,0.15,12,2.618288389455397,10000,0.375,8.866875,-0.6,177.61488489872866,4,-0.0144995696951151,4,0,0,0,0,0
19 Electric Econ,30909.71620398252,12517,0.017499999999999998,0,0.046,0.04,0.15,12,0.63,10000,0.375,8.866875,-0.2,38.7018,4,-0.23,4,11,150,1.05,1.00045,0.996
20 Electric Mid,57587.75755601297,397.4819,0.018611111111111113,0,0.065,0.05,0.15,12,0.67,10000,0.375,8.866875,-0.4,54.1824,4,-0.23,4,41.9,150,1.05,1.00045,0.996
21 Electric Lux,60000,300,0.024166666666666666,0,0.08,0.06,0.15,12,0.86,10000,0.375,8.866875,-1.3,67.083,4,-0.23,4,65.58,150,1.05,1.00045,0.996
22 PHEV Econ,36620,1000,0.010689655172413793,0.39699734442212214,0.046,0.04,0.15,12,0.2948275862068966,10000,0.375,8.866875,-0.1,20,4,-0.23,4,10,150,1.05,1.00045,0.996
23 PHEV Mid,38100.44,6480.6,0.01603448275862069,0.7949625241976758,0.065,0.05,0.15,12,0.44224137931034485,10000,0.375,8.866875,-0.3,30,4,-0.23,4,10,150,1.05,1.00045,0.996
24 PHEV Lux,74410.45,33781,0.039587837837837835,1.0560241921750955,0.08,0.06,0.15,12,1.0918581081081082,10000,0.375,8.866875,-0.5,74.06756756756756,4,-0.23,4,10,150,1.05,1.00045,0.996
25 Hydrogen Econ,10000,1000,0,0,0.046,0.04,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.23,4,0,0,0,0,0
26 Hydrogen Mid,20000,1000,0,0,0.065,0.05,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.23,4,0,0,0,0,0
27 Hydrogen Lux,59021.02,1596.2,0,0,0.08,0.06,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.23,4,0,0,0,0,0
28 Bikes Econ,4516,2292,0.0511393103448276,0.07615738421751388,0.3,0.03,0.15,7,1.4104551724137935,10000,0.55,2.75,0,95.68,2,-0.0144995696951151,3,0,0,0,0,0
29 Bikes Lux,12357,4541,0.0639241379310345,0.193921127265572,0.3,0.03,0.15,7,1.763068965517242,10000,0.55,2.75,0,119.60000000000002,2,-0.0144995696951151,3,0,0,0,0,0
30 Bikes Adv Econ,4516,2292,0.04091144827586208,0,0.3,0.03,0.15,7,1.1283641379310347,10000,0.55,2.75,0,76.54400000000001,2,-0.0144995696951151,3,0,0,0,0,0
31 Bikes Adv Lux,12357,4541,0.0511393103448276,0,0.3,0.03,0.15,7,1.4104551724137935,10000,0.55,2.75,0,95.68,2,-0.0144995696951151,3,0,0,0,0,0
