,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,23354.217443873895,3779.1596684949063,0.073,0.0042,0.038,0.02,0.15,11,2.53719512195122,12485,0.375,4.681875,0.3,175.82762195121953,4,-0.014499569695115089,4,0,0,0,0,0
2 Petrol Mid,26047.04127022041,3453.8399649586577,0.075,0.0061,0.051,0.03,0.15,11,2.606707317073171,12485,0.375,4.681875,0.1,180.64481707317074,4,-0.014499569695115089,4,0,0,0,0,0
3 Petrol Lux,40102.893102142305,14734.184620550563,0.092,0.0079,0.064,0.03,0.15,11,3.1975609756097563,12485,0.375,4.681875,-0.25,221.5909756097561,4,-0.014499569695115089,4,0,0,0,0,0
4 Adv Petrol Econ,28025.060932648674,2458.9,0.0584,0.0042,0.038,0.02,0.15,11,2.029756097560976,12485,0.375,4.681875,0,140.66209756097564,4,-0.07400058144377691,4,0,0,0,0,0
5 Adv Petrol Mid,31256.449524264488,3611,0.06,0.0061,0.051,0.03,0.15,11,2.0853658536585367,12485,0.375,4.681875,0,144.5158536585366,4,-0.07400058144377691,4,0,0,0,0,0
6 Adv Petrol Lux,48123.471722570765,12775,0.0736,0.0079,0.064,0.03,0.15,11,2.5580487804878054,12485,0.375,4.681875,0,177.27278048780488,4,-0.07400058144377691,4,0,0,0,0,0
7 Diesel Econ,23354.217443873895,2458.9,0.04590611320754717,0.0042,0.038,0.02,0.15,11,2.7687124528301887,12485,0.375,4.681875,0,190.07999999999998,4,-0.014499569695115089,4,0,0,0,0,0
8 Diesel Mid,26047.04127022041,3611,0.048201418867924534,0.0061,0.051,0.03,0.15,11,2.9071480754716985,12485,0.375,4.681875,0,199.584,4,-0.014499569695115089,4,0,0,0,0,0
9 Diesel Lux,39857,12775,0.057382641509433965,0.0079,0.064,0.04,0.15,11,3.4608905660377363,12485,0.375,4.681875,0,237.6,4,-0.014499569695115089,4,0,0,0,0,0
10 Adv Diesel Econ,28025.060932648674,2458.9,0.03672489056603774,0.00042,0.038,0.02,0.15,11,2.2149699622641514,12485,0.375,4.681875,0,152.06400000000002,4,-0.07400058144377691,4,0,0,0,0,0
11 Adv Diesel Mid,31256.449524264488,3611,0.03856113509433962,0.0061,0.051,0.03,0.15,11,2.3257184603773586,12485,0.375,4.681875,0,159.6672,4,-0.07400058144377691,4,0,0,0,0,0
12 Adv Diesel Lux,47828.4,12775,0.04590611320754717,0.0079,0.064,0.03,0.15,11,2.7687124528301887,12485,0.375,4.681875,0,190.07999999999998,4,-0.07400058144377691,4,0,0,0,0,0
13 CNG Econ,17938.84,2283.82295486209,0.011630409356725149,0.00042,0.039,0.02,0.15,11,0.5233684210526317,12485,0.375,4.681875,0,45.2,4,-0.014499569695115089,4,0,0,0,0,0
14 CNG Mid,20749.23,4391.19518627269,0.013665730994152048,0.0061,0.056,0.03,0.15,11,0.6149578947368421,12485,0.375,4.681875,0,53.11,4,-0.014499569695115089,4,0,0,0,0,0
