,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,17938.84,2283.82295486209,0.04833371865110499,0.05797701056633251,0.038,0.02,0.15,10,1.8784240657588531,13117,0.375,4.918875,0.47999999999999976,127.42525826200405,4,-0.014499569695115089,4,0,0,0,0,0
2 Petrol Mid,20749.23,4391.19518627269,0.058239571920831006,0.0776108819930007,0.051,0.03,0.15,10,2.2634015451050233,13117,0.375,4.918875,0.30000000000000027,153.54068960946356,4,-0.014499569695115089,4,0,0,0,0,0
3 Petrol Lux,29743.96,15587.9227900628,0.07630984777408334,0.17317113699961847,0.064,0.03,0.15,10,2.965678174856421,13117,0.375,4.918875,0.06000000000000005,201.18050776803787,4,-0.014499569695115089,4,0,0,0,0,0
4 Adv Petrol Econ,17938.84,2283.82295486209,0.04591703271854973,0.05797701056633251,0.038,0.02,0.15,10,1.78450286247091,13117,0.375,4.918875,0.47999999999999976,121.05399534890384,4,-0.07400058144377691,4,0,0,0,0,0
5 Adv Petrol Mid,20749.23,4391.19518627269,0.05532759332478946,0.0776108819930007,0.051,0.03,0.15,10,2.150231467849772,13117,0.375,4.918875,0.30000000000000027,145.86365512899036,4,-0.07400058144377691,4,0,0,0,0,0
6 Adv Petrol Lux,29743.96,15587.9227900628,0.07249435538537917,0.17317113699961847,0.064,0.03,0.15,10,2.8173942661135998,13117,0.375,4.918875,0.06000000000000005,191.12148237963598,4,-0.07400058144377691,4,0,0,0,0,0
7 Diesel Econ,21526.61,2283.82295486209,0.03312790098113209,0.0006500000000000001,0.038,0.02,0.15,10,1.4869034626415099,13117,0.375,4.918875,-0.1200000000000001,102.08016000000002,4,-0.014499569695115089,4,0,0,0,0,0
8 Diesel Mid,24899.07,4391.19518627269,0.03366656603773585,0.0001,0.051,0.03,0.15,10,1.5110807547169813,13117,0.375,4.918875,0.2,103.74,4,-0.014499569695115089,4,0,0,0,0,0
9 Diesel Lux,35692.76,15587.9227900628,0.03607132075471697,0.001,0.064,0.04,0.15,10,1.6190150943396227,13117,0.375,4.918875,-0.1,111.15,4,-0.014499569695115089,4,0,0,0,0,0
10 Adv Diesel Econ,17938.84,2283.82295486209,0.028857056603773586,0.001,0.038,0,0.15,10,1.2952120754716983,13117,0.375,4.918875,-0.1200000000000001,88.92,4,-0.07400058144377691,4,0,0,0,0,0
11 Adv Diesel Mid,20749.23,4391.19518627269,0.06032385254317064,0.0776108819930007,0.051,0,0.15,10,2.7075589629841708,13117,0.375,4.918875,-0.23999999999999988,185.88163865046766,4,-0.07400058144377691,4,0,0,0,0,0
12 Adv Diesel Lux,29743.96,15587.9227900628,0.05498861319829995,0.17317113699961847,0.064,0,0.15,10,2.4680935691329977,13117,0.375,4.918875,-0.23999999999999988,169.44165694824986,4,-0.07400058144377691,4,0,0,0,0,0
13 CNG Econ,17938.84,2283.82295486209,0.02321162105263158,0.001,0.039,0.02,0.15,10,0.7794947368421052,13117,0.375,4.918875,0,67.32,4,-0.014499569695115089,4,0,0,0,0,0
14 CNG Mid,20749.23,4391.19518627269,0.025145922807017548,0.001,0.056,0.03,0.15,10,0.8444526315789475,13117,0.375,4.918875,0,72.93,4,-0.014499569695115089,4,0,0,0,0,0
15 CNG Lux,29743.96,15587.9227900628,0.0386860350877193,0.001,0.066,0.04,0.15,10,1.299157894736842,13117,0.375,4.918875,0,112.2,4,-0.014499569695115089,4,0,0,0,0,0
16 Hybrid Econ,20000,1000,0.03413793103448276,0.0099,0.039,0.03,0.15,10,1.3267241379310346,13117,0.375,4.918875,0.4,90,4,-0.07,4,0,0,0,0,0
