RTI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Belgium (BE),4966.02734375,5020.029296875,5064.52294921875,5079.84619140625,5123.6015625,5192.373046875,5262.15966796875,5352.9931640625,5403.39453125,5539.64501953125,5655.31005859375,5728.7890625,5749.47021484375,5770.2255859375,5791.05615234375,5811.9619140625,5832.94287109375,5854.0,5911.2958984375,5966.75732421875,6018.52783203125,6066.955078125,6113.0029296875,6158.0732421875,6203.21484375,6248.79345703125,6294.56201171875,6340.33544921875,6385.75390625,6430.52880859375,6474.671875,6518.3212890625,6561.43115234375,6603.9296875,6645.77587890625,6686.927734375,6727.3603515625,6767.08251953125,6806.09619140625,6844.3955078125,6881.986328125,6918.828125,6954.8486328125,6989.97509765625,7024.10400390625,7057.24609375,7089.4111328125,7120.62060546875,7150.91796875,7180.3154296875,7208.84814453125,7236.546875,7263.5185546875,7289.86279296875,7315.6796875,7341.0341796875,7365.96337890625,7390.52001953125,7414.7529296875,7438.70458984375,7462.4287109375,7485.9462890625,7509.3408203125,7532.6806640625,7556.03662109375,7579.4365234375,7602.87890625,7626.314453125,7649.67236328125,7672.90625,6943.04345703125,6946.75439453125,6950.33935546875,6953.79833984375,6957.130859375,6960.33642578125,6963.41552734375,6966.3671875,6969.19189453125,6971.8896484375,6974.45947265625,6976.90185546875,6979.216796875,6981.4033203125,6983.46240234375,6985.39306640625,6987.19580078125,6988.86962890625,6990.41552734375,6991.8330078125,6993.12158203125,6994.28173828125,6995.31298828125,6996.21533203125,6996.9892578125,6997.6337890625,6998.14990234375,6998.53662109375,6998.794921875,6998.923828125
2 Denmark (DK),2051.188232421875,2074.413818359375,2083.68359375,2108.742919921875,2162.93603515625,2226.602783203125,2284.7685546875,2345.175537109375,2346.9072265625,2368.910400390625,2411.49072265625,2468.841796875,2478.939208984375,2489.078125,2499.258544921875,2509.48046875,2519.744140625,2530.050048828125,2584.72509765625,2608.066162109375,2631.93017578125,2656.220947265625,2680.842529296875,2705.6201171875,2730.427734375,2755.237548828125,2780.063232421875,2804.82666015625,2829.44677734375,2853.835205078125,2877.96044921875,2901.81591796875,2925.38916015625,2948.685546875,2971.717041015625,2994.477783203125,3016.970458984375,3039.211669921875,3061.2470703125,3083.104248046875,3104.795166015625,3126.347412109375,3147.796875,3169.19287109375,3190.580810546875,3211.984375,3233.42041015625,3254.921630859375,3276.51806640625,3298.22705078125,3320.077392578125,3342.075927734375,3364.2275390625,3386.522216796875,3408.9521484375,3431.51806640625,3454.2294921875,3477.098876953125,3500.1376953125,3523.371826171875,3546.782958984375,3570.362548828125,3594.11376953125,3618.01416015625,3642.04150390625,3666.19091796875,3690.4365234375,3714.77294921875,3739.17626953125,3763.6279296875,2779.74169921875,2781.60693359375,2783.408935546875,2785.147705078125,2786.8232421875,2788.43505859375,2789.983642578125,2791.46826171875,2792.88916015625,2794.24609375,2795.5390625,2796.76806640625,2797.932861328125,2799.033447265625,2800.069580078125,2801.04150390625,2801.94873046875,2802.79150390625,2803.569580078125,2804.283203125,2804.93212890625,2805.51611328125,2806.035400390625,2806.489990234375,2806.87939453125,2807.204345703125,2807.464111328125,2807.658935546875,2807.788818359375,2807.853759765625
3 Germany (DE),46108.62109375,46477.26171875,46863.59375,47337.44921875,48179.94921875,48712.84375,43433.35546875,43611.85546875,44180.0390625,44871.0390625,45568.74609375,46113.27734375,46275.59375,46438.484375,46601.94921875,46765.98828125,46930.60546875,47095.80078125,47443.01953125,47795.23046875,48061.2109375,48249.58203125,48383.171875,48497.71875,48620.0703125,48756.9921875,48901.36328125,49050.0078125,49195.55078125,49332.56640625,49461.69921875,49586.09765625,49705.32421875,49818.81640625,49926.05859375,50026.8671875,50121.0546875,50208.14453125,50287.59765625,50359.0078125,50422.296875,50477.46875,50524.3984375,50562.9765625,50593.24609375,50615.30859375,50629.55859375,50636.79296875,50638.01953125,50634.1640625,50625.828125,50613.44921875,50597.703125,50579.2421875,50558.73828125,50536.66015625,50513.63671875,50490.65625,50468.87109375,50449.171875,50431.984375,50417.44921875,50405.72265625,50396.84765625,50390.75,50387.5859375,50387.15234375,50388.69921875,50391.13671875,50393.60546875,44340.5546875,44233.55078125,44130.484375,44031.33203125,43936.06640625,43844.66015625,43757.09375,43673.34375,43593.390625,43517.2109375,43444.78515625,43376.09375,43311.12109375,43249.8515625,43192.265625,43138.3515625,43088.09375,43041.48046875,42998.5,42959.140625,42923.390625,42891.24609375,42862.69140625,42837.72265625,42816.3359375,42798.51953125,42784.2734375,42773.59375,42766.47265625,42762.9140625
4 Greece (EL),3406.234130859375,3494.314697265625,3716.5869140625,3984.173583984375,4243.716796875,4501.427734375,4873.978515625,5168.56298828125,5240.95458984375,5348.546875,5366.46533203125,5343.2109375,5447.45703125,5553.73681640625,5662.09033203125,5772.5576171875,5885.18017578125,6000.0,5099.01220703125,5099.943359375,5099.9248046875,5098.99755859375,5097.638671875,5096.53173828125,5096.1787109375,5096.7685546875,5098.19482421875,5100.478515625,5103.54443359375,5107.31005859375,5111.8115234375,5117.029296875,5122.78173828125,5128.81787109375,5134.9189453125,5140.97802734375,5146.92822265625,5152.70263671875,5158.22021484375,5163.39404296875,5168.1455078125,5172.37646484375,5175.96240234375,5178.794921875,5180.759765625,5181.78515625,5181.8388671875,5180.8447265625,5178.7412109375,5175.49560546875,5171.0732421875,5165.49609375,5158.78076171875,5151.00390625,5142.216796875,5132.47265625,5121.83740234375,5110.40478515625,5098.2939453125,5085.64794921875,5072.5390625,5059.08740234375,5045.41748046875,5031.71337890625,5018.115234375,5004.720703125,4991.63037109375,4978.98828125,4966.91357421875,4955.53515625,10107.1240234375,10096.1923828125,10085.650390625,10075.494140625,10065.724609375,10056.33984375,10047.3388671875,10038.720703125,10030.484375,10022.62890625,10015.15234375,10008.056640625,10001.337890625,9994.9970703125,9989.033203125,9983.4453125,9978.232421875,9973.39453125,9968.931640625,9964.841796875,9961.125,9957.7822265625,9954.8115234375,9952.2119140625,9949.9853515625,9948.1298828125,9946.6455078125,9945.533203125,9944.791015625,9944.419921875
5 Spain (ES),18873.58984375,19348.4921875,19393.013671875,20304.802734375,21148.376953125,22090.62890625,23000.421875,23482.005859375,23382.201171875,23532.77734375,23577.646484375,23602.98828125,23680.87890625,23759.025390625,23837.4296875,23916.09375,23995.015625,24074.19921875,24042.78515625,24180.578125,24304.419921875,24419.8515625,24528.126953125,24631.76953125,24732.693359375,24830.873046875,24925.51953125,25016.9609375,25105.548828125,25191.5546875,25275.12109375,25356.255859375,25434.845703125,25510.681640625,25583.560546875,25653.33203125,25719.91796875,25783.205078125,25843.08984375,25899.38671875,25951.892578125,26000.259765625,26043.9453125,26082.28125,26114.6875,26140.896484375,26160.60546875,26173.126953125,26177.69921875,26173.72265625,26160.970703125,26139.458984375,26109.255859375,26070.529296875,26023.546875,25968.447265625,25905.54296875,25835.44921875,25758.953125,25676.794921875,25589.564453125,25497.796875,25402.19921875,25303.50390625,25202.482421875,25099.78125,24996.1484375,24892.5859375,24790.19140625,24689.953125,25939.482421875,25895.5859375,25853.27734375,25812.544921875,25773.380859375,25735.783203125,25699.740234375,25665.248046875,25632.30078125,25600.890625,25571.01171875,25542.662109375,25515.833984375,25490.521484375,25466.72265625,25444.431640625,25423.64453125,25404.359375,25386.5703125,25370.275390625,25355.470703125,25342.154296875,25330.32421875,25319.9765625,25311.111328125,25303.7265625,25297.8203125,25293.392578125,25290.44140625,25288.96484375
6 France (FR),28124.326171875,28540.013671875,28907.427734375,29227.109375,29419.75,29752.60546875,31103.431640625,31345.3359375,31233.90234375,31808.482421875,31878.23046875,31455.8671875,31551.4921875,31647.408203125,31743.6171875,31840.1171875,31936.912109375,32034.0,31155.638671875,31384.17578125,31617.697265625,31854.671875,32093.478515625,32331.0625,32565.17578125,32795.52734375,33023.0703125,33248.171875,33471.45703125,33693.33203125,33913.76171875,34132.26953125,34348.2265625,34560.78125,34769.23046875,34973.3046875,35172.875,35367.515625,35556.8203125,35740.46875,35918.2421875,36090.08984375,36256.12109375,36416.55078125,36571.57421875,36721.2421875,36865.625,37004.98828125,37139.67578125,37269.98828125,37396.16015625,37518.35546875,37636.76953125,37751.55078125,37862.90234375,37971.03125,38076.2265625,38178.828125,38279.2421875,38377.81640625,38474.73828125,38570.22265625,38664.66015625,38758.49609375,38852.05859375,38945.5546875,39038.97265625,39132.15625,39224.83984375,39316.796875,39434.1796875,39440.234375,39446.08203125,39451.71875,39457.15234375,39462.375,39467.38671875,39472.19140625,39476.7890625,39481.1796875,39485.359375,39489.33203125,39493.09375,39496.6484375,39499.99609375,39503.1328125,39506.05859375,39508.77734375,39511.2890625,39513.58984375,39515.6796875,39517.5625,39519.23828125,39520.703125,39521.95703125,39523.00390625,39523.83984375,39524.46875,39524.88671875,39525.09375
7 Ireland (IE),1561.10791015625,1630.9261474609375,1698.321533203125,1781.4647216796875,1868.2418212890625,1997.41650390625,2114.4775390625,2162.4912109375,2138.594482421875,2104.236083984375,2099.280517578125,2088.708740234375,2104.123291015625,2119.65185546875,2135.294921875,2151.05322265625,2166.927978515625,2182.919921875,2189.72900390625,2226.2890625,2258.515625,2287.419189453125,2313.8212890625,2339.22412109375,2364.737060546875,2390.50439453125,2416.142822265625,2441.653564453125,2466.95703125,2491.98876953125,2516.8115234375,2541.52685546875,2566.1708984375,2590.76318359375,2615.332275390625,2639.871826171875,2664.390380859375,2688.8642578125,2713.2685546875,2737.57421875,2761.751708984375,2785.77783203125,2809.568115234375,2833.02783203125,2856.089599609375,2878.695556640625,2900.8115234375,2922.353271484375,2943.236572265625,2963.389892578125,2982.762451171875,3001.347900390625,3019.11669921875,3036.07470703125,3052.207763671875,3067.514892578125,3082.012939453125,3095.732666015625,3108.739501953125,3121.071533203125,3132.764892578125,3143.8662109375,3154.443603515625,3164.580078125,3174.3583984375,3183.81640625,3193.014404296875,3202.021728515625,3210.90869140625,3219.757568359375,2523.942138671875,2529.180419921875,2534.248779296875,2539.145751953125,2543.87060546875,2548.422119140625,2552.79931640625,2557.00146484375,2561.027587890625,2564.876708984375,2568.5478515625,2572.040771484375,2575.35400390625,2578.4873046875,2581.43994140625,2584.211181640625,2586.800537109375,2589.207275390625,2591.430908203125,2593.47119140625,2595.3271484375,2596.998779296875,2598.48583984375,2599.78759765625,2600.904052734375,2601.834716796875,2602.57958984375,2603.13818359375,2603.510986328125,2603.697265625
8 Italy (IT),35540.953125,36064.625,36681.46875,36345.8671875,36948.8125,36961.80859375,37224.30078125,37487.69921875,37569.76953125,37744.1875,38123.703125,38477.14453125,38566.796875,38656.66015625,38746.73046875,38837.0078125,38927.5,39018.19921875,39101.04296875,39173.921875,39240.7734375,39298.78125,39347.69921875,39385.828125,39412.21484375,39427.72265625,39434.515625,39434.3125,39429.14453125,39420.53515625,39409.1796875,39395.02734375,39377.9140625,39357.265625,39332.4921875,39303.578125,39270.19140625,39230.921875,39183.96875,39127.84765625,39062.03515625,38986.25390625,38899.6953125,38801.51953125,38691.16015625,38568.25,38432.87890625,38285.55859375,38127.09765625,37958.23828125,37779.453125,37591.046875,37393.4609375,37187.12109375,36972.6015625,36750.5859375,36522.01171875,36288.08984375,36050.171875,35809.578125,35567.13671875,35323.81640625,35081.22265625,34841.16015625,34605.12890625,34374.00390625,34148.26953125,33928.4921875,33715.05078125,33508.2265625,47543.51171875,47520.15234375,47497.61328125,47475.88671875,47454.97265625,47434.875,47415.58984375,47397.11328125,47379.44921875,47362.59375,47346.546875,47331.3046875,47316.87109375,47303.24609375,47290.421875,47278.40625,47267.19140625,47256.78125,47247.17578125,47238.37109375,47230.3671875,47223.16796875,47216.765625,47211.16796875,47206.3671875,47202.37109375,47199.171875,47196.7734375,47195.171875,47194.375
9 Luxembourg (LX),312.1529846191406,327.9778137207031,334.2870788574219,341.6306457519531,349.07763671875,354.8697204589844,365.936767578125,381.968505859375,385.3817138671875,392.3115234375,402.2408447265625,409.58441162109375,410.5059814453125,411.42962646484375,412.3553466796875,413.28314208984375,414.2130126953125,415.1449890136719,420.4576416015625,427.9325256347656,434.4429626464844,440.0697021484375,445.04150390625,449.68499755859375,454.2314147949219,458.7683410644531,463.2296447753906,467.6467590332031,471.9926452636719,476.2781982421875,480.51983642578125,484.7541198730469,488.9603271484375,493.1086730957031,497.1811828613281,501.18328857421875,505.1177673339844,508.98809814453125,512.7929077148438,516.5357055664062,520.2095947265625,523.8125610351562,527.3509521484375,530.8207397460938,534.2330932617188,537.5833129882812,540.8680419921875,544.093017578125,547.254150390625,550.3468017578125,553.3801879882812,556.3536987304688,559.263427734375,562.11865234375,564.91943359375,567.6654052734375,570.3712768554688,573.0297241210938,575.660400390625,578.269775390625,580.8490600585938,583.4214477539062,585.9913940429688,588.5513305664062,591.1190185546875,593.6854858398438,596.2726440429688,598.8590087890625,601.4594116210938,604.0650024414062,457.69146728515625,458.47222900390625,459.22735595703125,459.95672607421875,460.6601867675781,461.3376159667969,461.9889221191406,462.6139831542969,463.212646484375,463.78485107421875,464.3304748535156,464.84942626953125,465.3416442871094,465.8069763183594,466.2453918457031,466.6567687988281,467.04107666015625,467.3982238769531,467.7281494140625,468.0307922363281,468.3061218261719,468.5540466308594,468.7745361328125,468.9675598144531,469.1330871582031,469.27105712890625,469.3814697265625,469.4643249511719,469.51953125,469.5471496582031
10 Netherlands (NL),6728.23486328125,6915.3642578125,7057.1240234375,7282.4501953125,7468.9521484375,7561.216796875,7779.5498046875,7782.14990234375,7922.29541015625,8057.5986328125,8189.943359375,8299.8720703125,8337.8857421875,8376.0732421875,8414.435546875,8452.9736328125,8491.6884765625,8530.580078125,8463.9990234375,8527.5751953125,8591.6591796875,8656.0751953125,8720.478515625,8784.3505859375,8847.2822265625,8909.1279296875,8969.8662109375,9029.3681640625,9087.5263671875,9144.2255859375,9199.3720703125,9252.8349609375,9304.474609375,9354.12890625,9401.6689453125,9447.0341796875,9490.2041015625,9531.203125,9570.080078125,9606.884765625,9641.642578125,9674.404296875,9705.2861328125,9734.447265625,9762.03515625,9788.16015625,9812.9091796875,9836.3740234375,9858.671875,9879.90625,9900.1845703125,9919.630859375,9938.40625,9956.6962890625,9974.66015625,9992.40625,10010.0263671875,10027.609375,10045.2705078125,10063.083984375,10081.099609375,10099.3564453125,10117.91796875,10136.8193359375,10156.0947265625,10175.736328125,10195.701171875,10215.8603515625,10236.033203125,10256.06640625,10640.798828125,10646.546875,10652.099609375,10657.45703125,10662.6181640625,10667.583984375,10672.3525390625,10676.92578125,10681.30078125,10685.4794921875,10689.4599609375,10693.2431640625,10696.828125,10700.2158203125,10703.4052734375,10706.3955078125,10709.1875,10711.78125,10714.17578125,10716.37109375,10718.3671875,10720.1640625,10721.76171875,10723.1591796875,10724.357421875,10725.3564453125,10726.15625,10726.7548828125,10727.1552734375,10727.3544921875
