,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,17938.84,2283.82295486209,0.04833371865110499,0.009800866249170164,0.038,0.02,0.15,13,2.065244298220409,12972,0.375,4.8645,0.3,140.09844362196927,4,-0.01449956969511509,4,0,0,0,0,0
2 Petrol Mid,20749.23,4391.19518627269,0.058239571920831006,0.011439109868395483,0.051,0.03,0.15,13,2.260431251612814,12972,0.375,4.8645,0.1,153.33919601584003,4,-0.01449956969511509,4,0,0,0,0,0
3 Petrol Lux,29743.96,15587.9227900628,0.07630984777408334,0.02458797896772252,0.064,0.03,0.15,13,3.002413832204396,12972,0.375,4.8645,-0.2,203.67251727234495,4,-0.01449956969511509,4,0,0,0,0,0
4 Adv Petrol Econ,17938.84,2283.82295486209,0.04591703271854973,0,0.038,0.02,0.15,13,1.8587198683983683,12972,0.375,4.8645,0,126.08859925977234,4,-0.01449956969511509,4,0,0,0,0,0
5 Adv Petrol Mid,20749.23,4391.19518627269,0.05532759332478946,0,0.051,0.03,0.15,13,2.034388126451533,12972,0.375,4.8645,0,138.00527641425603,4,-0.01449956969511509,4,0,0,0,0,0
6 Adv Petrol Lux,29743.96,15587.9227900628,0.07249435538537917,0,0.064,0.03,0.15,13,2.7021724489839563,12972,0.375,4.8645,0,183.30526554511044,4,-0.01449956969511509,4,0,0,0,0,0
7 Diesel Econ,21526.61,2283.82295486209,0.03312790098113209,0.00015,0.038,0.02,0.15,13,2.0865866535849054,12972,0.375,4.8645,0.1,143.25011999999998,4,-0.01449956969511509,4,0,0,0,0,0
8 Diesel Mid,24899.07,4391.19518627269,0.03366656603773585,0.0028207707111433796,0.051,0.03,0.15,13,1.7933734963817998,12972,0.375,4.8645,0.1,123.12020117647072,4,-0.01449956969511509,4,0,0,0,0,0
9 Diesel Lux,35692.76,15587.9227900628,0.03607132075471697,0.01479289973016987,0.064,0.04,0.15,13,2.388669081146951,12972,0.375,4.8645,-0.3,163.98893950879327,4,-0.01449956969511509,4,0,0,0,0,0
10 Adv Diesel Econ,17938.84,2283.82295486209,0.028857056603773586,0,0.038,0,0.15,13,1.877927988226415,12972,0.375,4.8645,0,128.925108,4,-0.01449956969511509,4,0,0,0,0,0
11 Adv Diesel Mid,20749.23,4391.19518627269,0.06032385254317064,0,0.051,0,0.15,13,1.61403614674362,12972,0.375,4.8645,0,110.80818105882364,4,-0.01449956969511509,4,0,0,0,0,0
12 Adv Diesel Lux,29743.96,15587.9227900628,0.05498861319829995,0,0.064,0,0.15,13,2.149802173032256,12972,0.375,4.8645,0,147.59004555791395,4,-0.01449956969511509,4,0,0,0,0,0
13 CNG Econ,17938.84,2283.82295486209,0.02321162105263158,0,0.039,0.02,0.15,13,1.104284210526316,12972,0.375,4.8645,0,95.37,4,-0.01449956969511509,4,0,0,0,0,0
14 CNG Mid,20749.23,4391.19518627269,0.025145922807017548,0,0.056,0.03,0.15,13,0.9743684210526316,12972,0.375,4.8645,0,84.15,4,-0.01449956969511509,4,0,0,0,0,0
15 CNG Lux,29743.96,15587.9227900628,0.0386860350877193,0,0.066,0.04,0.15,13,1.299157894736842,12972,0.375,4.8645,0,112.2,4,-0.01449956969511509,4,0,0,0,0,0
16 Hybrid Econ,20000,1000,0.03413793103448276,0.00042,0.039,0.03,0.15,13,1.3267241379310346,12972,0.375,4.8645,0,90,4,-0.01449956969511509,4,0,0,0,0,0
17 Hybrid Mid,27603.52,4724.2,0.0374202042422586,0.00042,0.056,0.04,0.15,13,1.4542852103241413,12972,0.375,4.8645,-0.2,98.65326572959086,4,-0.0144995696951151,4,0,0,0,0,0
18 Hybrid Lux,35734.97,7003.9,0.05536369627361511,0.00042,0.066,0.04,0.15,13,2.151634559724587,12972,0.375,4.8645,-0.5,145.95883563043984,4,-0.0144995696951151,4,0,0,0,0,0
19 Electric Econ,24000,1000,0.0245,0.00056,0.046,0.04,0.15,13,0.63,12972,0.375,4.8645,-0.2,28.80304222474461,4,-0.23,4,16,150,1.05,1.00045,0.996
20 Electric Mid,38653.24514563107,6858.9,0.026055555555555557,0.0008,0.065,0.05,0.15,13,0.67,12972,0.375,4.8645,-0.4,40.32425911464245,4,-0.23,4,39,150,1.05,1.00045,0.996
21 Electric Lux,67151.01130524153,16389,0.03383333333333333,0.01238,0.08,0.06,0.15,13,0.87,12972,0.375,4.8645,-1.3,49.92527318955733,4,-0.23,4,68.5,150,1.05,1.00045,0.996
22 PHEV Econ,15000,1000,0.013655172413793104,0.009800866249170164,0.046,0.04,0.15,12,0.5306896551724138,12972,0.375,4.8645,-0.1,36,4,-0.23,4,11.9,150,1.05,1.00045,0.996
23 PHEV Mid,26500,10000,0.01896551724137931,0.011439109868395483,0.065,0.05,0.15,12,0.7370689655172414,12972,0.375,4.8645,-0.4,50,4,-0.23,4,11.9,150,1.05,1.00045,0.996
24 PHEV Lux,135925,1000,0.03291275862068965,0.02458797896772252,0.08,0.06,0.15,12,1.2791094827586207,12972,0.375,4.8645,-1.8,86.77,4,-0.23,4,11.9,150,1.05,1.00045,0.996
25 Hydrogen Econ,15000,1000,0,0,0.046,0.04,0.15,12,0,12972,0.375,4.8645,0,0,4,-0.23,4,0,0,0,0,0
26 Hydrogen Mid,50000,1000,0,0,0.065,0.05,0.15,12,0,12972,0.375,4.8645,0,0,4,-0.23,4,0,0,0,0,0
27 Hydrogen Lux,66812.81,4349.2,0,0,0.08,0.06,0.15,12,0,12972,0.375,4.8645,0,0,4,-0.23,4,0,0,0,0,0
28 Bikes Econ,3322,2437,0.02241687724137931,0,0,0.03,0.15,7,0,6486,0.55,3.5673000000000004,0,0,2,-0.0144995696951151,3,0,0,0,0,0
29 Bikes Lux,8262,2842,0.03362531586206896,0,0,0.03,0.15,7,0,6486,0.55,3.5673000000000004,0,0,2,-0.0144995696951151,3,0,0,0,0,0
30 Bikes Adv Econ,3322,2437,0,0,0,0.03,0.15,7,0,6486,0.55,3.5673000000000004,0,0,2,-0.0144995696951151,3,0,0,0,0,0
31 Bikes Adv Lux,8262,2842,0,0,0,0.03,0.15,7,0,6486,0.55,3.5673000000000004,0,0,2,-0.0144995696951151,3,0,0,0,0,0
