,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Battery cost ($/kWh),20 Markup factor,21 Rare metal price,22 Engine density
1 Petrol Econ,17536.00816294928,6170.442186656086,0.05534593103448277,0.00502749,0.038,0.02,0.15,12,1.7773228346456693,14145,0.375,5.304375,0.3,123.16847244094488,4,-0.014499569695115089,4,0,0,0,0,0
2 Petrol Mid,18285.36742414635,7091.095640072348,0.06260441379310347,0.006598799999999999,0.051,0.03,0.15,12,2.0196850393700787,14145,0.375,5.304375,0.15,139.96417322834645,4,-0.014499569695115089,4,0,0,0,0,0
3 Petrol Lux,38312.02695371368,16614.30557936317,0.07712137931034484,0.01378845,0.064,0.03,0.15,7,2.0735433070866143,14145,0.375,5.304375,-0.6,143.69655118110236,4,-0.014499569695115089,4,0,0,0,0,0
4 Adv Petrol Econ,21043.209795539136,5973.8,0.04427674482758622,0.003,0.038,0.02,0.15,12,1.4218582677165355,14145,0.375,5.304375,0,98.53477795275592,4,-0.07400058144377691,4,0,0,0,0,0
5 Adv Petrol Mid,21942.44090897562,6324.8,0.05008353103448278,0.004,0.051,0.03,0.15,12,1.615748031496063,14145,0.375,5.304375,0,111.97133858267716,4,-0.07400058144377691,4,0,0,0,0,0
6 Adv Petrol Lux,45974.432344456414,16502,0.06169710344827587,0.005,0.064,0.03,0.15,12,1.6588346456692915,14145,0.375,5.304375,0,114.9572409448819,4,-0.07400058144377691,4,0,0,0,0,0
7 Diesel Econ,21043.209795539136,6843.75834891647,0.04156655094339622,0.002,0.038,0.02,0.15,12,2.111143245283019,14145,0.375,5.304375,0,144.936,4,-0.014499569695115089,4,0,0,0,0,0
8 Diesel Mid,21942.44090897562,10783.1264354831,0.04701790188679246,0.003,0.051,0.03,0.15,12,2.388014490566038,14145,0.375,5.304375,0,163.94400000000002,4,-0.014499569695115089,4,0,0,0,0,0
9 Diesel Lux,45974.432344456414,1756.9999999999998,0.057920603773584906,0.004,0.064,0.04,0.15,12,2.941756981132076,14145,0.375,5.304375,-0.5,201.96,4,-0.014499569695115089,4,0,0,0,0,0
10 Adv Diesel Econ,21043.209795539136,6843.75834891647,0.03325324075471698,0,0.038,0,0.15,12,1.6889145962264154,14145,0.375,5.304375,0,115.9488,4,-0.07400058144377691,4,0,0,0,0,0
11 Adv Diesel Mid,21942.44090897562,10783.1264354831,0.037614321509433966,0,0.051,0,0.15,12,1.9104115924528304,14145,0.375,5.304375,0,131.1552,4,-0.07400058144377691,4,0,0,0,0,0
12 Adv Diesel Lux,45974.432344456414,21149.2115448351,0.04633648301886793,0,0.064,0,0.15,12,2.3534055849056608,14145,0.375,5.304375,0,161.568,4,-0.07400058144377691,4,0,0,0,0,0
13 CNG Econ,15782.407346654354,6843.75834891647,0.017112053894736842,0.0078,0.039,0.02,0.15,12,0.5746585263157895,14145,0.375,5.304375,0.5,49.62960000000001,4,-0.014499569695115089,4,0,0,0,0,0
14 CNG Mid,16456.830681731713,10783.1264354831,0.019356257684210534,0.008,0.056,0.03,0.15,12,0.6500235789473686,14145,0.375,5.304375,0.5,56.13840000000001,4,-0.014499569695115089,4,0,0,0,0,0
15 CNG Lux,34480.82425834231,21149.2115448351,0.023844665263157903,0.0083,0.066,0.04,0.15,12,0.8007536842105265,14145,0.375,5.304375,0.5,69.15600000000002,4,-0.014499569695115089,4,0,0,0,0,0
16 Hybrid Econ,18000,1000,0.03413793103448276,0.0018,0.039,0.03,0.15,12,1.3267241379310346,14145,0.375,5.304375,-0.3,90,4,-0.15200309344504995,4,0,0,0,0,0
17 Hybrid Mid,19184.22588870713,5042.6579899880835,0.05600685915213946,0.012116519999999999,0.056,0.04,0.15,12,1.4701770523702347,14145,0.375,5.304375,-0.6,99.7313088157586,4,-0.15200309344504995,4,0,0,0,0,0
18 Hybrid Lux,30291.40625,1383.9,0.06480292340171064,0.004825079999999999,0.066,0.04,0.15,12,1.8019116486036144,14145,0.375,5.304375,-0.8,122.23494224445568,4,-0.15200309344504995,4,0,0,0,0,0
