,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Oil,132.43319975155958,135.45398855093828,138.54397815103934,142.12428634254007,145.95394057536635,150.53240606917117,150.3590261372665,150.19868299409674,150.04939124687718,149.90842979889774,149.77368800054117,149.92744868119348,150.06931140247468,150.2003574044003,150.3148608660097,150.4117808598312,150.2729228628006,150.10606060539655,149.92036231187782,149.71287364867362,149.47769026784331,148.94639541535216,148.41004421807506,147.883265810229,147.37271464101696,146.88963359097232,146.15879452588314,145.48015588588066,144.84652620108855,144.2545307356928,143.7001209585039
Indirect Heating Gas,975.3817652249888,1000.796754089727,1026.2417037360428,1053.5673108828726,1085.5107265664813,1118.2749027435905,1113.9641235005963,1110.8380320429312,1109.3413673118146,1109.8883577277782,1111.261880897914,1107.253458166257,1102.9143673590202,1098.2437838675355,1094.659759729973,1092.088904774944,1090.0389276280812,1087.160768509712,1085.2306344891608,1083.689166020455,1081.9066369513478,1079.1738838279755,1076.659102262322,1074.00413722323,1069.7139731969182,1065.0670284872294,1073.4711651546102,1081.9541893844946,1090.504281785984,1098.7926983703896,1106.933235133796
Indirect Heating Biomass,8.10511037090538,8.53224388867398,8.937915487159852,9.348726008216913,9.764567912670737,10.048911156296947,10.286776935380304,10.525843769962314,10.765529256873608,11.005544611140165,11.245501966750853,11.503576652489071,11.761740752821757,12.0204316742786,12.279682041103529,12.539381897511443,12.77986486594096,13.019874178680862,13.259895574474074,13.500655244824303,13.74256643015462,13.946269792624957,14.148407191386786,14.350344011463728,14.552848735046071,14.75739911955318,14.958461126570745,15.162895513766108,15.371115521562349,15.583496932917305,15.80012312089877
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Oil,36.822321953577294,37.66223564540948,38.52139023883149,39.51687521667533,40.5816894882972,41.854706607739246,41.80649927238181,41.76191674434562,41.72040699609938,41.68121344168645,41.64374922660294,41.686501537182174,41.72594568567384,41.76238230491047,41.79421936190288,41.82116743249946,41.78255873104029,41.73616359918847,41.684531211214725,41.626840130937616,41.56144868692425,41.41372507873984,41.26459558173022,41.118127746109785,40.97617180483698,40.84185377893573,40.63864800121949,40.44995626425937,40.27377901945574,40.10917794009834,39.95502735438299
Direct Heating Gas,867.9026205722568,890.5170841842897,913.1582071432292,937.4727544282003,965.8962652731442,995.0500954746396,991.2143290751728,988.43270749377,987.1009630542434,987.5876795711685,988.809851649096,985.2431245303416,981.3821662709536,977.2262431274388,974.037149326339,971.74958169679,969.9254953735594,967.3644860023412,965.6470370667384,964.2754258974336,962.6893170470516,960.2576911117392,958.0200180397044,955.6576085738844,951.840185761739,947.7052965983528,955.1833656963375,962.7316295884726,970.3395712846924,977.714671712514,984.9581874739508
Direct Heating Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Electric,807.1759192137753,845.3162226006998,885.7619308928381,931.5263061516886,980.9845334035032,1033.717476449646,1054.8986566885458,1076.608042025355,1099.911391418689,1124.6192366092382,1150.7868911102053,1156.7130718458702,1163.1914528372854,1171.3376531113045,1181.687824214213,1194.3046028567364,1215.9698931956966,1239.576765754437,1266.5367279022691,1296.0608998720195,1328.2960572395675,1365.0926317874437,1404.7845181728892,1444.7110585044863,1485.4870897487096,1525.7734016351956,1565.9383354180611,1604.925169276061,1641.3699187174234,1675.5493071208768,1707.2671662804423
Direct Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
