,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Indirect Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Oil,139.38118186308094,131.1508159158116,150.69312556564714,177.1341870805775,198.1297948449798,220.40846977065232,252.95395458087864,289.2001619310354,330.04310099975584,376.17159624569115,427.0507996614716,467.0037290266095,508.6806186790199,552.1154115854204,597.1619354973944,643.1410719807743,683.1504834581848,721.9647383238502,759.4207117452759,795.9408490218428,831.3533436447319,866.9541117221513,900.4532963312191,933.0702517432504,964.428013847786,994.3663037481901,1023.0682358762092,1050.978276797014,1077.3159138245571,1101.5747260184312,1124.2041851547253,1153.032347268325,1180.678301485334,1206.799938092005,1231.3602386833845,1254.42657738004
Indirect Heating Gas,950.670717292554,797.1012130020138,797.2918760862885,815.8959946002566,794.5459166307082,769.5993896257645,769.093782440647,765.7343251535681,761.1007542321954,755.6390748723492,747.3975749061057,712.2857789034214,676.3984496930792,640.37185191451,604.5619708142432,568.8619302826373,528.5745067773795,489.43265312497834,451.9934298910061,416.9629997157082,384.4880551152271,355.22431277327945,328.17259818407365,303.7934201792712,281.81569116344474,262.0318384331146,244.3045108205201,228.52369461434085,214.3054788844781,201.38371839076495,189.69307337991046,180.3089555168885,171.76862641609628,163.9244234263368,156.69114424467662,150.0064049606193
Indirect Heating Biomass,6.270815881018544,4.626147578841175,4.319594856689791,4.108545232921764,3.704316216571963,3.3110895625059436,3.0459395751655696,2.7871453298743627,2.5443589624713856,2.320782171355114,2.1114344558515974,1.8546505200647823,1.6276818874023549,1.4288200061105842,1.2553507445764496,1.103656658191015,0.9621224202653673,0.8393282333525058,0.7333096835643407,0.642572279992594,0.5650079317226931,0.49958086662672463,0.44321491790998896,0.395242045393374,0.35421801411127873,0.31901741881899226,0.2887832759726774,0.2628304190989652,0.2402766699548146,0.22048644966630443,0.20312217788490167,0.18909178976616553,0.17664023448856828,0.16548836513497392,0.15544858392410615,0.146375898005335
Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct Heating Oil,38.75417012094079,48.212254621374996,52.24830061441017,55.6351072117412,54.959240028488,53.60242899023691,54.335869616749385,55.69117307777784,57.922514964523806,61.09329885018461,65.04466277634245,67.47328739166686,70.39883150905506,73.80509882420692,77.66338106846602,81.88732926590717,85.62131389850586,89.4956671641932,93.49422636643553,97.66736047754495,101.98623290477678,106.5967083363535,111.1987439071884,115.91771827311334,120.67814186195595,125.42752196906665,130.15486875931126,134.88362122828318,139.4821197867707,143.85350061592374,148.02781564412822,153.02001511638036,157.84628705456578,162.44399591579864,166.7938864711328,170.89391796390174
Direct Heating Gas,845.9145293219557,1031.4873855039646,1208.9158772681067,1402.4899182071986,1506.9646670408538,1578.141836598837,1682.500652427358,1773.822873343824,1860.8901100601959,1949.0030412319988,2036.0329442757306,2054.0160583796446,2070.8102870293824,2088.334996060977,2107.466826614679,2127.179358653482,2127.3580251634053,2126.639787099847,2125.880783693013,2127.1926181607914,2130.6354353743563,2139.7111395733527,2148.727274936644,2160.6845262939314,2174.499420288257,2189.574221663688,2206.027416097702,2224.4728468742796,2242.9131995551993,2260.0350452705234,2276.5299451032106,2307.827464114526,2338.604717680021,2368.0286651865395,2395.900271088053,2422.237336378523
