,Mean
Utilisation rate,0.5
Yearly decay,0.98
Starting degradation,0.74
Cost savings,0.5
GW to GWh,4.3
Dummy 1,
Dummy,
Dummy,
Dummy,
Dummy,
Dummy,
Dummy,
Dummy,
Dummy,
