Region,Sector,Clean technology,Clean tech name,Clean price (2030),Fossil technology,Fossil tech name,Fossil price (2030),Cross-over,Cross-over carbon tax,Cross-over subsidies,Cross-over mandates
India,Power,18,19 Solar PV,23.214045938644052,2,3 Coal,39.92362829839954,-inf,-inf,-inf,-inf
China,Power,18,19 Solar PV,28.807966159315285,2,3 Coal,39.92362829839954,-inf,-inf,-inf,-inf
Brazil,Power,18,19 Solar PV,30.79548194009497,6,7 CCGT,41.69212459220793,-inf,-inf,-inf,-inf
United States,Power,18,19 Solar PV,38.77152398532948,6,7 CCGT,39.93062090823762,2021.0,2021.0,2021.0,2021.0
Germany,Power,18,19 Solar PV,51.11791458848567,6,7 CCGT,55.53576341613744,-inf,-inf,-inf,-inf
UK,Power,18,19 Solar PV,50.522948405251555,6,7 CCGT,49.09225753261276,2023.5382874439051,2023.4268118697148,2023.5114716485782,2023.5382874439051
India,Heat,11,12 Heatpump AirAir,0.06550132617103607,2,3 Gas,0.07025797386217984,2024.666839476461,2024.5219929854927,2024.3609602085119,2024.5679422879368
China,Heat,11,12 Heatpump AirAir,0.06019242816810202,2,3 Gas,0.18555155350081393,-inf,-inf,-inf,-inf
Brazil,Heat,11,12 Heatpump AirAir,0.09474816202193388,2,3 Gas,0.17771446183246653,2021.0,2021.0,2021.0,2021.0
United States,Heat,11,12 Heatpump AirAir,0.04564580683803796,3,4 Gas condensing,0.050641653524561535,2023.9139098103847,2023.8574993154675,2023.8034853384938,2023.9139098103847
Germany,Heat,10,11 Heatpump AirWater,0.1566738056594972,3,4 Gas condensing,0.10175257664778539,inf,inf,inf,inf
UK,Heat,10,11 Heatpump AirWater,0.14289829726547268,3,4 Gas condensing,0.07229713894725501,inf,inf,inf,inf
India,Cars,19,20 Electric Mid,0.10953406134464962,7,8 Diesel Mid,0.1549754732155398,-inf,-inf,-inf,-inf
China,Cars,19,20 Electric Mid,0.3541831142396954,1,2 Petrol Mid,0.438839554329549,2023.9884961647138,2023.98638484802,2023.9795942163662,2023.9884961647138
Brazil,Cars,19,20 Electric Mid,0.38770041135472144,1,2 Petrol Mid,0.2561224518010569,inf,inf,inf,inf
United States,Cars,20,21 Electric Lux,0.9616040338509287,2,3 Petrol Lux,1.0384491284501682,2027.5502221915945,2027.4875652197782,2027.3000257715184,2026.2705363477226
Germany,Cars,20,21 Electric Lux,1.1409669340189945,8,9 Diesel Lux,0.9506077651543752,2038.4258219323756,2038.2562772127899,2037.5596597879016,2032.0563060726815
UK,Cars,19,20 Electric Mid,0.6440408401977914,7,8 Diesel Mid,0.9416901157752298,-inf,-inf,-inf,-inf
India,Trucks,12,Electricity Small,0.20296691022199997,4,Diesel Small,0.21502570792600673,2027.380429081979,2027.3550899150669,2027.3175443935802,2026.5536193855137
China,Trucks,12,Electricity Small,0.21518104496822119,4,Diesel Small,0.21502570792600673,2030.05785558532,2030.0079768316018,2029.9120868671062,2027.9705665071072
Brazil,Trucks,12,Electricity Small,0.20279264758021487,4,Diesel Small,0.21502570792600673,2027.3007551533074,2027.275457107406,2027.238990569552,2026.5073067764213
United States,Trucks,12,Electricity Small,0.2930720226360668,0,Petrol Small,0.27766420283035026,2032.7395401632236,2032.6333369275978,2032.3533288366152,2028.461987775926
Germany,Trucks,12,Electricity Small,0.32127008687174746,4,Diesel Small,0.43673065389457894,2021.0,2021.0,2021.0,2021.0
UK,Trucks,12,Electricity Small,0.5870615755594898,4,Diesel Small,0.774282671394541,2021.0,2021.0,2021.0,2021.0
