Year,Medium-duty trucks,Heavy-duty trucks
2025,4.168435225847585,1.944566503329108
2026,16.921169280062067,9.207450510685165
2027,37.41420181073996,27.11066385894145
2028,59.41101028571662,56.7176027016789
2029,79.56205872053769,92.42042435825779
2030,95.42977399562928,138.20468067965714
2031,107.50646719531389,178.78453129436915
2032,116.4265552790449,218.09528745977977
2033,122.47982014940446,254.8208085800477
2034,126.49607072700793,283.83595005909075
2035,128.98018438099976,305.58593546871236
2036,130.11117673637114,320.45637929909907
2037,128.85996022721565,325.4843261746131
2038,125.61453676208947,322.79063591285563
2039,120.51038028670196,314.1486887767082
2040,114.04922405784764,299.6854508621395
