Policy,Cumulative emissions (MtCO2),2050 emissions (MtCO2)
Power policies,132779.99406842078,5186.145487513884
Heat policies,16489.89902136638,943.0531158788363
Transport policies,28740.634735087166,1876.431332171669
Freight policies,62538.83698659355,5624.396240198264
Combined policies,37689.211553763016,1975.3493981088832
Remaining emissions,254354.3098204311,253.7295241088941
