Year,Medium-duty trucks,Heavy-duty trucks
2025,1.0601680264057183,1.0919815498687515
2026,1.1423394538097895,1.2186239606003064
2027,1.1630433412086765,1.2991788413517205
2028,1.144033258208751,1.326365003993112
2029,1.1195188679964558,1.3113287539984686
2030,1.0981053993367003,1.3022777326944766
2031,1.079181642518271,1.270526541401235
2032,1.0649406104558443,1.2318055211580283
2033,1.0533323379202197,1.2065534540508471
2034,1.044673792439795,1.1810994570063416
2035,1.0380369936555038,1.158890142004675
2036,1.032750234606208,1.1407591437001043
2037,1.0256014846119097,1.1254287877410563
2038,1.0189361621488,1.1091452413902478
2039,1.013653745266058,1.0900702987518236
2040,1.010246293590131,1.0672546204681637
