Model,Scenario,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FTT:P,Current traj.,22.854366353333337,16.638033582622974,10.865517512088019,5.437320947949698,0.38604802745656597,-4.273882843892251,-8.53709163970432,-12.261691507245967,-15.656472331196305,-18.748711035731368,-21.59760056737518,-24.227067993565747,-26.410421823286864,-28.499379811802406,-30.42532756178381,-32.20703158244994,-33.79959191582585,-35.273333453715445,-36.60466454552724,-37.33828367122216,-36.81152173307425,-36.78495575522612,-37.117038508865775,-37.69573675146746,-38.7366078108066,-39.74153127332703,-40.69141762960685
FTT:P,Carbon tax,22.753092247569086,15.414936056951214,8.873825321019062,2.954121127144724,-2.3050620767247576,-7.0011467946943595,-11.174987939236528,-14.75836323828499,-17.992486598750354,-20.938106969985384,-23.62706181031203,-26.064723185891133,-28.089321266748918,-30.016527994946127,-31.787675285607563,-33.42134866893226,-34.87399312944446,-36.198379089693894,-36.419676444777416,-35.19650785262693,-35.187809932125425,-36.37899852946097,-37.46636248281059,-38.5059466000596,-39.46648160057831,-40.39095412705275,-41.271448233088336
FTT:P,Subsidies,22.49990586848452,15.945102467271049,9.957504465850434,4.410616481306244,-0.6481855212107536,-5.244459522117767,-9.40756320531198,-13.014113155607857,-16.2715408847672,-19.237377602502256,-21.95638476760895,-24.455291723396222,-26.525446982979854,-28.50784821917507,-30.326531907413866,-32.01829987561054,-33.49715343992017,-34.38984297365299,-33.24951624978527,-34.03308153903725,-34.867757617234666,-34.9666575893473,-36.095036257430706,-37.15610706249796,-38.14582216277016,-39.082128087581495,-39.9797800361508
FTT:P,Mandates,22.854366353333337,15.867016732082792,9.211238334659562,3.0332688758643327,-2.505739012743715,-7.38828673418884,-11.688356905839939,-15.354593558726792,-18.626572916847465,-21.56212910411165,-24.193656473860223,-26.57572256857035,-28.551691570032656,-30.444480868824648,-32.18391887176865,-33.76414176184022,-35.1437686937459,-36.409461402815936,-36.64662019588833,-35.74001085958196,-35.567887727815894,-36.65689653934603,-37.76237586735041,-38.81034016827749,-39.76973892518666,-40.70619167744055,-41.61111648209302
FTT:H,Current traj.,25.748075513018136,23.538386036483285,17.44858442304999,19.347714356277535,17.390172411571,15.53880442011717,13.73564023702086,12.115928964658728,10.551314686337827,9.024812845383476,7.5257215415405065,6.046048178456592,4.614947009597447,3.2555043024371892,1.90716243507595,0.5792277351376622,-0.6362400109190177,-1.9066377898758358,-3.088074466644335,-4.186104298411284,-5.224327203649286,-6.211794451209205,-7.157572464551384,-8.049840055718157,-8.934209452600044,-9.796474258035833,-10.613642176559283
FTT:H,Carbon tax,25.569754063143865,23.140646110904346,16.87807712397014,18.596101918115384,16.443732585501238,14.441597688364345,12.507760903056493,10.762965058227328,9.099409516279023,7.490754331514744,5.923864162369609,4.4085779898709605,2.9528413738431185,1.5732408741005564,0.20828194136783656,-1.1258429569733222,-2.3306905909785134,-3.591362335078997,-4.700341783849556,-5.793732619310743,-6.823558433889149,-7.80810402930335,-8.74944569941218,-9.625746268573845,-10.47850332346374,-11.313526936272646,-12.105452368041428
FTT:H,Subsidies,25.375066216496123,22.703328841219783,16.251522477622103,17.73823239184687,15.46037999162312,13.33181182903273,11.252005497345444,9.373220193012811,7.594751355393811,5.896956210447492,4.276173072056317,2.726453133672525,1.2622828266346162,-0.09812507740831838,-1.4348880127784287,-2.67717260675447,-3.8074048728613494,-4.993204944969837,-6.090515281117058,-7.158644063834864,-8.168515506406903,-9.132420183782699,-10.058881617579106,-10.936822584934081,-11.808570678726513,-12.661171367585636,-13.472448493456938
FTT:H,Mandates,25.748075513018136,23.236481892611142,16.64377289182875,17.80413648910761,15.038671308390997,12.307540585345386,9.591505839028095,7.055963752504404,4.5947863551085035,2.246551891452326,0.29448399446833584,-1.4743887468907655,-2.7629673771411896,-3.9901888754756634,-5.2154122467966495,-6.4323686425505695,-7.548453500998403,-8.731163861162061,-9.841036883401047,-10.929288774318204,-11.951363241804978,-12.922735806286155,-13.859471060849943,-14.744399258125508,-15.61728454457894,-16.475500970920674,-17.287508133904403
FTT:Tr,Current traj.,15.859120228433806,10.62476450654712,6.188686436849938,2.392733288389016,-0.9443652927807793,-3.953057626004195,-6.69450430083033,-9.192242387281556,-11.470644505586517,-13.553503012021395,-15.456881462983697,-17.19443926460077,-18.78033549547306,-20.227572729190417,-21.55204343367826,-22.761992511564266,-23.86124619434086,-24.888383661938892,-25.832307548477583,-26.692416336783694,-27.487090032159646,-28.235537667779646,-28.937169299615228,-29.56625433229197,-30.159756874663632,-30.72855363315157,-31.266958687350222
FTT:Tr,Carbon tax,15.81994562613214,10.519491777417558,6.028553416972266,2.2038537777112404,-1.1585024510095734,-4.177078141738749,-6.930881096293138,-9.43401576544681,-11.714765778919745,-13.796467360629265,-15.6977578908664,-17.43069961366524,-19.010855156372944,-20.451377941069776,-21.76799340396822,-22.970802839100745,-24.063164861696638,-25.084060311758577,-26.01659810266275,-26.86926951173308,-27.659844308155634,-28.4038929593348,-29.0934826483212,-29.71735857605726,-30.30809781919238,-30.873114137057584,-31.40666760639223
