Model,Scenario,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FTT:P,Current traj.,21.987137857022915,15.826152233808502,10.093302805311248,4.672880408706488,-0.343211657102172,-4.967169664597656,-9.185434192478596,-12.855799253310572,-16.169205648064402,-19.186574474702123,-21.967459481649772,-24.556797431633594,-26.7180694161532,-28.779539496003938,-30.68135973984247,-32.433798468669224,-33.99648493270172,-35.42747483386356,-36.734867702886675,-37.28526327451153,-36.64569318483244,-36.83065000935268,-37.165219379364025,-37.84337087697112,-38.9076144761346,-39.89371550380089,-40.81811760666068
FTT:P,Carbon tax,21.913883712506244,14.601495070381105,8.058765753199232,2.1761332155979893,-3.0443439343739866,-7.689341418681442,-11.784418144001606,-15.301546192603867,-18.490405501113226,-21.410104497567417,-24.057015254248558,-26.45896330538125,-28.45757509193632,-30.34349273149363,-32.07505821610047,-33.67329295904911,-35.089524782907695,-36.363140784504104,-36.384860412226615,-35.15612097839114,-35.346088202842154,-36.5055426004049,-37.604110763006275,-38.658401748234354,-39.63205579328256,-40.56297253783773,-41.424200178806316
FTT:P,Subsidies,21.657200583758577,15.189433804113698,9.251111105261923,3.7560855696750175,-1.254806593307329,-5.809606887715159,-9.927360019530044,-13.47032147443052,-16.66433351458986,-19.581265188386762,-22.268814934815378,-24.74069038361308,-26.798678546017516,-28.76004124872723,-30.55809745451638,-32.220356625609575,-33.66917290415857,-34.4406848256882,-33.20106717354734,-34.18131525098633,-34.92713743323575,-35.14005056148657,-36.2931915306679,-37.38425357795399,-38.357312464158895,-39.29214383578908,-40.174613248506525
FTT:P,Mandates,21.987137857022915,15.019749128401832,8.40108861404399,2.26632100767472,-3.205580616568939,-8.013553242939443,-12.24895689859442,-15.827769116627586,-19.02375659778361,-21.89494022669892,-24.485267760458683,-26.842282580796677,-28.80415896752351,-30.649114915949255,-32.35425788909038,-33.886319260878885,-35.24560499807222,-36.47800354325533,-36.50554163247809,-35.575207625227776,-35.548016660274335,-36.678937897828014,-37.795740581495224,-38.85947719128159,-39.83114531122174,-40.77091517975612,-41.65334266540942
FTT:H,Current traj.,25.784778826059025,23.580788595552328,17.49682155996937,19.428173183730316,17.400000684717632,15.498252937348907,13.616513069893937,11.919648389004506,10.27973315014325,8.7101390473245,7.18939990463056,5.690010503737669,4.157623017711749,2.645245701003684,1.129951951597995,-0.3477471019488848,-1.6913768860051053,-3.0590575059512783,-4.354127659028837,-5.541216878615389,-6.658502902777888,-7.738066623141965,-8.775884621754807,-9.761463071884503,-10.732453588670193,-11.67674340015432,-12.540077538191785
FTT:H,Carbon tax,25.602683121204446,23.17815607242624,16.922386645315033,18.63786847256576,16.440132317818243,14.383207130619647,12.384953191737534,10.574972500109821,8.840785025444184,7.193261078795112,5.607969361544838,4.0723610144621,2.5176499869100653,0.9908297604486425,-0.5346070359326421,-2.0110858627238426,-3.344558517024421,-4.696503351694324,-5.911750088580518,-7.086853510371842,-8.192136853422967,-9.263248117488759,-10.28995691970925,-11.240515887082616,-12.178923502312372,-13.09171550954238,-13.961133249483716
FTT:H,Subsidies,25.40797420091018,22.741159047444558,16.29554183952879,17.80870996604171,15.455402562121114,13.270893148162505,11.126379050615238,9.18200252386906,7.33294555001122,5.595408615161664,3.9511772009824364,2.3865032594598388,0.8297532604839376,-0.68271613558684,-2.178970840965898,-3.566231276177,-4.817505225134246,-6.102440366595932,-7.286306272299253,-8.441547118770059,-9.528050396762248,-10.579193728019884,-11.595467723625692,-12.56419104465293,-13.518637481268053,-14.4478569079304,-15.3348636837636
FTT:H,Mandates,25.784778826059025,23.238049273957685,16.5816516043277,17.647994169602097,14.734697690667314,11.839679268070462,8.957651776669593,6.266510565313629,3.672666023992182,1.2377731480976015,-0.7464046273163616,-2.5190348374360236,-3.870630505830726,-5.215982759959482,-6.576090639877693,-7.911566674003449,-9.131146094115357,-10.385708033461961,-11.558424929007513,-12.700605229619288,-13.78167928357847,-14.826516188827833,-15.831611153076656,-16.793342449378493,-17.738620449539585,-18.65549363467383,-19.528307506643902
FTT:Tr,Current traj.,14.195915847134312,9.520078596763023,5.437511658719783,1.8706300239819353,-1.3277701506679631,-4.244166709208984,-6.927084367930687,-9.387727602473298,-11.643511810952855,-13.71090633539357,-15.603853938841873,-17.334658742675117,-18.91990999559292,-20.36926941853878,-21.698260950265283,-22.91273189820432,-24.0163921873561,-25.045574113168303,-25.99514730226445,-26.85825269357869,-27.655781100542715,-28.40858030970744,-29.114883926661626,-29.751177781213165,-30.350402075004325,-30.9223025184367,-31.464687244190696
FTT:Tr,Carbon tax,14.158304765157624,9.423498880079396,5.289325333578583,1.6910576837039486,-1.5304654821282302,-4.457732105795371,-7.153873074827627,-9.620753738672084,-11.879578555117549,-13.946458538884125,-15.837893456755234,-17.564655319051365,-19.144714825842698,-20.587753898462395,-21.90953145737325,-23.116981485755606,-24.213902189182964,-25.238003356499533,-26.17575364488264,-27.031619868186397,-27.82522418868578,-28.573755286819065,-29.26771618784124,-29.898871581113234,-30.495173398187696,-31.063156522033488,-31.60118195400516
FTT:Tr,Subsidies,14.037915062570942,9.125023044835263,4.854271453568497,1.146408343068868,-2.1515229824859827,-5.140669817336077,-7.878371895920574,-10.375599943707124,-12.65557702854248,-14.73702204912739,-16.637650800093624,-18.372621542283124,-19.959284933716667,-21.407138737359908,-22.733331429569116,-23.946971992712008,-25.048777024958355,-26.076118143395785,-27.021228864904884,-27.895619489136823,-28.684985955996062,-29.42089696496575,-30.10943519882186,-30.75616147880338,-31.342092001180184,-31.88873853531204,-32.40660864662354
FTT:Tr,Mandates,14.195915847134312,8.1267640454136,1.7067216971759516,-4.00689810012063,-8.859562267343527,-12.939968195620189,-16.386962446457396,-19.30780246548559,-21.793107162321736,-23.907730115161442,-25.71350146515653,-27.124861524616584,-28.201916664076176,-29.122301455563544,-29.952793339786737,-30.71624559816021,-31.41437917401487,-32.046568056649505,-32.61987643174959,-33.15562576116189,-33.65325207436795,-34.12027633183475,-34.55878749866822,-34.973799621155514,-35.368129346057685,-35.7423110033554,-36.09723927379279
FTT:Fr,Current traj.,11.961684058471548,9.321667666636491,6.975686126273682,4.878344478203211,3.011347382207525,1.2968511258595081,-0.28618471015584673,-1.7481796295124457,-3.121537579839626,-4.401269214543443,-5.593478533675179,-6.6940967671939795,-7.674284539778392,-8.634905221767958,-9.535820727599043,-10.3997539215689,-11.209685259625086,-11.99254143992704,-12.753971113545255,-13.485797796314976,-14.18059266931928,-14.846873473169161,-15.520317180539198,-16.180355969437088,-16.84271653495852,-17.522574894379414,-18.259647173322996
