cat,Scenario,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MDV,Current traj.,64.94845360824742,55.67445901972594,48.36799008444997,41.59295548291652,35.03201952911947,28.815040395945687,22.926699197789898,17.394788408504986,12.21474560663158,7.413814494871803,3.01006200711042,-0.9816890019770375,-4.581227334138464,-7.831783983315625,-10.77394570998149,-13.437332525388975,-15.85679245581634,-18.060576499703497,-20.07854736061325,-21.926471318042786,-23.62219045373966,-25.161443179339685,-26.58511557990733,-27.898889874858867,-29.111819950247234,-30.203426210633463,-31.222404872503486,-32.17257747833956
MDV,+ Europe,64.94845360824742,55.67445901972594,48.12979220769226,40.896959090488004,33.781035222708624,27.028557365462436,20.687933412576953,14.657429504170748,9.095709113438321,3.9858002190255233,-0.6987770593452319,-4.889892660651319,-8.646261268481577,-11.996697533443472,-15.000474410925799,-17.688412224866635,-20.11776751965185,-22.47447363853585,-24.606874754213976,-26.51142008460272,-28.220633120036926,-29.746513202899628,-31.136726300931887,-32.406215724038454,-33.56816612028253,-34.61490085296933,-35.58205911216362,-36.48023541284843
MDV,+ China,64.94845360824742,55.67445901972594,48.0440221491135,40.365208230088946,32.758628089123015,25.66302175743736,18.99854896114743,12.79485397219624,7.137421699899239,1.9569581184637146,-2.7156426258004647,-6.892317959661722,-10.591722391004351,-13.875126115817492,-16.806982755340325,-19.429673550250705,-21.779658168073915,-24.002366064123063,-26.00002880074563,-27.776165715450627,-29.364642595480166,-30.778955287050135,-32.065861002141354,-33.24098324527819,-34.317985419724074,-35.289920663816865,-36.191832951943354,-37.03338573453389
MDV,"+ IN, CA and ½US",64.94845360824742,55.67445901972594,47.565105758569445,39.112091797935214,30.7929381233889,23.14372287050843,16.12904190020084,9.733836858670843,3.923294045985215,-1.2978307031906726,-5.9766083661529175,-10.116523381775963,-13.754414194178963,-16.9772440000785,-19.848033138332116,-22.419163994627777,-24.732374546782825,-26.91899566023084,-28.904147454027818,-30.679369629470465,-32.27733283699902,-33.71001430599742,-35.01712877962335,-36.2112557638686,-37.30539719724925,-38.29475010236458,-39.206870281637,-40.05287718812575
MDV,+ RoW,64.94845360824742,55.67445901972594,46.321469232912,36.046879754901624,26.25373148182765,17.593408791185077,9.950348017947706,3.244697265189078,-2.743997397535908,-8.055929530809452,-12.689357406474041,-16.712030856419943,-20.21730604816422,-23.30995945342656,-26.065746613772735,-28.532747449075234,-30.760353377263748,-32.84897990064806,-34.73850240884649,-36.427253684316284,-37.95114884407854,-39.32180398269455,-40.57054680024306,-41.71004315033654,-42.75055889495038,-43.687739357940615,-44.55952891213109,-45.36851639620322
HDV,Current traj.,76.34854771784232,67.16999484743585,59.79225305038125,52.90804467424682,46.22449965861186,39.87254225775965,33.84879115054409,28.18215446233812,22.867680902446832,17.933293915414612,13.39416559267526,9.264397701185104,5.525342221467793,2.1362311886807976,-0.9408325336274546,-3.7353266765555735,-6.283295199344726,-8.611603806692324,-10.749331525820365,-12.71177875078085,-14.516335996239329,-16.159095785686574,-17.67936478635135,-19.083216199966333,-20.380095504667075,-21.551515984371395,-22.644573237194628,-23.66390679111957
HDV,+ Europe,76.34854771784232,67.16999484743585,59.511504269474656,52.12035117358771,44.82586318066974,37.88767887793382,31.368312610434753,25.141783501752997,19.39829516849433,14.106766995396837,9.237243924854734,4.871213583274335,0.9418263153254665,-2.5708283850042117,-5.726607283430566,-8.556590922319455,-11.122255004327734,-13.635985873164572,-15.906831966142706,-17.9362394206008,-19.757889690599583,-21.38631455405778,-22.869508137910614,-24.22405416941761,-25.464156438008587,-26.584185356634674,-27.61943207200226,-28.580847452178638
HDV,+ China,76.34854771784232,67.16999484743585,59.41041148144272,51.506561752361364,43.6649940066875,36.34796922594065,29.465482953631223,23.0485322582622,17.197036429653977,11.823082013033373,6.967054171034743,2.614815670020516,-1.250079219089081,-4.68778810839296,-7.763428182329561,-10.52056062203578,-12.996557183649685,-15.3565680914978,-17.474292518410397,-19.358116782808242,-21.043343801514425,-22.54595072350192,-23.91299561053807,-25.161666344007223,-26.306592861385592,-27.342779691464187,-28.304949564234494,-29.2029844378221
HDV,"+ IN, CA and ½US",76.34854771784232,67.16999484743585,58.845947694840866,50.073479202751976,41.44445571354554,33.51982953511108,26.253576555656377,19.627323740828757,13.600696735139188,8.182133923671076,3.314914736646685,-0.9993830749599907,-4.799209118287943,-8.173308545339047,-11.183804025151485,-13.8863278849967,-16.323102804711557,-18.64375407999014,-20.747480060470934,-22.63054818583472,-24.326905175716234,-25.85045848624451,-27.2407446793679,-28.51141676401593,-29.67639764356269,-30.732504025887266,-31.706538881223697,-32.61017420441823
HDV,+ RoW,76.34854771784232,67.16999484743585,57.380363469556016,46.608707050962856,36.40035597282401,27.403984839712386,19.47744950438175,12.52620192470527,6.298549476958107,0.775672244390387,-4.045012430025482,-8.239309276309882,-11.901192209801197,-15.141619354470782,-18.035100166854484,-20.632576423807887,-22.984030830286432,-25.20223123286043,-27.20446892386864,-28.99762023923138,-30.617764882706762,-32.07784507483061,-33.408957019884994,-34.62451887535391,-35.735487835748785,-36.73943499296556,-37.67307552395248,-38.54010245132384
