Region,Model,2025 %diff,2035 %diff,2050 %diff
India,FTT:P,-44.20300694258167,-46.68440655171028,-48.81422085474504
China,FTT:P,-52.09857660334272,-53.8672867547078,-55.54862158067564
Brazil,FTT:P,-56.344768451478316,-58.31124652924717,-60.00144284712953
United States,FTT:P,60.358506473594566,57.72391635022082,55.348971150865246
Germany,FTT:P,-35.5595520350787,-38.009782741120915,-40.31020858995221
UK,FTT:P,3.2833907776839153,-3.211018959765487,-9.05803909424329
South Africa,FTT:P,49.357444303900074,41.17266118907394,33.97180455057543
Japan,FTT:P,5.2666109352054065,-1.353005417961696,-7.23052698018898
India,FTT:H,-1.9003940772118249,-3.4987813533677867,-5.048697472095554
China,FTT:H,-5.732624563460142,-7.087399732510457,-7.936145770732978
Brazil,FTT:H,-60.31547957634029,-61.15675609372082,-61.934429022546176
United States,FTT:H,-12.125978930056068,-13.318413942451082,-14.40962707251189
Germany,FTT:H,35.915925919807954,32.274651448123684,29.272241047950185
UK,FTT:H,81.17599593354389,76.83932711227281,72.99299076881348
South Africa,FTT:H,-16.060866778792057,-16.905295236527536,-17.73159985736432
Japan,FTT:H,-57.097994946785214,-57.71816776222984,-58.34222238919361
India,FTT:Tr,-15.513677411923807,-19.41358830479238,-22.694658681858673
China,FTT:Tr,-4.757801321484051,-8.989402363664306,-12.492150376001245
Brazil,FTT:Tr,74.75520127469233,68.54279069473372,63.23849815407617
United States,FTT:Tr,10.135769690213127,5.387190137872714,1.372983755458099
Germany,FTT:Tr,42.3245317924041,36.36782239176814,31.334797064441364
UK,FTT:Tr,-18.912477186294662,-22.383885281620135,-25.31592506595029
South Africa,FTT:Tr,-26.791168225787345,-29.88870080274402,-32.51136011313041
Japan,FTT:Tr,3.3853129790822583,-0.4209956918042267,-3.6744349503007125
India,FTT:Fr,-8.090090947694403,-10.673151838485715,-12.929954889703382
China,FTT:Fr,-51.13783472485187,-53.89099111083075,-55.89648800901921
Brazil,FTT:Fr,18.364135222940725,15.98990407040309,13.873157064259741
United States,FTT:Fr,20.66245373605463,18.75366667452183,17.095885838118363
Germany,FTT:Fr,16.92485681204114,14.06773628014142,11.66947641385364
UK,FTT:Fr,24.9716870803644,21.86350832265802,19.19662929519352
South Africa,FTT:Fr,30.316866898263868,28.011923556053464,25.970306181987137
Japan,FTT:Fr,33.79700673173611,30.993306819399738,28.522641004907925
