Model,Scenario,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FTT:P,Current traj.,30.165420268533683,22.56006502604997,16.422674287803325,10.703300949584884,5.311881725724461,0.28678256564599314,-4.353647466882089,-8.603485996654012,-12.313875019074517,-15.698216971648508,-18.782477920463403,-21.62483953040614,-24.24867149756515,-26.427368234270368,-28.512563925118922,-30.435924177216858,-32.21388533811744,-33.804971042388374,-35.275449191539465,-36.604619294615226,-37.313624723325475,-36.77920262637045,-36.774546778513105,-37.09371427562083,-37.690476539850955,-38.72996456634742,-39.73346371152016,-40.68230451490649
FTT:P,Carbon tax,30.165420268533683,22.463969577485717,15.200450614196086,8.711719754540198,2.8272019574144163,-2.4060677628225218,-7.082216751586053,-11.239875984852322,-14.810295076445104,-18.033838920673062,-20.970988022983807,-23.65334557370761,-26.08653391938937,-28.106982298094266,-30.031062663270735,-31.799649700788265,-33.43183406117524,-34.88294964171199,-36.20530014016194,-36.40814306759418,-35.204249955235696,-35.195063376852914,-36.385432242121794,-37.471825171710094,-38.511066103557326,-39.47133231591126,-40.395640102050315,-41.2763442739204
FTT:P,Subsidies,30.165420268533683,22.204625122150105,15.729450081983275,9.796329403345762,4.28785550251545,-0.7445077394521407,-5.320851536843483,-9.468849191448259,-13.062696190397633,-16.310152978368073,-19.267778446684808,-21.980846999527596,-24.473780741229888,-26.53974100410494,-28.518161570598153,-30.334030491936616,-32.024764330948585,-33.50004600841069,-34.38040985367177,-33.2044614628867,-34.03333921614205,-34.85597308174605,-34.96314225114557,-36.089928318042794,-37.14956252423024,-38.13828355006776,-39.073760682864275,-39.970147770814584
FTT:P,Mandates,30.165420268533683,22.56006502604997,15.646382627736921,9.040680178014432,2.8987630266381164,-2.612903006910442,-7.473861101082473,-11.75689218800029,-15.407738794935119,-18.667945191637077,-21.594244100256525,-24.218326023976843,-26.594792164105638,-28.5658484065904,-30.454825136952746,-32.19103412842193,-33.76856498722759,-35.146076510027356,-36.409192524988214,-36.633845416705874,-35.71724713991559,-35.55281768000245,-36.65237955718489,-37.75634457400982,-38.80263847779239,-39.760216462680646,-40.69528170839416,-41.59859719496412
FTT:H,Current traj.,28.083596698752594,25.74954144384226,23.529893532452444,21.429163630342845,19.367727812382352,17.410709704892785,15.55993992014384,13.757058427319931,12.134942052644814,10.572497243101939,9.045930754393561,7.546790278339872,6.066593307143029,4.635510309432077,3.2756408827319476,1.9261536581484282,0.59789009258389,-0.6179325509288558,-1.8898994361206374,-3.0718060073703666,-4.170961226694193,-5.209225306837279,-6.196848729126056,-7.143313764857015,-8.036682548372987,-8.922394965155338,-9.784034295516927,-10.601557019150254
FTT:H,Carbon tax,28.083596698752594,25.57122366074732,23.132142108514273,20.835115891656802,18.612301472145784,16.46178995182077,14.458813567670125,12.515099285053974,10.7697609139133,9.107481820572005,7.498806254273112,5.932184324533062,4.41632409789663,2.9639231636684658,1.5842611315300563,0.21994015285746152,-1.1146216223013437,-2.3220455607173784,-3.583099008345668,-4.692339374165183,-5.786082179239634,-6.815593742452068,-7.800532794485682,-8.742114232058324,-9.626505710549239,-10.479041220835905,-11.313720511222813,-12.105292474298098
FTT:H,Subsidies,28.083596698752594,25.376531157912282,22.694748589942623,20.179504840243535,17.753477847526707,15.475783122030105,13.347789696358303,11.267533894697502,9.387974770711269,7.609966525789705,5.910936662547319,4.290074047280363,2.7402937906391194,1.2744263841516406,-0.08660441909089606,-1.4199896410883175,-2.6665049442726083,-3.797163087300436,-4.984126486946982,-6.087822040312632,-7.157951603840362,-8.16783180360586,-9.131731103282439,-10.058115447397116,-10.93628095246909,-11.808035183162191,-12.660741253795408,-13.47205334630655
FTT:H,Mandates,28.083596698752594,25.74954144384226,23.228001426037967,20.586841148255193,17.818121583072745,15.052593106254388,12.319864633665068,9.604605808225278,7.0674725417250235,4.604578541795454,2.25675124283743,0.30444185749115243,-1.465441023015384,-2.755000071557657,-3.9828922087828205,-5.206909235450913,-6.425892427106285,-7.541564381354303,-8.725858355249109,-9.8344847302325,-10.93120761983902,-11.952192597646588,-12.924438264397756,-13.860510899596163,-14.745715549547144,-15.618681668207714,-16.47659558609397,-17.28860811878098
FTT:Tr,Current traj.,24.951506517198485,15.033367645446095,10.096252888781912,5.8437245406550264,2.1628324853430922,-1.1012726115397782,-4.062916166011047,-6.772846958284176,-9.249220850866754,-11.51263587936974,-13.585091259452561,-15.481004897912275,-17.213201468054482,-18.7951217451025,-20.23940357905939,-21.561614868080483,-22.76972638208337,-23.8674427101285,-24.89341378943868,-25.836300067964856,-26.695540049574223,-27.48931226313228,-28.236965863860195,-28.937928772758028,-29.566460190555638,-30.159379317970995,-30.72747146370459,-31.26526017059896
FTT:Tr,Carbon tax,24.951506517198485,14.994978031328161,9.995346821209937,5.689401004619372,1.9767026804923395,-1.31025338219598,-4.282383590835744,-7.005284369901561,-9.487492303421812,-11.75378055853455,-13.825420138526002,-15.719600351066363,-17.447496919048078,-19.023900978371195,-20.46165490424238,-21.7761334444479,-22.977287017053794,-24.068254151445416,-25.088034064476712,-26.019605601649943,-26.871463504707716,-27.661113167934545,-28.40456715757485,-29.093587610070063,-29.716766761048195,-30.306893318587125,-30.871309970648273,-31.404394627674687
