Carbon tax only,Mandate before 2027,Mandate before 2030,Mandate before 2035
2696311.066534128,2698605.589239114,2701082.4141518055,
-3771.8087409832515,-4687.237375250086,-4544.174556162208,
2745774.3234415287,2747068.8786701728,2744544.1092369934,2742831.749625282
-1881.373247187119,-1740.317893025931,1989.99991866434,5762.243480505887
