Model,Technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FTT:P,Coal,9.4530737978585,10.239392357852099,10.437221285766801,10.08246429119688,10.020309186778094,9.775405721313694,9.432486276956565,9.027312982810148,8.565137353593087,8.054409215814372,7.561520891702235,7.005388772614052,6.528018006444396,6.07683594945907,5.693837902564414,5.328806277766503,5.0154021934656745,4.731785065245586,4.494107097858892,4.278821655280698,4.095370971532543,3.9321266506363863,3.7910673159860933,3.671057889542331,3.5686671194930426,3.479091095734557,3.390812417264872,3.3105634601965486,3.2281745079106265,3.1527211897670333,3.0713876847142125
FTT:P,Gas and oil,7.054337801372801,7.336828727600998,7.311023913526399,6.907374725863692,6.680771607909557,6.377238726001204,6.024705011812722,5.620173910809268,5.1942675115810015,4.791651254851384,4.448218145070288,4.14169235351977,3.875139844224977,3.6193186499413366,3.378449389883297,3.150741895820006,2.9340012613291266,2.7278894878343327,2.528805950802312,2.333123724356533,2.1442247907505068,1.9650067574278829,1.7904801123617835,1.6272919949677371,1.4838397684918272,1.3442952570318083,1.2146557987243998,1.0955087844649558,0.9858727078909648,0.8803140484338683,0.7806873130875063
FTT:P,Nuclear,2.6764494310000004,2.813208224,2.685464006,2.3660139517947,2.4377662765467143,2.4334884999500894,2.438292685753777,2.4421445725937425,2.441596921278391,2.436254416732714,2.423543815390181,2.390466079440545,2.3552514070839736,2.2799162255394223,2.2238983637421077,2.171099275311488,2.104320173639307,2.0290923747728247,1.9578855841507863,1.888431251075877,1.822504940216046,1.760052403359173,1.7023533839757776,1.6480877925235449,1.6061500327941893,1.5436331627783224,1.5139400209571579,1.5314064177666427,1.5011036955151515,1.4773676722209903,1.453945679495817
FTT:P,Biomass + other,4.530776620999999,4.476472650000001,4.548022869000001,5.605759389877055,5.5162140635284755,5.776568952880554,6.0572733561748775,6.347190717921541,6.654547779085074,6.980395190114008,7.264893667141611,7.524448664568926,7.73879994000296,7.985268534251886,8.172115905967157,8.370156387462796,8.481820219417958,8.579105680757538,8.603674306619117,8.600136731899367,8.522938979381118,8.40140554292282,8.245209443868628,8.047916707724985,7.827434813283575,7.594062458739742,7.351184479115464,7.086251660462187,6.827896468648048,6.56116364144439,6.310019648340062
FTT:P,Hydropower,4.456753098999999,4.401343764000001,4.4698210870000015,5.518046230499009,5.4262773480051685,5.686543800029265,5.967471254228011,6.2579685002436305,6.566233802101207,6.893455589507488,7.179939270276931,7.442418647938526,7.660313436272888,7.909802076901324,8.099501111306942,8.300564279420513,8.415235271345898,8.515955268234665,8.543395942020792,8.538354970480825,8.468430545954442,8.349796675894277,8.196447852066436,8.001962016959766,7.784151584511275,7.553224297720712,7.31283166772061,7.050735179841808,6.794594531406586,6.530022564019229,6.280970418492544
FTT:P,Offshore wind,0.10789201586334064,0.1420136761576398,0.1666856844876785,0.23707061372515517,0.25677547487176183,0.2627219931770599,0.2649617272937305,0.2637181039500276,0.25912728337135665,0.25194372398609544,0.24290548955758695,0.23210035282396013,0.21956283967553306,0.20667980420706003,0.19433899291231183,0.18157067236418697,0.16879344946065955,0.15616911003916345,0.1441817856448539,0.13272347621985767,0.12193127885004139,0.11189784011581616,0.10241869033008064,0.09355011692645562,0.0848809164337756,0.07675896154902136,0.06931198036874431,0.0625316455332806,0.05622710201525839,0.050492858537935933,0.04525261567408632
FTT:P,Onshore wind,1.4957843283566596,1.7256466580123606,1.9567200368823212,2.4596462118345674,3.0164766837289148,3.6090196064038906,4.293483000907095,5.076312621485958,5.932503590996477,6.817946891438176,7.696863567150288,8.48736760067807,9.1912073736764,9.8350780658248,10.410423319356617,10.936062003319561,11.430216179064475,11.915474052341933,12.423965933215332,12.970942597063635,13.570254444729471,14.204903074864548,14.842694030905172,15.488796540110679,16.106288309988113,16.728764537143885,17.333562154478955,17.9569219772704,18.599672573074315,19.25316662094126,19.918158557074424
FTT:P,Solar,0.8397008184599999,1.03664648434,1.3105815253499993,1.5641266354232095,1.9084116550520323,2.2819808267307296,2.718151566571741,3.214476387032855,3.76415858092067,4.362822623915257,5.013895436625068,5.6887088675076924,6.427304265265225,7.23766952833621,8.119631888750758,9.051637866857645,10.019902049606358,11.022955447441701,12.054620170969025,13.095904299255734,14.151623909061339,15.23955325774689,16.371478647264837,17.55063664596393,18.782707771484894,20.067617536375824,21.34620438121795,22.515042351182927,23.76179065354273,24.985157272326237,26.205601547721564
FTT:H,Coal,0.41686689630521023,0.40067861980078384,0.3886400336043474,0.3792162701904607,0.3712054866676992,0.3638582323055633,0.3568697296797642,0.34957358256721216,0.34266143205054056,0.3364601166866266,0.3310118754210227,0.32547249135918077,0.32080039566124013,0.31695729445307236,0.31392133168320363,0.31169005756833446,0.3102676647621201,0.3097034365056522,0.31005492752010105,0.31127165559281805,0.31316243638301455,0.3156108595253005,0.3184401840541224,0.32158314018032186,0.32499046254590513,0.32862395706451275,0.33244233687836333,0.33643341844700525,0.3405767911589914,0.34484191510706935,0.3492085319336035
FTT:H,Oil,0.8338683528667435,0.790149903769779,0.7470677466810859,0.7095409598234793,0.6766202667742143,0.6478649115733349,0.6231713824435073,0.6012618992097013,0.5807840326557797,0.5613114309417222,0.5427112338073197,0.5242011375747945,0.5064653899470439,0.48940347978551924,0.4729336313161261,0.4570043536837028,0.4415177302838125,0.42655577126202887,0.412135373050341,0.39824697826665145,0.38483741927112486,0.3718976496450373,0.3593689057976192,0.34726756607580933,0.3356173202703098,0.32444089051761,0.31375327597143954,0.3035933686512703,0.2940100614999641,0.2850452539596405,0.27664758302231524
