Model,Technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FTT:P,Coal and oil,10.134565782013686,11.070420524274557,10.741060916205337,10.757459463565072,10.742926599040553,10.71164453847016,10.635915131315494,10.537334881886808,10.411918678530588,10.239145153853771,10.01736877489565,9.677925301732268,9.301007010579417,8.899056430548573,8.489516447958225,8.099193981982054,7.716622899678578,7.346835916718443,6.992352225334107,6.6695078384113655,6.373798828549984,6.088486649946482,5.802580527172754,5.54677995962559,5.333000926467567,5.121856379946157,4.907516706613326,4.688298262571211,4.477137251195271,4.273006610106887,4.074824813815693
FTT:P,Gas,6.574510453527315,7.073725247527315,6.96768045143328,6.977689001501329,6.947288205070894,6.880106690241282,6.809834592730761,6.715777541526087,6.603306959088486,6.476708978020422,6.341038317048008,6.16719099551241,5.995031617798967,5.826887269690937,5.660327644938292,5.497271408702822,5.3299841489121285,5.1612785327353174,4.993964312238319,4.822941001227462,4.639387764773817,4.44514311505911,4.233540360677523,4.017207320290186,3.7891538831110227,3.554163470939287,3.3177330583313447,3.0958181574193135,2.894756945751102,2.7090319870322888,2.534970299312928
FTT:P,Nuclear,2.673939476,2.7952191730000004,2.7466887976120464,2.800011098224067,2.8565787497351454,2.918831046803112,2.994864431964676,3.0768829706556304,3.159311598860721,3.2527315016231126,3.3479727570679176,3.4352179477550626,3.524290647033876,3.6141246488563494,3.702469911649641,3.7838623089662624,3.845561529023992,3.901529833179194,3.944318375518726,3.916176932065606,3.9322226128841993,3.9433104864177606,3.946665297903421,3.8801898430556365,3.8697952112690164,3.853885766221778,3.834910931008422,3.8106105259804166,3.7836511393077132,3.753324408408985,3.725472599370819
FTT:P,Biomass + other,0.8143334369107964,0.8580587983890572,0.8525029185884061,0.8300811728795723,0.809542872049879,0.790559059651561,0.7726439399206779,0.7560234145036074,0.7417429518219366,0.728362546773364,0.7170509920425989,0.7012542363184232,0.6848626168603433,0.6677203339146107,0.6495987930427299,0.6308215477313577,0.6091286827311265,0.5868365050511786,0.5612073718181858,0.5399462068255962,0.5185452768157226,0.4964201785758294,0.46984370478720133,0.43926542096264487,0.4220635523300334,0.405666703308858,0.3901263294526914,0.3748917736390753,0.3606018184681179,0.3468615422675609,0.33315460220700227
FTT:P,Hydropower,4.216021627,4.243632924434783,4.413655873233735,4.560356986166243,4.697022010031848,4.80946412580559,4.880308445061107,4.919818374051135,4.9357435832250856,4.933209864879654,4.91313243296194,4.863008729149906,4.804532104379433,4.734464061786037,4.654751003175773,4.547436863987026,4.417660073837525,4.303604578251895,4.2053761265117915,4.1231050829312865,4.045147639791979,3.981839075494992,3.932598471158186,3.899107958434787,3.84327496454092,3.79067701822463,3.7402920816163054,3.6893426382457277,3.637931456978685,3.584013142102713,3.5321900524836263
FTT:P,Wind,1.6054154834935452,1.822483751846541,2.0334466594517995,2.301119509097402,2.605595303497755,2.9484453802529593,3.3225570482362903,3.7310818590227006,4.159753514482037,4.609069102378994,5.073073393891118,5.505928807908989,5.934272590427076,6.36747689010982,6.799730482438071,7.238099805289436,7.654104072926573,8.051537875052087,8.42214773984165,8.788114294266887,9.113049863668477,9.424714539602727,9.73174060570754,10.045119579184169,10.358992127664555,10.6608141480239,10.931924788537357,11.171821263956007,11.36986781869012,11.527884987879748,11.652152945508751
FTT:P,Solar,0.84586172105,1.017620337545338,1.1669290190241377,1.340127696082745,1.5534335159364145,1.8148078539396868,2.1321159245503143,2.516267778449425,2.980453013668064,3.5310773967968143,4.176819203384142,4.890039078944856,5.683986714159673,6.543641952590019,7.463352904642306,8.433327824930357,9.43170561140576,10.466808986881224,11.538766688488801,12.666572715257036,13.840639522521057,15.05698337109515,16.31354322663922,17.626707172660037,18.893832257896854,20.20826846435808,21.585715586275292,23.008094568989247,24.47280481338568,25.986598890146276,27.540835331270507
FTT:H,Coal,0.40344327198403035,0.4074518923906427,0.41221431969815386,0.4170189820201078,0.410304215348542,0.39979685603788545,0.3895518868757075,0.3789348867020821,0.3682770906020568,0.3577748866273653,0.34745583208005637,0.33625798985940214,0.32534672999304687,0.3147294935535786,0.30442631529824543,0.2944643120682021,0.284888590354901,0.27576422958566144,0.26715218749244085,0.2590650772248775,0.25145462813658676,0.2442514829280145,0.2373752727971894,0.23077359759269012,0.22440833389769485,0.21825152449263455,0.21227968457415144,0.20648416941651362,0.20085451353210973,0.19537735132080483,0.19004426802440932
FTT:H,Oil,0.8248689379623915,0.8096081450668173,0.7930106575023341,0.7768271616876566,0.7547127203392135,0.7310109645033012,0.7066521989834696,0.6837188820308298,0.6619929406270149,0.6412423170197963,0.621422763729116,0.6015638759624071,0.5824603020181597,0.5640173407272854,0.5461724817565151,0.5288970316173282,0.512151855382637,0.49600441532616657,0.480487938918398,0.4655977256778579,0.4512894619117121,0.43752493538415416,0.4241640312799991,0.4111391169534613,0.3983913665969887,0.3858760650848891,0.3735543125447418,0.3614205467262261,0.3494688839612312,0.33769370325030157,0.3260950046724478
FTT:H,Gas,3.447989091431019,3.4775605023366896,3.499264429723361,3.5158972346882984,3.510495075517179,3.493076487564376,3.4666091713778284,3.434677998350879,3.3972837664146844,3.3543376599340706,3.306493252398002,3.252573373812998,3.195191763027462,3.134851681731673,3.0722870988214184,3.00818904852174,2.943155626674776,2.8778145648861035,2.8128960343918936,2.7491988958458258,2.687636896594172,2.628686872121387,2.572487087422639,2.5189757398658936,2.4678441047415154,2.418724063937108,2.371157636461656,2.3247372992196773,2.2790830837455083,2.2338172008595176,2.1886753130199375
