cat,Scenario,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LDV,Current traj.,-43.009422466844086,-45.04965002506719,-47.06318292498978,-48.90449203005063,-50.69745503216096,-52.405552902312884,-54.031228681539915,-55.59931431379677,-56.99973891935174,-58.2668466804306,-59.40848382266471,-60.45492119396844,-61.429202123681115,-62.385237226870295,-63.28902938451374,-64.14263139721697,-64.94850724640169,-65.70807873067231,-66.41916741267508,-67.08033279642495,-67.69791788646812,-68.27181527059366,-68.80323373227513,-69.29728612715908,-69.75802197718805,-70.1828790007561,-70.57553121183747,-70.94390207496093
LDV,+ Europe,-43.009422466844086,-45.04965002506719,-47.15611051504784,-49.14514183804319,-51.09455131906658,-52.952829707402984,-54.7123455278826,-56.4184348363297,-57.922182450061584,-59.29538276223421,-60.52329151135047,-61.644418270573176,-62.674295793757516,-63.67047799137341,-64.60385160489633,-65.47665156054211,-66.29476658042226,-67.09629179496898,-67.82931741719564,-68.50098997937663,-69.11957278046249,-69.68986912238793,-70.21511699126638,-70.70155028282564,-71.15304661351021,-71.5689439679268,-71.95039755835464,-72.30605356191798
LDV,+ China,-43.009422466844086,-45.04965002506719,-47.185944669036346,-49.26701476994806,-51.333598860429944,-53.28106153104766,-55.10566163849056,-56.84711258723477,-58.38494038377854,-59.777336330109314,-61.009406497314,-62.12925176914957,-63.15036127102706,-64.13665954114933,-65.05626995131351,-65.9118947117666,-66.70888402879069,-67.47815214964344,-68.18044345519777,-68.81963810662364,-69.40803463975833,-69.9492257515442,-70.44777501317698,-70.9091588582297,-71.33816896903784,-71.73513183839854,-72.09983173256254,-72.44121140091536
LDV,+ US and India,-43.009422466844086,-45.04965002506719,-47.42924329385776,-49.844583001345555,-52.20660560104745,-54.37632361057806,-56.34985157919941,-58.16703608995935,-59.7444670697953,-61.14772717935622,-62.386231972245575,-63.48990578758645,-64.49114678395257,-65.45591215782892,-66.35646097213154,-67.19777835856227,-67.98171128932309,-68.7286080588504,-69.41405919050764,-70.04127238097733,-70.62057495548572,-71.15068666074234,-71.63851308637004,-72.09022768378355,-72.50794033213258,-72.89127310558264,-73.24182830806996,-73.56927448492921
LDV,+ RoW,-43.009422466844086,-45.04965002506719,-47.838625949118544,-50.72020294019371,-53.406072677402044,-55.777663645307626,-57.877619743967195,-59.76359712855984,-61.408418599031165,-62.83961520087991,-64.07142883691185,-65.16019166401875,-66.14922115770715,-67.10108184446533,-67.98949786293905,-68.8202513401757,-69.59078075225649,-70.32903741074279,-71.00272118271657,-71.62214648680342,-72.19680419332691,-72.72426986237095,-73.21007531954851,-73.65990881618437,-74.0758740437206,-74.45671797902732,-74.8066459303681,-75.13258229891589
LDV,Current traj.,31.5506968060199,26.730004871469937,22.817950344395342,18.895607497648452,15.162608950748087,11.670441623646655,8.372813577836604,5.2920033164804146,2.3790174417242578,-0.3331235805684545,-2.8527043394825764,-5.210195584338235,-7.392548269465973,-9.427671543708747,-11.288943022822755,-13.038433480601778,-14.698459276803929,-16.262767959447523,-17.714648173754945,-19.050697885860412,-20.297376052759578,-21.453394034302534,-22.538214571805117,-23.55143586815255,-24.493127839072883,-25.35597259207373,-26.164187606787657,-26.931553967635285
LDV,+ Europe,31.5506968060199,26.730004871469937,22.552409248948816,18.244391978743,14.11260712560813,10.238391341615856,6.596122384743011,3.1445534908064725,-0.053871306058530584,-3.0623958181546835,-5.831290997091125,-8.405981302203047,-10.7631215109808,-12.927465649913383,-14.885091763657536,-16.698361671886808,-18.408566796285786,-20.10596651785135,-21.628677359404932,-22.99863006245033,-24.255640000862865,-25.411450436521722,-26.487432437852462,-27.485104247972412,-28.409924568003206,-29.252957083141467,-30.040900697722396,-30.78217262607908
LDV,+ China,31.5506968060199,26.730004871469937,22.467162407534428,17.90918760610426,13.467831191252618,9.364659253576955,5.554547932836188,2.0134393082655317,-1.2759341386548961,-4.337617720114545,-7.12734810186487,-9.693685633468489,-12.028639826143039,-14.168629258075509,-16.09036884801944,-17.860233215573352,-19.518315622028574,-21.125883479877224,-22.56171603980425,-23.84779429731527,-25.022294144262098,-26.100163756204246,-27.104125008685,-28.039188211050696,-28.90645491922547,-29.699676138796573,-30.44432158940571,-31.14758858985711
LDV,+ US and India,31.5506968060199,26.730004871469937,21.77197451117147,16.326963268343277,11.12079854736292,6.447994538763897,2.256070049703594,-1.4784431323824492,-4.87769658184811,-7.978384175703311,-10.795779559861861,-13.331116940244828,-15.622580666668297,-17.71151627145829,-19.604040522546455,-21.344552378090697,-22.973272254213366,-24.53202380403217,-25.934105721774383,-27.194675243647893,-28.34878648858418,-29.40872944553394,-30.395459828971507,-31.30865888945466,-32.1547514250606,-32.920567003285626,-33.6362976728998,-34.30743088126614
LDV,+ RoW,31.5506968060199,26.730004871469937,20.60198364866224,13.962657257489914,7.976885819338748,2.83310652552026,-1.6548381576756035,-5.555019636113297,-9.147114648123774,-12.329058302587127,-15.1497646222059,-17.658986724006823,-19.936273033395306,-22.012220276430746,-23.892828503412044,-25.62815333521708,-27.25656368458413,-28.813004823514568,-30.205896519855557,-31.46927483865267,-32.630103008319686,-33.70889915042377,-34.71271583344628,-35.644105395224635,-36.50778201907318,-37.29281860580529,-38.02569550631979,-38.71608715586435
LDV,Current traj.,33.21881329497239,28.372486281895018,24.226258073045095,20.398777949028574,16.67433219375325,13.127527225441778,9.762548507189832,6.59693279961541,3.626019182384259,0.8768777430224197,-1.6416073137594593,-3.893168415950719,-5.831067056196716,-7.456382899671414,-8.873382043277415,-10.2093481676132,-11.528478209174468,-12.823317308518423,-14.101100460965043,-15.321436987415316,-16.47951404806636,-17.572956006539727,-18.614121288266208,-19.610110343189916,-20.506300079627724,-21.341599943854508,-22.11930949241578,-22.845213045929267
LDV,+ Europe,33.21881329497239,28.372486281895018,23.955167759324173,19.73510890412331,15.60593662392763,11.67220373143333,7.958799317466174,4.418103779092472,1.1632271733236286,-1.8922982584405261,-4.665917799969673,-7.140115988516237,-9.250790090658748,-11.007841859973762,-12.521971182400712,-13.927266475196065,-15.29556760194585,-16.7273076016228,-18.079874801858168,-19.339168559082143,-20.50713654220668,-21.599087070538776,-22.631373711728013,-23.61357646306246,-24.492601856685155,-25.30985076998455,-26.06573671959083,-26.765441020420916
LDV,+ China,33.21881329497239,28.372486281895018,23.868138858763583,19.39331069418152,14.949201091370949,10.783323530044399,6.900134898544393,3.269262096468363,-0.07761754390089211,-3.186902406397637,-5.9729927902540805,-8.447012956141803,-10.534722324284218,-12.264755133939316,-13.744788483817953,-15.107192467220926,-16.42028266379907,-17.761981446075634,-19.02673658480203,-20.199896431891087,-21.285217076661873,-22.299263667772586,-23.25954278675548,-24.176047147667912,-24.996670681815008,-25.76351195946624,-26.47513205803964,-27.1373525249259
LDV,+ US and India,33.21881329497239,28.372486281895018,23.15841840401309,17.780148814856535,12.558449104421676,7.81728792509312,3.549528890796266,-0.2767153101674587,-3.7336277136071185,-6.87942439530826,-9.695269748371876,-12.13556146377218,-14.179150333425447,-15.860212543303653,-17.305856088577816,-18.639443259495266,-19.92647620587908,-21.219085458121466,-22.450973430535306,-23.599045292643666,-24.66496475920547,-25.663071868348048,-26.601902607586563,-27.50349842384644,-28.30052717891298,-29.040872146679515,-29.7228238452002,-30.353497600777292
LDV,+ RoW,33.21881329497239,28.372486281895018,21.96400662233092,15.371083351961396,9.36167742511929,4.1480949113403085,-0.4161827917876047,-4.40455416872714,-8.055236582972242,-11.281989235254782,-14.093049590264876,-16.520351100096065,-18.538864503153395,-20.207135615178473,-21.641531631987913,-22.96923525311057,-24.256348024522698,-25.552253051080047,-26.779141031592605,-27.93359683012034,-29.01347663852833,-30.030521210032337,-30.990677612218544,-31.909411555874534,-32.72992263851,-33.488513155872354,-34.19167298414593,-34.84404088344464
