Policy,Cumulative emissions (MtCO2),2050 emissions (MtCO2)
Power policies,32406.060365707177,1196.7335373121068
Heat policies,15825.226174084079,845.7023661252804
Transport policies,51146.6574865825,2116.611922145967
Freight policies,6712.22976559101,739.4077084735393
Combined policies,59252.936301221955,2031.3498445707419
Remaining emissions,227890.55982606875,2571.589855762645
