Region,2025 %diff,2035 %diff,2050 %diff
India,-28.93382243724812,-49.621784098096015,-62.12092737124923
China,-10.191430284777965,-38.97106799442457,-56.54199263146399
Brazil,-8.91296872268742,-39.673496159705905,-55.201161034733815
United States,22.685124368990348,-19.788789286989076,-47.585144015921216
Germany,3.6519399952830445,-21.2437013066411,-31.64894216832131
UK,31.77194670123212,-14.257660474119081,-24.229985713987535
India,-0.39146810653978376,-12.420924444553183,-24.53304491351995
China,-65.87621007641451,-69.02118107484952,-73.81038865492621
Brazil,-43.033848970366186,-49.59939580939756,-56.30217555676902
United States,-1.9595304894064178,-16.323571724393464,-30.568372860933653
Germany,73.93318051471505,35.95099215787658,7.239151472566636
UK,115.0678518399225,85.79501482726347,56.05833955138642
India,-16.679715901224906,-37.69435583230747,-49.369173254745846
China,-6.074584599327216,-27.844787588576626,-39.32896795250544
Brazil,73.22338726747041,36.98458870625376,17.010868250630978
United States,9.106117878716404,-18.182333861045347,-32.42308099171423
Germany,40.975879339652415,6.209367284415146,-12.047950055739559
UK,-19.67352802472762,-39.31500478882387,-49.55001545165126
India,5.837390132687739,-11.526206634034208,-28.215242388035232
China,8.46721734282234,-2.099786164517703,-19.87631658659108
Brazil,5.489576488843276,-9.733421524042205,-22.2002027028193
United States,-10.530588580081623,-22.42091813740719,-31.07701275129774
Germany,-11.821090473570079,-25.823823015690746,-34.2158889532161
UK,-10.659712892986352,-21.325760995745636,-28.784210437858547
