Model,Policy,Region,Crossover year,Crossover year_Baseline,Crossover year difference
FTT:Tr,Coal phase-out,5,2031.4058857023695,2031.6969019539868,0.29101625161729316
FTT:Tr,Coal phase-out,6,2032.6739870142958,2032.9636683723609,0.28968135806508144
FTT:Tr,Coal phase-out,7,2029.8334235510897,2030.0810335723886,0.24761002129889675
FTT:Tr,Coal phase-out,8,2031.0861179748529,2031.3786714511584,0.2925534763055566
FTT:Tr,Coal phase-out,9,2030.6979130746013,2030.9700125616912,0.2720994870899176
FTT:Tr,Coal phase-out,10,2030.8340333115063,2031.1348538261266,0.3008205146202272
FTT:Tr,Coal phase-out,11,2030.5774631275071,2030.8415069386429,0.2640438111357071
FTT:Tr,Coal phase-out,12,2030.1215279827284,2030.3682723755057,0.24674439277737292
FTT:Tr,Coal phase-out,13,2030.2050414744178,2030.4620162165904,0.25697474217258787
FTT:Tr,Coal phase-out,14,2029.9477540179967,2030.188488913396,0.2407348953993278
FTT:Tr,Coal phase-out,15,2022.5968736642278,2022.5968736642278,-0.0
FTT:Tr,Coal phase-out,16,2030.6026103026688,2030.9333058507498,0.33069554808093926
FTT:Tr,Coal phase-out,17,2029.8181829234827,2030.0301745977204,0.21199167423765175
FTT:Tr,Coal phase-out,18,2030.9576072504751,2031.239610231296,0.28200298082083464
FTT:Tr,Coal phase-out,19,2030.8128388723164,2031.0787714983517,0.26593262603523726
FTT:Tr,Coal phase-out,20,2032.6550464017485,2032.9487874587915,0.29374105704300746
FTT:Tr,Coal phase-out,21,2031.5751935090032,2031.86968314914,0.2944896401368169
FTT:Tr,Coal phase-out,22,2032.7516943685048,2033.041374211744,0.2896798432391279
FTT:Tr,Coal phase-out,23,2031.5532781841544,2031.8586143006153,0.3053361164609214
FTT:Tr,Coal phase-out,24,2029.6901940151683,2029.9583306035158,0.2681365883474882
FTT:Tr,Coal phase-out,25,2031.5917767971757,2031.8741016895008,0.2823248923250503
FTT:Tr,Coal phase-out,26,2032.1732087591972,2032.459159966194,0.28595120699674226
FTT:Tr,Coal phase-out,27,2031.5754504967435,2031.8583224848917,0.28287198814814474
FTT:Tr,Coal phase-out,28,2030.728305424871,2030.9871540483532,0.2588486234822085
FTT:Tr,Coal phase-out,29,2030.5865107260051,2030.8436132805348,0.25710255452963793
FTT:Tr,Coal phase-out,30,2030.7377393018473,2030.9980590276568,0.26031972580949514
FTT:Tr,Coal phase-out,31,2030.5414805908317,2030.811390328564,0.26990973773217775
FTT:Tr,Coal phase-out,32,2032.127596359378,2032.4234107087914,0.2958143494133765
FTT:Tr,Coal phase-out,33,2032.9296109023055,2033.1683746804479,0.2387637781423564
FTT:Tr,Coal phase-out,34,2030.0070237033149,2030.3299751370462,0.32295143373130486
FTT:Tr,Coal phase-out,35,2029.764035973691,2029.9652411371942,0.20120516350311846
FTT:Tr,Coal phase-out,39,2022.3148353866134,2022.3148353866134,-0.0
FTT:Tr,Coal phase-out,41,2026.6436627228504,2026.7484226706224,0.10475994777198139
FTT:Tr,Coal phase-out,51,2022.5448211678943,2022.5448211678943,-0.0
FTT:Tr,Coal phase-out,52,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,53,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,54,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,55,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,56,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,57,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,58,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,59,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,60,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,61,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,62,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,63,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,64,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,65,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,66,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,67,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,68,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,69,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,70,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Coal phase-out,71,2022.5519786531154,2022.5519786531154,-0.0
FTT:Tr,Heat pump mandates,5,2031.6967721484432,2031.6969019539868,0.00012980554356545326
FTT:Tr,Heat pump mandates,6,2032.9634728200986,2032.9636683723609,0.0001955522623120487
FTT:Tr,Heat pump mandates,7,2030.080969027499,2030.0810335723886,6.454488971030514e-05
FTT:Tr,Heat pump mandates,8,2031.3785636217979,2031.3786714511584,0.00010782936055875325
