Carbon tax only,Mandate before 2027,Mandate before 2030,Mandate before 2035,CT_from_2024_counterfactual_2030,CT_from_2024_counterfactual_2035,CT_from_2027_counterfactual_2030,CT_from_2027_counterfactual_2035,CT_from_2030_counterfactual_2030,CT_from_2030_counterfactual_2035,CT_from_2035_counterfactual_2035
2152.0701796714566,100057.55628865506,100057.55628865506,100057.55628865506,2152.0701796714566,2152.0701796714566,100057.55628865506,100057.55628865506,100057.55628865506,100057.55628865506,100057.55628865506
2538.1910609875595,190673.0119134116,190673.0119134116,190673.0119134116,2538.1910609875595,2538.1910609875595,190673.0119134116,190673.0119134116,190673.0119134116,190673.0119134116,190673.0119134116
2961.0698797468685,25715.009181339527,277237.1905955199,277237.1905955199,2961.0698797468685,2961.0698797468685,25715.009181339527,25715.009181339527,277237.1905955199,277237.1905955199,277237.1905955199
3429.6702872244823,36252.681978768785,362528.3074229354,362528.3074229354,3429.6702872244823,3429.6702872244823,36252.681978768785,36252.681978768785,362528.3074229354,362528.3074229354,362528.3074229354
3947.959767896631,41740.42525518173,447809.72681082296,447809.72681082296,3947.959767896631,3947.959767896631,41740.42525518173,41740.42525518173,447809.72681082296,447809.72681082296,447809.72681082296
4523.241894948376,47829.30797758902,134799.24369331636,533509.6932596839,2388.680783292788,4523.241894948376,24570.405235964456,47829.30797758902,65135.11179931671,134799.24369331636,533509.6932596839
5165.127428319407,54523.23340653669,176804.25821237732,619223.7699556621,1843.828202039258,5165.127428319407,19201.56378642068,54523.23340653669,71431.10581464949,176804.25821237732,619223.7699556621
5880.873055836433,61743.44917838118,197936.8249240315,703080.7763074008,1941.2116417351062,5880.873055836433,20830.055711256515,61743.44917838118,76777.40313568921,197936.8249240315,703080.7763074008
6677.782404044607,69533.99949239579,219857.08086697967,783488.4226118675,2026.6075783705455,6677.782404044607,22266.087128156854,69533.99949239579,81380.71073694434,219857.08086697967,783488.4226118675
7563.252828980061,78193.12522301287,243431.21862181555,860675.6515496355,2097.269982140264,7563.252828980061,23716.472048696596,78193.12522301287,86105.93919402361,243431.21862181555,860675.6515496355
8540.246038869118,87943.64420857828,269203.88838960277,415630.0136808902,2146.718954142918,4463.104366532258,25260.098575955606,48217.63320557843,91313.29009357397,157192.76352614863,226296.1470313724
9611.93782408697,98841.03421486216,296954.80935577536,510543.3295239769,2171.554073567473,3255.5741680581414,26853.920533161378,38109.58061060915,96816.87513680337,128918.12946377229,235292.84291485325
10780.901274642209,110854.30094359815,326226.6449769847,544640.5364130102,2169.1587515667707,3251.088706302762,28413.188586326665,40219.96749327041,102321.73801454902,135508.91978787072,243902.13685735036
12058.312204091533,124007.61623126315,356627.00399784185,577095.2361975024,2142.899447022719,3212.593830896876,29930.77472577372,42256.23801043851,107730.38983866293,141909.93523378158,251929.25564695336
13447.269709035158,138195.80601345026,387266.6668584021,606245.7266007764,2092.833633296548,3138.698008080886,31342.488507216563,44117.713469417184,112700.39541239198,147596.0101244175,258356.09844092373
14945.348064172067,153267.7154304029,417296.68834789935,630843.2063804232,2015.884757837266,3024.7030443062395,32583.108831243124,45700.10863667028,116964.51615070691,152244.37462582253,262612.05428593885
16560.111136127554,169305.35396326636,446433.2967244303,650867.2289284058,1917.6089175470188,2879.3120321845636,33749.52620220615,47142.95462082187,120862.06951333117,156228.0533051337,265437.33188166935
18304.990919828066,186368.0227251025,474319.35396733787,666041.6188922357,1806.2368154676878,2714.764296441397,34942.71555201546,48596.446948158555,124597.50622571539,159896.30369190127,267311.61502957344
20189.863660668838,204403.7212132418,500368.0198583044,676096.9235168565,1688.166784632478,2540.316163056239,36219.06438614242,50132.4102823725,128288.21547197038,163379.1079214774,268387.30862000026
22217.67451412094,223345.28728989116,523999.81130503584,680840.4568678085,1566.9024439348213,2361.1029037961416,37615.00045316585,51799.71709787985,131966.35401413497,166662.79480584385,268608.5015657833
24401.250380216457,243093.21913355216,544688.9928909121,680305.477291029,1451.7157456063505,2189.7025439241697,39209.759708706406,53685.53097570548,135779.070990738,169957.5448109354,268250.0216478426
26742.58425424958,263540.3211876792,561927.5362567147,674699.4921064973,1347.324715253686,2035.2175587463717,41060.52549717645,55883.293893692084,139808.7852497138,173338.7242537262,267465.5811655205
29234.001609081373,284378.0856133229,575152.7285936177,664223.4982661977,1256.669045107279,1899.7435822052357,43191.185057319235,58409.13381836121,144043.85066240793,176807.11018790398,266212.925180519
31858.748850727687,305206.76784403995,583762.1013055462,649101.8001327738,1182.0366823663353,1784.1002051190735,45584.320046928246,61228.89085274353,148362.99751172215,180175.97704304382,264341.6272206092
34568.383091530355,325742.7997476356,587669.7179340962,630039.0600559581,1119.9036707083724,1689.0948888445128,48319.58483545098,64442.29474400426,152937.1720124688,183693.63671946153,262141.914436806
37329.12034273107,345502.27242872585,586608.4688923731,607675.7916148342,1075.4270556136617,1617.552609077975,51412.47214970854,68061.31389056402,157728.02181382012,187251.28923559468,259677.2167088017
