cat,Scenario,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LDV,Current traj.,0.0,-4.686745496260645,-8.674373007156428,-12.432671940564788,-16.071472649032145,-19.497753256376463,-22.73866400882293,-25.77986407357235,-28.619619792168876,-31.24203922395728,-33.63587168832601,-35.79560755564057,-37.737964450872866,-39.49304638008738,-41.087479529461795,-42.54468110921957,-43.884028730875556,-45.11560215731874,-46.24902661677257,-47.28948302854632,-48.24483085101404,-49.11418487237654,-49.91563724415353,-50.65423968968411,-51.336830301922305,-51.957693838836896,-52.53912216667946,-53.084715586177964
LDV,+ Europe,0.0,-4.686745496260645,-8.847530152225895,-12.899686743565498,-16.856022040365236,-20.5892251346577,-24.104268425222113,-27.425977903568736,-30.47636727436407,-33.306539100235184,-35.86929043265393,-38.17120401753238,-40.22121963895184,-42.05615857901382,-43.70815749095092,-45.20390523194553,-46.56964890184361,-47.884263209919304,-49.067390054376915,-50.130984748247734,-51.09225502421652,-51.95926475352382,-52.75286772132582,-53.4810000401036,-54.15044383167998,-54.75995197494527,-55.325376057286334,-55.85188167203229
LDV,+ China,0.0,-4.686745496260645,-8.903114394446852,-13.133463624547124,-17.321602773824306,-21.235548505939736,-24.882940933020485,-28.278306311055534,-31.394977517761436,-34.26521619249128,-36.83670346150749,-39.13684835424615,-41.169154926661,-42.98353867061363,-44.609563578150585,-46.0725787624665,-47.397329549730486,-48.64841834708211,-49.76699829077877,-50.76749468348823,-51.66786723185946,-52.47740381689097,-53.217560682901336,-53.89707943774709,-54.52321886944549,-55.09546068927637,-55.628253203491866,-56.12686227952161
LDV,+ US and India,0.0,-4.686745496260645,-9.356405906715565,-14.24407272484108,-19.025439244103996,-23.393261930104526,-27.348059386451425,-30.90327372846348,-34.10283764910498,-36.9989464975117,-39.585037932168426,-41.85636206237355,-43.85110676599963,-45.624229191781154,-47.216714195200254,-48.65294250866457,-49.95438108183697,-51.16843365268182,-52.26199427124712,-53.242814257230016,-54.12753985410107,-54.924561007786544,-55.65140507468891,-56.315392832280615,-56.92488641473146,-57.475301397241715,-57.98736634478018,-58.46313046232682
LDV,+ RoW,0.0,-4.686745496260645,-10.119582013517205,-15.94951684701062,-21.417055986388988,-26.22354093478861,-30.454722763813518,-34.16191232740475,-37.50059341216674,-40.45886091653607,-43.03766671416155,-45.285193952210506,-47.25501793545429,-49.00775591806115,-50.581476084571875,-51.99985992499645,-53.28894023127856,-54.495357995918724,-55.5779898683574,-56.55414921469199,-57.44057609255631,-58.244312252102674,-58.97950365262425,-59.65301334238906,-60.27057999347827,-60.832890987401626,-61.35623625597392,-61.843475476000606
MDV,Current traj.,64.94845360824742,55.312461271546226,47.64931326539055,40.555220419676516,33.720504074255125,27.318108750074416,21.27364354383598,15.61584377229747,10.347090555928677,5.496580287639857,1.0917007068552709,-2.854012259414053,-6.3727083666779185,-9.524705957480704,-12.365223316715547,-14.936112150666837,-17.272167494340614,-19.399457476753522,-21.34247074857449,-23.114496377151262,-24.73306484624805,-26.194895730403324,-27.54115310610301,-28.779721332376035,-29.922026826170327,-30.94940304156375,-31.911478784932118,-32.812717844710754
MDV,+ Europe,64.94845360824742,55.312461271546226,47.42892166462141,39.89324232230227,32.56224578001,25.676588367441333,19.204554239480935,13.130337757009523,7.552630131142767,2.423868397821729,-2.1999886268755513,-6.320797185236889,-9.965461598831524,-13.20512101499692,-16.105556536843814,-18.711128802212286,-21.06838126154139,-23.290236269470316,-25.29580694716644,-27.09340641022671,-28.71439915275958,-30.168404072413228,-31.49865368900471,-32.71739092580535,-33.83603560260621,-34.84603045391571,-35.781347519259334,-36.65175509463182
MDV,+ China,64.94845360824742,55.312461271546226,47.358179346761005,39.57149843961134,31.89765676596642,24.73158136944227,18.054464250287534,11.862429049014843,6.189749371866678,1.0022370850760405,-3.632637398642449,-7.747132021985488,-11.362851039336322,-14.569330903537594,-17.428192564492313,-19.98303648874372,-22.27872141073704,-24.410442220467814,-26.32152668049628,-28.026659297632285,-29.558049642283752,-30.927457325622623,-32.17873880328371,-33.32549423859729,-34.37995644997846,-35.3349046127496,-36.22202954462724,-37.05122208811036
MDV,+ US and India,64.94845360824742,55.312461271546226,46.78126652029919,38.032119434077025,29.452721684598952,21.575543738680434,14.413379892114099,7.966564603924129,2.1729549486881976,-3.0467736353258466,-7.688447540662836,-11.74919084523738,-15.295837734133206,-18.427426947340102,-21.220209008923657,-23.723983142326176,-25.97642677782922,-28.049183671673767,-29.919300793464462,-31.591427716360297,-33.095367193275365,-34.44273762660172,-35.67050695835596,-36.79064886383456,-37.81679813129347,-38.73360139463458,-39.5888058989554,-40.38230562460968
MDV,+ RoW,64.94845360824742,55.312461271546226,45.80963385498456,35.601156485246065,25.863569280445407,17.215988811074663,9.568944329444085,2.8568713588918575,-3.1310524856486848,-8.439438999573428,-13.0578894915829,-17.05962119229391,-20.54548465777475,-23.620491685641255,-26.361984565739252,-28.81497250110201,-31.026786781212337,-33.069136638902826,-34.90924553590533,-36.55764061260044,-38.04809957559391,-39.391167506437824,-40.61682583509358,-41.736902088027215,-42.7610352309594,-43.68447433192292,-44.544465818730735,-45.34331747434516
