Model,Technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FTT:P,Coal,9.4530737978585,10.239392357852099,10.437221285766801,11.247035539675947,11.096961026653231,10.417498062000673,9.514462955802271,8.5870408969196,7.699723111839377,6.8637723653707745,6.095480010215719,5.375657952572194,4.719102758236409,4.103828539633575,3.540769125369407,3.0149081230027472,2.605118045765005,2.2304157112371024,1.9145125256577902,1.6125716339647749,1.3212327796640684,1.035813091106337,0.7533914445950446,0.47666760162090693,0.21200171175105476,0.000578099075951127,0.000547115373057198,0.0005159289047793488,0.0004898616976182039,0.00046961776212133455,0.0004485741388304828
FTT:P,Gas and oil,7.054337801372801,7.336828727600998,7.311023913526399,7.274442138644085,7.157718682817877,7.102930535027744,7.052416491424418,6.9652204806045095,6.8201698452705815,6.649701822576305,6.4629413943800795,6.253451285857263,6.0525227480180135,5.890547402395241,5.739154556039454,5.5935413060115,5.386495024521759,5.184882451485167,4.990703166581028,4.785892977744885,4.587897844792467,4.392483408012762,4.197341072339871,4.007505210108915,3.8248085062253163,3.6610871766800757,3.477190466019985,3.2936376153568814,3.1190095751316487,2.9555211151916265,2.792423215701588
FTT:P,Nuclear,2.6764494310000004,2.813208224,2.685464006,2.5211458038990893,2.5692646450949534,2.660821453978902,2.768513066328619,2.8616088254628487,2.956317684806778,3.0334655786981246,3.0983075834041,3.128174702467904,3.140459386380654,3.094047667137361,3.0671810384420204,2.986674514828064,2.9156340815138253,2.816547374493312,2.741428388974262,2.676136871203223,2.6152973967310036,2.549489060600384,2.4695810769741495,2.407088412758114,2.3454227485853627,2.110519395378372,2.0427818334287218,1.9867555237171075,1.9349849566739223,1.789645328818474,1.7363563605738763
FTT:P,Biomass + other,4.530776620999999,4.476472650000001,4.548022869000001,3.7495528413897676,3.7560375439853178,3.9426750724779556,4.154254471670804,4.356175066190859,4.548606101596722,4.719257604067381,4.8760757867121125,4.968108012967881,5.043265926890604,5.095358485154504,5.11903178326835,5.123126937388303,5.103616664263375,5.071393300063902,5.018430535814049,4.972440193852318,4.916125380886677,4.8684859347548395,4.814811848798204,4.767673516235372,4.713487629867732,4.677875853403548,4.599181818050583,4.527788592064536,4.451758147527111,4.39140400510411,4.322002374699683
FTT:P,Hydropower,4.456753098999999,4.401343764000001,4.4698210870000015,3.6482023384614495,3.651893943138748,3.8444892932275954,4.06314501642444,4.272176275884044,4.471556132740825,4.648871831343415,4.812366326367688,4.911218072764147,4.993399086204985,5.052704600504758,5.0828796493819866,5.093201973209645,5.077673128726357,5.053006207930906,5.002389726501249,4.958757795976907,4.90474095911106,4.8594838316851,4.808100847157516,4.763227930114514,4.711318261034898,4.677875853403548,4.599181818050583,4.527788592064536,4.451758147527111,4.39140400510411,4.322002374699683
FTT:P,Offshore wind,0.10789201586334064,0.1420136761576398,0.1666856844876785,0.23468464848261347,0.2660259754264012,0.29917765887644543,0.3347103443668381,0.36868940279622464,0.4008319385220503,0.4324635615503623,0.46389513447085756,0.4934559629334581,0.521799108014477,0.5510147747432403,0.5787386418556895,0.6038690083502304,0.626491744545698,0.6495247203478726,0.6704490446304485,0.690227670259938,0.7075095079350051,0.7245355226884633,0.7408811281290348,0.755604596763805,0.7693815808779368,0.7847440101766008,0.7913147361845477,0.7954891034996362,0.8007735513328875,0.8054298228264604,0.8090034656258496
FTT:P,Onshore wind,1.4957843283566596,1.7256466580123606,1.9567200368823212,2.3580402809754166,2.7231588470975985,3.177797414336352,3.6939128615089802,4.239899271159229,4.790235503757398,5.342918051694545,5.866904899380957,6.35074047298964,6.811448738387777,7.256396551919296,7.670959937268151,8.08489840572973,8.44456792433363,8.811734242040266,9.225512180908211,9.656890057508887,10.051370206437129,10.421502930660013,10.76583471022136,11.057727632923482,11.304006602578093,11.538824660885554,11.611090726382642,11.635144762547085,11.63470595583441,11.59468090904696,11.543030628847418
FTT:P,Solar,0.8397008184599999,1.03664648434,1.3105815253499993,1.785318239707194,2.199740250806043,2.80670430763144,3.563794874643125,4.436654192815139,5.402191202778886,6.449889085013928,7.565333820117373,8.674849836311814,9.832615065671604,11.06223290597763,12.333063264430974,13.682564068402497,15.01426186781491,16.380676075899732,17.6583680091554,18.951222995415236,20.315330271399144,21.75134093544845,23.280729367766988,24.873254615343637,26.538238587166862,28.354348985377417,29.97712123921172,31.625725661566094,33.313257224400274,35.116355162986046,36.85620219676846
FTT:H,Coal,0.40344327198403035,0.407786386431319,0.4125696757668752,0.41739615579976175,0.42225469587829745,0.419659474868921,0.41056802687642124,0.395715815325769,0.3755647899339943,0.35072445416486037,0.32148608248080435,0.2872415137777728,0.2493521272440989,0.2081628125750018,0.19493381607768326,0.18344042890159906,0.17564690536265923,0.16811728271293988,0.16084188538891522,0.1538139330459286,0.14702821607426142,0.14048405629470598,0.13417411529934384,0.12809653573999846,0.12224962995307576,0.11663140682563243,0.1112387992999457,0.10606914568190948,0.10111847250695051,0.0963811323691937,0.09185078751540761
FTT:H,Oil,0.8248689379623915,0.8100472040592737,0.7934263766497757,0.7772208564670836,0.7615025931312276,0.7384622315718052,0.7097403386384906,0.6762481097076174,0.6393483358828201,0.6002566487841303,0.5595462658391812,0.5167186158514325,0.4732018780340442,0.4298453925685847,0.3961472451050948,0.3756262799566062,0.3624414423635219,0.3495425825687101,0.3368757439526045,0.3244158373383345,0.3121257931460221,0.2999882309664497,0.287993807114623,0.27615273682469865,0.26448260872632895,0.25299764169700084,0.24170426155947677,0.23060797208380915,0.21971889269230838,0.2090517866020671,0.19862243972308496
