Year,PRICH,cost_roof,cost_grid,std_roof,share,MEWG,MEWL,MEWK,MEWS,rooftop_cap_share
2023,2466.49,-774.835,0.0,13.0066,0.488652,30196.8,0.139056,24.7726,0.243323,0.243323
2024,2540.0,-868.846,0.0,11.9463,0.550972,34366.5,0.139056,28.1934,0.26794,0.26794
2025,2611.02,-944.616,0.0,11.2291,0.611732,38654.0,0.139055,31.7109,0.276473,0.276473
2026,2672.96,-1011.61,0.0,10.585,0.669207,43121.7,0.139055,35.3762,0.283003,0.283003
2027,2726.18,-1070.75,0.0,9.99951,0.722039,47586.0,0.139055,39.0388,0.28685,0.28685
2028,2772.92,-1123.53,0.0,9.46798,0.769342,51974.6,0.139055,42.6393,0.288489,0.288489
2029,2818.64,-1173.37,0.0,8.98481,0.810705,56254.8,0.139054,46.1509,0.288232,0.288232
2030,2864.39,-1221.03,0.0,8.54626,0.846134,60415.0,0.139054,49.5642,0.286356,0.286356
2031,2910.51,-1266.39,0.0,8.15899,0.875947,63959.4,0.139054,52.4722,0.282951,0.282951
2032,2972.66,-1319.16,0.0,7.80791,0.900662,67339.1,0.139053,55.2452,0.278629,0.278629
2033,3036.87,-1371.62,0.0,7.48723,0.920897,70581.4,0.139053,57.9056,0.273674,0.273674
2034,3102.89,-1423.82,0.0,7.19303,0.937297,73717.1,0.139052,60.4784,0.268303,0.268303
2035,3170.46,-1475.68,0.0,6.92375,0.95048,76776.7,0.139052,62.9889,0.262664,0.262664
2036,3239.62,-1527.24,0.0,6.67906,0.961007,79521.9,0.139052,65.2416,0.256839,0.256839
2037,3310.73,-1578.83,0.0,6.45673,0.969368,82224.9,0.139051,67.4596,0.251221,0.251221
2038,3383.65,-1630.47,0.0,6.2547,0.975981,84909.2,0.139051,69.6622,0.245202,0.245202
2039,3458.17,-1682.33,0.0,6.06662,0.981194,87594.9,0.13905,71.866,0.239068,0.239068
2040,3534.68,-1734.77,0.0,5.89001,0.985293,90299.0,0.13905,74.085,0.233046,0.233046
2041,3613.16,-1788.05,0.0,5.71946,0.988509,93035.8,0.13905,76.3309,0.227144,0.227144
2042,3693.49,-1841.91,0.0,5.55835,0.991028,95817.0,0.139049,78.6131,0.221244,0.221244
2043,3775.66,-1895.93,0.0,5.4157,0.992998,98652.6,0.139049,80.9401,0.215172,0.215172
2044,3860.23,-1950.96,0.0,5.28043,0.994539,101552.0,0.139048,83.3196,0.208668,0.208668
2045,3946.67,-2007.29,0.0,5.14043,0.995742,104522.0,0.139048,85.7564,0.201405,0.201405
2046,4035.35,-2064.39,0.0,5.01091,0.99668,107567.0,0.139048,88.2554,0.191158,0.191158
2047,4126.24,-2122.39,0.0,4.88882,0.997413,110694.0,0.139048,90.8207,0.154208,0.154208
2048,4219.45,-2181.0,0.0,4.78148,0.997984,113906.0,0.139048,93.4562,0.139187,0.139187
2049,4315.13,-2241.0,0.0,4.67451,0.998429,117209.0,0.139048,96.1664,0.139302,0.139302
2050,4413.15,-2301.99,0.0,4.57488,0.998776,120606.0,0.139047,98.9538,0.140332,0.140332
