,Unnamed: 0,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,Indirect Heating Coal,0.016753747263255805,-0.007039574142157695,-0.0017875445933661083,-0.012888840849732894,-0.034484494724647104,-0.016346264573951698,-0.008689993822749702,-0.004104285616340301,-0.003069592068392999,-0.00032487511048490125,-0.0009921759515608003,4.158607414360069e-05,0.0054313781011380985,0.009241239793790702,-0.006105271998134699,-0.0256197028652427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Indirect Heating Oil,0.0010741600335774024,-0.004539176518269402,0.0011099982732877024,0.006805103544839198,0.0026272704060519014,-0.001641383713283099,0.003771327252121398,0.004229806069653098,0.016940028179153604,0.006033981157168099,-0.0063652439865604996,0.0053409157913620955,-0.011174705407822796,-0.015004176199554797,0.0004188430919058947,-0.0324866959221918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Indirect Heating Gas,0.0007727233528371791,-0.010913169825991581,-0.09419329416907382,0.008442532850430423,0.10026063846792999,-0.03600868772401919,0.08787236498622208,0.002699730773662312,-0.1006383213746867,0.052439755092001494,0.030464449231964785,0.012813028342550437,0.031429654330021484,0.04674569876772289,0.05426924607353273,-0.4251987459846339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Indirect Heating Biomass,-0.0383647771113928,0.039385419356451706,0.08598799340742208,0.031694640521070516,-0.059522036083637375,0.019972970527312506,-0.05563761969489914,0.0398797732297875,0.009461669812837914,-0.021045633240493578,-0.0009092050858583167,-0.06535920520915542,-0.00878203678525219,-0.04283782629595309,0.007458317334774395,-0.1400651552229451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Indirect Heating Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Indirect Heating Steam Distributed,-0.0023624273445193994,0.0060363739314353015,0.007216522455910798,-0.0246173974597777,-0.0033933353449182024,0.027851279257268102,-0.013105771052343104,-0.0084407576817295,0.026534561245220897,0.010740044079877609,0.0014924215044132966,0.007232451146146193,0.003705252341913212,-0.0011425753088523116,-0.02126635097338489,-0.109441513073117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Direct Heating Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Direct Heating Oil,0.0003901037258349,-0.0003901037258349,0.0,0.0,0.0014047735184331,3.7025589631399904e-05,-3.320763891998934e-07,-0.00013930738351170002,-0.0013021596481636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Direct Heating Gas,-0.011635766802013114,-0.023314208408564185,0.033506754659151206,-0.03630791590196242,0.02414049359457282,-0.02025637892741039,-0.049747126474155634,-0.011764979961126187,0.07419717316171692,-0.06466131472102002,-0.025149917860009807,0.02356904090488529,-0.03150932959805369,-0.008601863418679995,-0.02944947379890439,-0.156817610429434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
