,LC,SD
1 Indirect Heating Coal,85.83284375,7.785354194
2 Indirect Heating Oil,41.95959341,4.056425383
3 Indirect Heating Gas,36.71434363,3.521536498
4 Indirect Heating Biomass,40.6840706,3.214529157
5 Indirect Heating Electricity,181.95163,18.05852139
6 Indirect Heating Steam Distributed,7.140589446,0.357029472
7 Heat Pumps (Electricity),65.41096521,5.588721428
8 Direct Heating Coal,166.510097,16.37979197
9 Direct Heating Oil,54.3510672,5.393517152
10 Direct Heating Gas,55.92473908,5.553068052
11 Direct Heating Biomass,154.7137168,15.20043898
12 Direct Heating Electricity,319.7529911,31.9023865
13 Direct Heating Steam Distributed,7.140589446,0.357029472
