,1 Baseload,2 Lower mid-load,3 Upper mid-load,4 Peak load,5 Back up reserve,6 Var renewables
1 Nuclear,1,0,0,0,0,0
2 Oil,0,0,0,0,1,0
3 Coal,0,1,0,0,0,0
4 Coal + CCS,0,1,0,0,0,0
5 IGCC,0,0,0,1,0,0
6 IGCC + CCS,0,0,0,1,0,0
7 CCGT,0,0,0,1,0,0
8 CCGT + CCS,0,0,0,1,0,0
9 Solid Biomass,0,1,0,0,0,0
10 S Biomass CCS,0,1,0,0,0,0
11 BIGCC,0,0,0,1,0,0
12 BIGCC + CCS,0,0,0,1,0,0
13 Biogas,0,0,0,1,0,0
14 Biogas + CCS,0,0,0,1,0,0
15 Tidal,0,0,0,0,1,0
16 Large Hydro,0,0,0,0,1,0
17 Onshore,0,0,0,0,0,1
18 Offshore,0,0,0,0,0,1
19 Solar PV,0,0,0,0,0,1
20 CSP,0,1,0,0,0,0
21 Geothermal,1,0,0,0,0,0
22 Wave,0,0,0,0,0,1
23 Fuel Cells,1,0,0,0,0,0
24 CHP,0,1,0,0,0,0
