,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,22931.2350944167,6504.70324566147,0.09462068965517241,0.01267241379310345,0.038,0.02,0.15,12,1.5834482758620687,9066.1,0.375,3.3997875000000004,0.6599999999999999,109.73296551724137,4,-0.014499569695115089,4
2 Petrol  Mid,32758.3172600623,10901.4315622838,0.12334482758620689,0.013517241379310345,0.051,0.03,0.15,12,2.064137931034483,9066.1,0.375,3.3997875000000004,0.18,143.0447586206897,4,-0.014499569695115089,4
3 Petrol Lux,51656.4809246409,28669.0214613536,0.20191379310344829,0.05660344827586207,0.064,0.03,0.15,12,3.378965517241379,9066.1,0.375,3.3997875000000004,-0.9000000000000001,234.16231034482757,4,-0.014499569695115089,4
4 Adv Petrol Econ,27517.48211330004,6504.70324566147,0.07603448275862068,0.01267241379310345,0.038,0.02,0.15,12,1.4251034482758618,9066.1,0.375,3.3997875000000004,0.6599999999999999,98.75966896551722,4,-0.07400058144377691,4
5 Adv Petrol Mid,39309.98071207476,10901.4315622838,0.10982758620689657,0.013517241379310345,0.051,0.03,0.15,12,1.8577241379310347,9066.1,0.375,3.3997875000000004,0.18,128.7402827586207,4,-0.07400058144377691,4
6 Adv Petrol Lux,61987.77710956908,28669.0214613536,0.16051724137931037,0.05660344827586207,0.064,0.03,0.15,12,3.0410689655172414,9066.1,0.375,3.3997875000000004,-0.9000000000000001,210.7460793103448,4,-0.07400058144377691,4
7 Diesel Econ,22931.2350944167,6504.70324566147,0.06894339622641509,0.009958490566037734,0.038,0.02,0.15,12,1.350943396226415,9066.1,0.375,3.3997875000000004,0.3600000000000003,100.10490566037736,4,-0.014499569695115089,4
8 Diesel Mid,32758.3172600623,10901.4315622838,0.07660377358490565,0.014554716981132072,0.051,0.03,0.15,12,1.5806037735849057,9066.1,0.375,3.3997875000000004,-0.06000000000000005,117.12273962264152,4,-0.014499569695115089,4
9 Diesel Lux,38482.9459413627,16497.4614286195,0.1179698113207547,0.025279245283018864,0.064,0.04,0.15,12,2.104274809160305,9066.1,0.375,3.3997875000000004,-0.42000000000000004,155.9267633587786,4,-0.014499569695115089,4
10 Adv Diesel Econ,27517.48211330004,6504.70324566147,0.08448275862068966,0.009958490566037734,0.038,0,0.15,12,1.2158490566037736,9066.1,0.375,3.3997875000000004,0.3600000000000003,90.09441509433962,4,-0.07400058144377691,4
11 Adv Diesel Mid,39309.98071207476,10901.4315622838,0.09462068965517241,0.014554716981132072,0.051,0,0.15,12,1.4225433962264151,9066.1,0.375,3.3997875000000004,-0.06000000000000005,105.41046566037735,4,-0.07400058144377691,4
12 Adv Diesel Lux,46179.53512963524,28669.0214613536,0.09462068965517241,0.025279245283018864,0.064,0,0.15,12,1.8938473282442747,9066.1,0.375,3.3997875000000004,-0.42000000000000004,140.33408702290075,4,-0.07400058144377691,4
13 LPG Econ,22931.2350944167,6504.70324566147,0.04825832,0.055200000000000006,0.039,0.02,0.15,12,1.5079999999999998,9066.1,0.375,3.3997875000000004,0.47999999999999976,84.59879999999998,4,-0.014499569695115089,4
14 LPG Mid,32758.3172600623,10901.4315622838,0.07072340000000002,0.069,0.056,0.03,0.15,12,2.21,9066.1,0.375,3.3997875000000004,-0.06000000000000005,123.981,4,-0.014499569695115089,4
15 LPG Lux,51656.4809246409,28669.0214613536,0.08153992000000003,0.07590000000000001,0.066,0.04,0.15,12,2.5480000000000005,9066.1,0.375,3.3997875000000004,-1.1400000000000001,142.9428,4,-0.014499569695115089,4
16 Hybrid Econ,25224.358603858374,6504.70324566147,0.08448275862068966,0.003379310344827586,0.039,0.03,0.15,12,1.4137931034482758,9066.1,0.375,3.3997875000000004,-0.06000000000000005,97.97586206896551,4,-0.15200309344504995,4
17 Hybrid Mid,36034.14898606853,10901.4315622838,0.0726551724137931,0.009293103448275861,0.056,0.04,0.15,12,1.215862068965517,9066.1,0.375,3.3997875000000004,-0.23999999999999988,84.25924137931034,4,-0.15200309344504995,4
18 Hybrid Lux,47767.3070858958,10485.1854390857,0.12418965517241379,0.016896551724137933,0.066,0.04,0.15,12,2.0782758620689656,9066.1,0.375,3.3997875000000004,-0.72,144.0245172413793,4,-0.15200309344504995,4
19 Electric Econ,16927.2890717672,294.004148012157,0.030000000000000002,0,0.046,0.04,0.15,12,0.54,9066.1,0.375,3.3997875000000004,0,22.437167942583734,4,-0.15200309344504995,4
20 Electric Mid,31794.6945022333,1288.68387826157,0.042,0,0.065,0.05,0.15,12,0.756,9066.1,0.375,3.3997875000000004,-0.627906,31.412035119617226,4,-0.15200309344504995,4
21 Electric Lux,40593.663,0,0.052000000000000005,0,0.08,0.06,0.15,12,0.936,9066.1,0.375,3.3997875000000004,-1.2600000000000002,38.89109110047848,4,-0.15200309344504995,4
22 motorcycles Econ,3808,1326,0.04038275862068965,0.0031258620689655174,0.03,0.03,0.15,7,0.6757931034482758,4533.05,0.55,2.4931775000000003,1.3199999999999998,46.83246206896551,2,-0.014499569695115089,3
23 motorcycles Lux,14932,5760,0.12689310344827584,0.03945344827586208,0.03,0.03,0.15,7,2.12351724137931,4533.05,0.55,2.4931775000000003,0.06000000000000005,147.15974482758617,2,-0.014499569695115089,3
24 Adv motorcycles Econ,3808,1326,0.04038275862068965,0.09462068965517241,0.03,0.03,0.15,7,0.6757931034482758,4533.05,0.55,2.4931775000000003,1.3199999999999998,46.83246206896551,2,-0.014499569695115089,3
25 Adv motorcycles Lux,14932,5760,0.09462068965517241,0.09462068965517241,0.03,0.03,0.15,7,2.12351724137931,4533.05,0.55,2.4931775000000003,0.06000000000000005,147.15974482758617,2,-0.014499569695115089,3
