,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.4432231185178617,0.02216115592589309,44637.35484442867,2231.867742221433,25.0,1,-0.05,0.05,0.3632828566626842,174.97771884906123,34.99554376981225,0,0.95,0.1,-0.05
Indirect Heating Oil,0.0487545430369648,0.0024377271518482412,9366.190940519455,468.3095470259729,25.0,1,-0.05,0.05,0.5153785071110654,176.86497195805904,35.37299439161181,0,0.95,0.1,-0.05
Indirect Heating Gas,0.0487545430369648,0.0024377271518482412,10320.538959312118,516.0269479656058,25.0,1,-0.05,0.05,0.5607911597436488,193.1348756400877,38.62697512801756,0,0.95,0.1,-0.05
Indirect Heating Biomass,0.5478237744880773,0.027391188724403867,44637.35484442867,2231.867742221433,25.0,1,-0.05,0.05,0.474068558320537,120.86759326993419,24.17351865398685,0,0.9,0.1,-0.05
Indirect Heating Electric,0.0709156989628579,0.003545784948142895,7942.026416097864,397.10132080489325,25.0,1,-0.05,0.05,0.9,1191.62545720556,238.325091441112,0,0.98,0.1,-0.05
Indirect Heating Steam Distributed,0.8864462370357237,0.04432231185178618,0.0,0.0,20.0,1,-0.05,0.05,0.5816441875558166,0.0,0.0,0,1.0,0.1,-0.05
Heat Pumps (Electricity),0.968885737080046,0.0484442868540023,27226.927180214527,1361.3463590107258,20.0,1,-0.432959407,0.05,3.0,1191.62545720556,238.325091441112,0,0.95,0.1,-0.432959407
Direct Heating Coal,0.1950181721478592,0.00975090860739296,5578.211151493662,278.91055757468314,15.0,1,-0.05,0.05,0.21933222504370822,174.97771884906123,34.99554376981225,0,0.9,0.1,-0.05
Direct Heating Oil,0.013296693555535857,0.0006648346777767928,2336.93660296073,116.8468301480365,15.0,1,-0.05,0.05,0.42904675460609926,176.86497195805904,35.37299439161181,0,0.9,0.1,-0.05
Direct Heating Gas,0.013296693555535857,0.0006648346777767928,2336.93660296073,116.8468301480365,15.0,1,-0.05,0.05,0.4629570806128249,193.1348756400877,38.62697512801756,0,0.95,0.1,-0.05
Direct Heating Biomass,0.1950181721478592,0.00975090860739296,5578.211151493662,278.91055757468314,15.0,1,-0.05,0.05,0.12805115190068436,120.86759326993419,24.17351865398685,0,0.9,0.1,-0.05
Direct Heating Electric,0.05318677422214342,0.0026593387111071712,1398.7057884939277,69.93528942469639,12.5,1,-0.05,0.05,0.34202234288687644,1191.62545720556,238.325091441112,0,0.98,0.1,-0.05
Direct Heating Steam Distributed,0.8864462370357237,0.04432231185178618,0.0,0.0,20.0,1,-0.05,0.05,0.18995145131133623,0.0,0.0,0,1.0,0.1,-0.05
