"energy_technologies","year","value"
"Nuclear","2019",70.6573521486658
"Oil","2019",343.165131479736
"Coal","2019",70.8636253191314
"Coal + CCS","2019",135.197005766594
"IGCC","2019",251.685079505647
"IGCC + CCS","2019",823.256189106421
"CCGT","2019",96.9386287488251
"CCGT + CCS","2019",282.248005096188
"Solid Biomass","2019",165.562947211151
"S Biomass CCS","2019",205.568021493765
"BIGCC","2019",388.232087552787
"BIGCC + CCS","2019",451.835721542262
"Biogas","2019",226.290597336963
"Biogas + CCS","2019",232.717036565696
"Tidal","2019",372.977297567462
"Large Hydro","2019",1009.85134243189
"Onshore","2019",85.6615459889487
"Offshore","2019",14057.9952172741
"Solar PV","2019",85.1441746319041
"CSP","2019",142.699107590042
"Geothermal","2019",492.104060573056
"Wave","2019",265.186363616293
"Fuel Cells","2019",17770.9379251122
"CHP","2019",105.34933712577
"Nuclear","2020",69.7321664192461
"Oil","2020",339.304609656047
"Coal","2020",70.8837615457433
"Coal + CCS","2020",132.033544482665
"IGCC","2020",246.88231254639
"IGCC + CCS","2020",801.031322404718
"CCGT","2020",96.7955605164865
"CCGT + CCS","2020",274.72334427261
"Solid Biomass","2020",163.810896744153
"S Biomass CCS","2020",201.943923974079
"BIGCC","2020",380.04845973763
"BIGCC + CCS","2020",435.516686871078
"Biogas","2020",222.223298478417
"Biogas + CCS","2020",228.095885545507
"Tidal","2020",371.767359018582
"Large Hydro","2020",1014.28411064629
"Onshore","2020",84.4513647312786
"Offshore","2020",13247.1789463493
"Solar PV","2020",79.4259128746026
"CSP","2020",135.401504321483
"Geothermal","2020",491.341142541458
"Wave","2020",265.475317860938
"Fuel Cells","2020",17766.7711752287
"CHP","2020",105.461076422691
"Nuclear","2021",69.4483144881818
"Oil","2021",341.547540946036
"Coal","2021",71.029798892217
"Coal + CCS","2021",131.052964238478
"IGCC","2021",244.96190941171
"IGCC + CCS","2021",796.004198994279
"CCGT","2021",97.2680741325912
"CCGT + CCS","2021",272.345285432847
"Solid Biomass","2021",163.426868698977
"S Biomass CCS","2021",201.076279576606
"BIGCC","2021",377.900785419662
"BIGCC + CCS","2021",430.873822018554
"Biogas","2021",220.617414358915
"Biogas + CCS","2021",226.195045753568
"Tidal","2021",371.245937741477
"Large Hydro","2021",992.48865117081
"Onshore","2021",84.0560026475669
"Offshore","2021",12931.3847450666
"Solar PV","2021",76.4538508954527
"CSP","2021",130.651326316405
"Geothermal","2021",491.026286678068
"Wave","2021",265.834292614509
"Fuel Cells","2021",17765.034058135
"CHP","2021",105.652880885121
"Nuclear","2022",69.0310740789145
"Oil","2022",342.525035845496
"Coal","2022",71.1621020903604
"Coal + CCS","2022",129.814258917954
"IGCC","2022",242.484451130098
"IGCC + CCS","2022",782.796575669186
"CCGT","2022",97.7335621482904
"CCGT + CCS","2022",268.672741983994
"Solid Biomass","2022",162.852275703716
"S Biomass CCS","2022",199.555085685771
"BIGCC","2022",372.309339016558
"BIGCC + CCS","2022",421.417445314056
"Biogas","2022",218.726798234247
"Biogas + CCS","2022",223.69418659586
"Tidal","2022",370.929333207564
"Large Hydro","2022",1003.98458141741
"Onshore","2022",83.4913835126928
"Offshore","2022",12540.2995195372
"Solar PV","2022",73.5250805832182
"CSP","2022",125.628746472544
"Geothermal","2022",490.715586970181
"Wave","2022",266.256649532607
"Fuel Cells","2022",17763.3241223132
"CHP","2022",105.842925673584
"Nuclear","2023",68.6777533370262
"Oil","2023",341.041617409272
"Coal","2023",71.4849143015712
"Coal + CCS","2023",128.80784853239
"IGCC","2023",239.578184105559
"IGCC + CCS","2023",763.78448831567
"CCGT","2023",98.1368051152906
"CCGT + CCS","2023",263.797448802936
"Solid Biomass","2023",162.38850124964
"S Biomass CCS","2023",196.688200996485
"BIGCC","2023",364.899002470021
"BIGCC + CCS","2023",410.624771514542
"Biogas","2023",215.204365025573
"Biogas + CCS","2023",220.691795882986
"Tidal","2023",369.234653309398
"Large Hydro","2023",1018.28507093069
"Onshore","2023",83.4981423043069
"Offshore","2023",11948.7071237556
"Solar PV","2023",69.854605983788
"CSP","2023",118.763328268197
"Geothermal","2023",490.329867667597
"Wave","2023",266.973179720866
"Fuel Cells","2023",17761.8495180581
"CHP","2023",106.017133396341
"Nuclear","2024",68.3031498646911
"Oil","2024",349.103353007013
"Coal","2024",72.211188893719
"Coal + CCS","2024",129.129815770037
"IGCC","2024",241.29861593035
"IGCC + CCS","2024",761.770965780738
"CCGT","2024",99.4169456099799
"CCGT + CCS","2024",263.552842290659
"Solid Biomass","2024",162.593162460952
"S Biomass CCS","2024",195.069008590452
"BIGCC","2024",366.495237817726
"BIGCC + CCS","2024",410.293019036472
"Biogas","2024",213.494095438816
"Biogas + CCS","2024",217.538392790884
"Tidal","2024",369.700402445291
"Large Hydro","2024",1051.75722157272
"Onshore","2024",84.2971266313188
"Offshore","2024",11427.0574420873
"Solar PV","2024",66.9041058942089
"CSP","2024",112.103329382402
"Geothermal","2024",489.849540948447
"Wave","2024",268.177189617992
"Fuel Cells","2024",17760.4430127161
"CHP","2024",106.183422586247
"Nuclear","2025",67.9300172141543
"Oil","2025",358.174504648885
"Coal","2025",73.0636885865241
"Coal + CCS","2025",129.659020182011
"IGCC","2025",243.768901922414
"IGCC + CCS","2025",778.173299097083
"CCGT","2025",100.859599381838
"CCGT + CCS","2025",264.296074271688
"Solid Biomass","2025",163.088901075175
"S Biomass CCS","2025",194.075970715812
"BIGCC","2025",371.702809946422
"BIGCC + CCS","2025",414.700570936482
"Biogas","2025",212.892372999262
"Biogas + CCS","2025",214.821871257286
"Tidal","2025",369.946010668217
"Large Hydro","2025",1080.75780058992
"Onshore","2025",85.2999983228119
"Offshore","2025",11061.511944532
"Solar PV","2025",65.004368880224
"CSP","2025",108.890367808611
"Geothermal","2025",489.391129736485
"Wave","2025",269.585178524703
"Fuel Cells","2025",17759.2434753839
"CHP","2025",106.346192428217
"Nuclear","2026",67.5656176694201
"Oil","2026",367.340790827807
"Coal","2026",74.0149382488201
"Coal + CCS","2026",130.244424685677
"IGCC","2026",246.64430318312
"IGCC + CCS","2026",787.843912837526
"CCGT","2026",102.333089889775
"CCGT + CCS","2026",266.018352722262
"Solid Biomass","2026",163.820057028215
"S Biomass CCS","2026",193.36037494639
"BIGCC","2026",376.178047978633
"BIGCC + CCS","2026",417.118135627126
"Biogas","2026",213.44726792179
"Biogas + CCS","2026",212.523487517751
"Tidal","2026",370.254991864737
"Large Hydro","2026",1095.83409736121
"Onshore","2026",86.7260286500647
"Offshore","2026",10812.356201978
"Solar PV","2026",63.9577808726258
"CSP","2026",104.10569520558
"Geothermal","2026",488.957681515099
"Wave","2026",271.162389717362
"Fuel Cells","2026",17758.1883174299
"CHP","2026",106.46585025799
"Nuclear","2027",67.1977536605744
"Oil","2027",371.566915798478
"Coal","2027",75.0432803383619
"Coal + CCS","2027",131.186671674179
"IGCC","2027",249.886727406084
"IGCC + CCS","2027",800.596062973189
"CCGT","2027",103.845732374717
"CCGT + CCS","2027",268.891152931521
"Solid Biomass","2027",164.674841030659
"S Biomass CCS","2027",193.484644933687
"BIGCC","2027",382.07183193529
"BIGCC + CCS","2027",421.178039648328
"Biogas","2027",214.713125563587
"Biogas + CCS","2027",210.568244229004
"Tidal","2027",371.027642071355
"Large Hydro","2027",1104.2292748608
"Onshore","2027",88.1169311202794
"Offshore","2027",10625.8308566788
"Solar PV","2027",63.6184748190166
"CSP","2027",101.245200163552
"Geothermal","2027",488.559451095283
"Wave","2027",272.883625261342
"Fuel Cells","2027",17757.3189575779
"CHP","2027",106.618062056157
"Nuclear","2028",66.8313936075236
"Oil","2028",370.037787616557
"Coal","2028",76.0406535454117
"Coal + CCS","2028",131.988220492858
"IGCC","2028",252.011326343058
"IGCC + CCS","2028",815.658947935551
"CCGT","2028",105.31012223088
"CCGT + CCS","2028",270.29263337866
"Solid Biomass","2028",165.388866095845
"S Biomass CCS","2028",193.963780530105
"BIGCC","2028",387.859032006996
"BIGCC + CCS","2028",426.732073944366
"Biogas","2028",215.610200649786
"Biogas + CCS","2028",208.948486759917
"Tidal","2028",370.989991895992
"Large Hydro","2028",1111.85955226803
"Onshore","2028",89.3927166297828
"Offshore","2028",10482.5217972679
"Solar PV","2028",63.7796283600767
"CSP","2028",98.0948798120612
"Geothermal","2028",488.217461952849
"Wave","2028",274.613979896839
"Fuel Cells","2028",17756.5582548426
"CHP","2028",106.738599722914
"Nuclear","2029",66.4868468998666
"Oil","2029",368.558346561991
"Coal","2029",76.9159239018884
"Coal + CCS","2029",132.610239507235
"IGCC","2029",253.587234070479
"IGCC + CCS","2029",822.524687593018
"CCGT","2029",106.706783810048
"CCGT + CCS","2029",270.417192582912
"Solid Biomass","2029",165.993839101561
"S Biomass CCS","2029",194.093175582963
"BIGCC","2029",386.701215138902
"BIGCC + CCS","2029",424.973089936388
"Biogas","2029",215.548717429653
"Biogas + CCS","2029",207.637946403933
"Tidal","2029",368.854199293188
"Large Hydro","2029",1117.31516624312
"Onshore","2029",90.558039167166
"Offshore","2029",10377.651340653
