"energy_technologies","year","value"
"Nuclear","2019",70.1971262212774
"Oil","2019",261.852639811509
"Coal","2019",53.6714143443691
"Coal + CCS","2019",142.583590468524
"IGCC","2019",211.608833027737
"IGCC + CCS","2019",707.309688786396
"CCGT","2019",88.2854203305925
"CCGT + CCS","2019",185.374641909213
"Solid Biomass","2019",162.086048508684
"Biogas","2019",208.614416139537
"Large Hydro","2019",193.810646762787
"Onshore","2019",73.7679366500273
"Offshore","2019",105.652848260472
"Solar PV","2019",67.6779140185126
"CSP","2019",194.504062634383
"Geothermal","2019",1407.62439321284
"Fuel Cells","2019",17770.1440620379
"Nuclear","2020",69.2571611653309
"Oil","2020",262.72145503222
"Coal","2020",52.7987290905533
"Coal + CCS","2020",139.113998147847
"IGCC","2020",209.272767271799
"IGCC + CCS","2020",674.899549208548
"CCGT","2020",88.0492660972739
"CCGT + CCS","2020",182.093235331126
"Solid Biomass","2020",160.854042307123
"Biogas","2020",202.824634533929
"Large Hydro","2020",192.689982642321
"Onshore","2020",72.3709931345583
"Offshore","2020",100.717809498831
"Solar PV","2020",61.0002510351618
"CSP","2020",204.032640143499
"Geothermal","2020",1407.62439321284
"Fuel Cells","2020",17765.9193619104
"Nuclear","2021",68.7620786241582
"Oil","2021",265.560728111209
"Coal","2021",52.0304826637313
"Coal + CCS","2021",137.958019403936
"IGCC","2021",207.881352625997
"IGCC + CCS","2021",662.014007629202
"CCGT","2021",88.018085251787
"CCGT + CCS","2021",180.671186425194
"Solid Biomass","2021",160.553806556564
"Biogas","2021",200.213051784948
"Large Hydro","2021",190.643321706036
"Onshore","2021",70.9751839557204
"Offshore","2021",98.3733537270477
"Solar PV","2021",56.9379234139098
"CSP","2021",194.058759007567
"Geothermal","2021",1407.62439321284
"Fuel Cells","2021",17764.0790770929
"Nuclear","2022",68.157981916335
"Oil","2022",268.077114789086
"Coal","2022",51.4093108264226
"Coal + CCS","2022",136.380492626283
"IGCC","2022",206.049893461173
"IGCC + CCS","2022",607.273674477776
"CCGT","2022",88.0041708270265
"CCGT + CCS","2022",179.180684865294
"Solid Biomass","2022",159.895305802442
"Biogas","2022",192.571600672204
"Large Hydro","2022",189.418829943626
"Onshore","2022",70.7342815110786
"Offshore","2022",96.0274538984268
"Solar PV","2022",53.5444659992093
"CSP","2022",184.099607057122
"Geothermal","2022",1407.62439321284
"Fuel Cells","2022",17762.2749286946
"Nuclear","2023",67.5296024933971
"Oil","2023",270.354329811268
"Coal","2023",51.160231027762
"Coal + CCS","2023",136.86823689984
"IGCC","2023",198.140017362002
"IGCC + CCS","2023",591.591095735038
"CCGT","2023",88.1085347834417
"CCGT + CCS","2023",177.821522578315
"Solid Biomass","2023",159.608806524447
"Biogas","2023",189.091593806485
"Large Hydro","2023",187.590794582624
"Onshore","2023",69.8275564153286
"Offshore","2023",93.5456635953394
"Solar PV","2023",49.6284237755655
"CSP","2023",170.178266976461
"Geothermal","2023",1407.62439321284
"Fuel Cells","2023",17760.7127188395
"Nuclear","2024",66.8464148185218
"Oil","2024",273.877024053135
"Coal","2024",51.3317721355913
"Coal + CCS","2024",137.252025580793
"IGCC","2024",193.568919807909
"IGCC + CCS","2024",612.303242335697
"CCGT","2024",88.6253523409773
"CCGT + CCS","2024",179.023007676023
"Solid Biomass","2024",159.737174852342
"Biogas","2024",188.276074229074
"Large Hydro","2024",187.279657546189
"Onshore","2024",68.9478872776936
"Offshore","2024",91.586361860287
"Solar PV","2024",46.1740130238474
"CSP","2024",154.878157219915
"Geothermal","2024",1407.62439321284
"Fuel Cells","2024",17759.2179643239
"Nuclear","2025",66.1494669529468
"Oil","2025",277.466884660609
"Coal","2025",51.7338901634029
"Coal + CCS","2025",137.588611467602
"IGCC","2025",189.296297855182
"IGCC + CCS","2025",625.908158534629
"CCGT","2025",89.1891719821219
"CCGT + CCS","2025",180.607275719761
"Solid Biomass","2025",160.110529580181
"Biogas","2025",187.625620744925
"Large Hydro","2025",188.242233595792
"Onshore","2025",67.9053711168316
"Offshore","2025",90.140560174759
"Solar PV","2025",43.4193524832888
"CSP","2025",171.110930167002
"Geothermal","2025",1407.62439321284
"Fuel Cells","2025",17757.9341131096
"Nuclear","2026",65.4873410758823
"Oil","2026",281.096358233552
"Coal","2026",52.4476257332376
"Coal + CCS","2026",137.865913980019
"IGCC","2026",186.26294654354
"IGCC + CCS","2026",639.824134708904
"CCGT","2026",89.7264188747051
"CCGT + CCS","2026",182.582407943907
