Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
15 Rail transport,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
16 Road transport,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
17 Domestic aviation,1239.4263,1327.135,1271.7852,1286.6372,1170.1879,1032.8313,955.2781,1104.1962,1204.8893,1121.7104,1025.3518,1113.6987,1761.663,1503.7302,1251.8982,1453.9547,1470.9622,1489.4937,1508.5057,1528.0386,1548.1648,1571.0884,1594.4779,1618.2362,1642.5258,1667.3022,1692.7745,1718.7887,1745.4554,1772.7844,1800.8453,1829.5396,1858.8289,1888.9731,1919.6792,1951.2432,1983.4556,2016.3893,2050.2131,2084.7168,2120.1104
18 Other transp. serv.,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
19 Households,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
"20 Agriculture, forestry",1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
21 Fishing,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
22 Other final use,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
23 Non-energy use,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
24 Aviation bunkers,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
25 Marine bunkers,1239.4263,1327.135,1249.9949,1272.6914,1154.8088,1011.4092,941.8202,1086.0289,1157.4617,1047.0341,970.1118,970.1118,1526.692,1220.7102,962.1487,1157.3196,1167.282,1178.6052,1190.2422,1202.2292,1214.6353,1229.6602,1244.9684,1260.4586,1276.2893,1292.4116,1309.0302,1325.9863,1343.3862,1361.2349,1379.597,1398.3693,1417.5081,1437.2683,1457.3516,1478.0483,1499.144,1520.7054,1542.8959,1565.499,1588.719
