Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
15 Rail transport,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
16 Road transport,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
17 Domestic aviation,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
18 Other transp. serv.,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
19 Households,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
"20 Agriculture, forestry",329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
21 Fishing,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
22 Other final use,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
23 Non-energy use,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
24 Aviation bunkers,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
25 Marine bunkers,329.8181,329.8181,355.7929,344.2179,277.6726,386.2555,290.2076,311.1425,314.7452,295.9008,266.4733,266.4733,552.0531,395.0546,262.3875,266.1996,269.5841,273.4379,277.3985,281.4782,285.7006,290.8141,296.0242,301.2963,306.6841,312.1713,317.8273,323.5983,329.5202,335.5949,341.8443,348.2334,354.7471,361.4724,368.3076,375.3517,382.5314,389.8697,397.4221,405.1149,413.0177
