Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
12 Engineering etc,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
13 Other industry,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
14 Construction,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
15 Rail transport,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
16 Road transport,1412.5723,1620.9469,1686.5122,1618.2941,1533.1289,1330.6519,1178.532,1302.9927,1431.2751,1435.922,1232.8472,1260.7634,1278.6758,1297.1252,1316.1284,1335.7015,1355.8619,1376.6272,1398.0154,1420.0452,1442.7358,1466.1072,1490.1797,1514.9746,1540.5131,1566.8177,1593.9116,1621.8184,1650.5623,1680.1683,1710.6627,1742.0719,1774.4233,1807.7455,1842.067,1877.4185,1913.8303,1951.3345,1989.9639,2029.7522,2070.7339,2112.9453,2156.4231,2201.2051,2247.3306,2294.8398,2343.7744,2394.1768,2446.0913,2499.5635,2554.6396,2611.3682,2669.7983,2729.9819,2791.9707,2855.8188,2921.5825,2989.3198,3059.0884,3130.9507,3204.9683
17 Domestic aviation,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
18 Other transp. serv.,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
19 Households,1412.5723,1620.9469,1686.5122,1618.2941,1533.1289,1330.6519,1178.532,1302.9927,1431.2751,1435.922,1232.8472,1260.7634,1278.6758,1297.1252,1316.1284,1335.7015,1355.8619,1376.6272,1398.0154,1420.0452,1442.7358,1466.1072,1490.1797,1514.9746,1540.5131,1566.8177,1593.9116,1621.8184,1650.5623,1680.1683,1710.6627,1742.0719,1774.4233,1807.7455,1842.067,1877.4185,1913.8303,1951.3345,1989.9639,2029.7522,2070.7339,2112.9453,2156.4231,2201.2051,2247.3306,2294.8398,2343.7744,2394.1768,2446.0913,2499.5635,2554.6396,2611.3682,2669.7983,2729.9819,2791.9707,2855.8188,2921.5825,2989.3198,3059.0884,3130.9507,3204.9683
"20 Agriculture, forestry",1412.5723,1620.9469,1686.5122,1618.2941,1533.1289,1330.6519,1178.532,1302.9927,1431.2751,1435.922,1232.8472,1260.7634,1278.6758,1297.1252,1316.1284,1335.7015,1355.8619,1376.6272,1398.0154,1420.0452,1442.7358,1466.1072,1490.1797,1514.9746,1540.5131,1566.8177,1593.9116,1621.8184,1650.5623,1680.1683,1710.6627,1742.0719,1774.4233,1807.7455,1842.067,1877.4185,1913.8303,1951.3345,1989.9639,2029.7522,2070.7339,2112.9453,2156.4231,2201.2051,2247.3306,2294.8398,2343.7744,2394.1768,2446.0913,2499.5635,2554.6396,2611.3682,2669.7983,2729.9819,2791.9707,2855.8188,2921.5825,2989.3198,3059.0884,3130.9507,3204.9683
21 Fishing,1412.5723,1620.9469,1686.5122,1618.2941,1533.1289,1330.6519,1178.532,1302.9927,1431.2751,1435.922,1232.8472,1260.7634,1278.6758,1297.1252,1316.1284,1335.7015,1355.8619,1376.6272,1398.0154,1420.0452,1442.7358,1466.1072,1490.1797,1514.9746,1540.5131,1566.8177,1593.9116,1621.8184,1650.5623,1680.1683,1710.6627,1742.0719,1774.4233,1807.7455,1842.067,1877.4185,1913.8303,1951.3345,1989.9639,2029.7522,2070.7339,2112.9453,2156.4231,2201.2051,2247.3306,2294.8398,2343.7744,2394.1768,2446.0913,2499.5635,2554.6396,2611.3682,2669.7983,2729.9819,2791.9707,2855.8188,2921.5825,2989.3198,3059.0884,3130.9507,3204.9683
22 Other final use,1177.1665,1350.8442,1405.4346,1337.42,1267.0581,1099.7274,973.9891,1076.8673,1182.8743,1186.6832,1018.8645,1041.9532,1059.8655,1078.3151,1097.3182,1116.8914,1137.0518,1157.8169,1179.2051,1201.2349,1223.9255,1247.297,1271.3695,1296.1643,1321.7029,1348.0076,1375.1014,1403.0082,1431.752,1461.3582,1491.8525,1523.2617,1555.6132,1588.9353,1623.2568,1658.6083,1695.0201,1732.5243,1771.1537,1810.942,1851.9238,1894.1353,1937.6129,1982.3949,2028.5203,2076.0295,2124.9641,2175.3665,2227.281,2280.7532,2335.8293,2392.5579,2450.9883,2511.1716,2573.1604,2637.0088,2702.7725,2770.5095,2840.2783,2912.1404,2986.1582
23 Non-energy use,1412.5723,1620.9469,1686.5122,1618.2941,1533.1289,1330.6519,1178.532,1302.9927,1431.2751,1435.922,1232.8472,1260.7634,1278.6758,1297.1252,1316.1284,1335.7015,1355.8619,1376.6272,1398.0154,1420.0452,1442.7358,1466.1072,1490.1797,1514.9746,1540.5131,1566.8177,1593.9116,1621.8184,1650.5623,1680.1683,1710.6627,1742.0719,1774.4233,1807.7455,1842.067,1877.4185,1913.8303,1951.3345,1989.9639,2029.7522,2070.7339,2112.9453,2156.4231,2201.2051,2247.3306,2294.8398,2343.7744,2394.1768,2446.0913,2499.5635,2554.6396,2611.3682,2669.7983,2729.9819,2791.9707,2855.8188,2921.5825,2989.3198,3059.0884,3130.9507,3204.9683
24 Aviation bunkers,1412.5723,1620.9469,1686.5122,1618.2941,1533.1289,1330.6519,1178.532,1302.9927,1431.2751,1435.922,1232.8472,1260.7634,1278.6758,1297.1252,1316.1284,1335.7015,1355.8619,1376.6272,1398.0154,1420.0452,1442.7358,1466.1072,1490.1797,1514.9746,1540.5131,1566.8177,1593.9116,1621.8184,1650.5623,1680.1683,1710.6627,1742.0719,1774.4233,1807.7455,1842.067,1877.4185,1913.8303,1951.3345,1989.9639,2029.7522,2070.7339,2112.9453,2156.4231,2201.2051,2247.3306,2294.8398,2343.7744,2394.1768,2446.0913,2499.5635,2554.6396,2611.3682,2669.7983,2729.9819,2791.9707,2855.8188,2921.5825,2989.3198,3059.0884,3130.9507,3204.9683
25 Marine bunkers,1412.5723,1620.9469,1686.5122,1618.2941,1533.1289,1330.6519,1178.532,1302.9927,1431.2751,1435.922,1232.8472,1260.7634,1278.6758,1297.1252,1316.1284,1335.7015,1355.8619,1376.6272,1398.0154,1420.0452,1442.7358,1466.1072,1490.1797,1514.9746,1540.5131,1566.8177,1593.9116,1621.8184,1650.5623,1680.1683,1710.6627,1742.0719,1774.4233,1807.7455,1842.067,1877.4185,1913.8303,1951.3345,1989.9639,2029.7522,2070.7339,2112.9453,2156.4231,2201.2051,2247.3306,2294.8398,2343.7744,2394.1768,2446.0913,2499.5635,2554.6396,2611.3682,2669.7983,2729.9819,2791.9707,2855.8188,2921.5825,2989.3198,3059.0884,3130.9507,3204.9683
