Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
12 Engineering etc,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
13 Other industry,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
14 Construction,603.2833,635.783,773.148,835.1979,922.2047,1032.5785,1005.89,1016.1845,988.0084,984.8506,964.3771,941.7322,964.4709,1001.248,1035.7454,1067.5652,1096.3561,1121.806,1143.4589,1164.5349,1186.0061,1207.9093,1237.2391,1267.4213,1298.2245,1329.8977,1362.2859,1395.5027,1429.5818,1464.4509,1500.1027,1536.6958,1574.2568,1612.6963,1650.5853,1688.0458,1732.6884,1776.4213,1820.3105,1864.8811,1910.507,1957.561,2005.6945,2054.9773,2105.5652,2157.3867,2210.6377,2264.8696,2320.7681,2377.9097,2436.3638,2496.3601,2558.219,2621.3135,2686.061,2752.1318,2820.2783,2889.8521,2961.4021,3034.4697,3109.543
15 Rail transport,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
16 Road transport,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
17 Domestic aviation,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
18 Other transp. serv.,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
19 Households,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
"20 Agriculture, forestry",892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
21 Fishing,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
22 Other final use,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
23 Non-energy use,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
24 Aviation bunkers,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
25 Marine bunkers,892.3616,1029.7201,1129.5114,1155.0841,1184.4373,1303.7504,1251.2662,1125.5431,1087.5171,1063.5425,1062.6903,1079.4951,1103.2677,1141.717,1177.783,1211.0497,1241.1498,1267.7568,1290.3942,1312.4286,1334.8761,1357.7753,1388.4386,1419.9932,1452.197,1485.3104,1519.1714,1553.8984,1589.5271,1625.9818,1663.2545,1701.5116,1740.7806,1780.9678,1820.5797,1859.7434,1906.416,1952.1373,1998.0223,2044.6196,2092.3201,2141.5137,2191.8357,2243.3596,2296.2473,2350.4253,2406.0974,2462.7954,2521.2356,2580.9753,2642.0874,2704.812,2769.4834,2835.4468,2903.1384,2972.2136,3043.4585,3116.1958,3190.9993,3267.3894,3345.8762
