Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
15 Rail transport,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
16 Road transport,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
17 Domestic aviation,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
18 Other transp. serv.,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
19 Households,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
"20 Agriculture, forestry",607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
21 Fishing,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
22 Other final use,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
23 Non-energy use,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
24 Aviation bunkers,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
25 Marine bunkers,607.6567,622.2538,684.6722,665.0004,717.1489,793.4839,711.3509,693.2206,707.4643,752.6506,782.7104,818.2833,1985.9348,1844.4288,1497.7156,1217.2705,990.2498,807.3337,659.5925,540.2303,443.858,453.3241,462.9407,472.7986,482.904,493.2529,503.8066,514.663,525.7444,537.064,548.6484,560.5565,572.6909,585.1261,597.8166,610.8291,624.1997,637.7626,651.7995,666.0725,680.6603
