RTI,FUTI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Belgium (BE),22 Other final use,297.4618,337.7838,361.9817,361.9817,361.9817,361.9817,361.9817,361.9817,483.4893,305.4107,194.0307,199.4243,204.98,210.6873,216.6007,222.6844,228.9161,235.3638,241.9827,248.7638,255.7565,264.6782,273.9014,283.4421,293.3533,303.5989,314.2207,325.2116,336.592,348.4108,360.6281,373.3025,386.4298,400.0431,414.1648,428.7747,443.9301,459.6514,475.9048,492.7482,510.2207,528.3237,547.0688,566.4991,586.9899,607.5215,629.0867,651.4529,674.6595,698.6874,723.5935,749.4081,776.1423,803.8502,832.6138,862.3133,893.1425,925.0571,958.2072,992.4434,1027.9714
1 Belgium (BE),23 Non-energy use,297.4618,337.7838,361.9817,361.9817,361.9817,361.9817,361.9817,361.9817,483.4893,305.4107,194.0307,199.4243,204.98,210.6873,216.6007,222.6844,228.9161,235.3638,241.9827,248.7638,255.7565,264.6782,273.9014,283.4421,293.3533,303.5989,314.2207,325.2116,336.592,348.4108,360.6281,373.3025,386.4298,400.0431,414.1648,428.7747,443.9301,459.6514,475.9048,492.7482,510.2207,528.3237,547.0688,566.4991,586.9899,607.5215,629.0867,651.4529,674.6595,698.6874,723.5935,749.4081,776.1423,803.8502,832.6138,862.3133,893.1425,925.0571,958.2072,992.4434,1027.9714
1 Belgium (BE),24 Aviation bunkers,297.4618,337.7838,361.9817,361.9817,361.9817,361.9817,361.9817,361.9817,483.4893,305.4107,194.0307,199.4243,204.98,210.6873,216.6007,222.6844,228.9161,235.3638,241.9827,248.7638,255.7565,264.6782,273.9014,283.4421,293.3533,303.5989,314.2207,325.2116,336.592,348.4108,360.6281,373.3025,386.4298,400.0431,414.1648,428.7747,443.9301,459.6514,475.9048,492.7482,510.2207,528.3237,547.0688,566.4991,586.9899,607.5215,629.0867,651.4529,674.6595,698.6874,723.5935,749.4081,776.1423,803.8502,832.6138,862.3133,893.1425,925.0571,958.2072,992.4434,1027.9714
1 Belgium (BE),25 Marine bunkers,297.4618,337.7838,361.9817,361.9817,361.9817,361.9817,361.9817,361.9817,483.4893,305.4107,194.0307,199.4243,204.98,210.6873,216.6007,222.6844,228.9161,235.3638,241.9827,248.7638,255.7565,264.6782,273.9014,283.4421,293.3533,303.5989,314.2207,325.2116,336.592,348.4108,360.6281,373.3025,386.4298,400.0431,414.1648,428.7747,443.9301,459.6514,475.9048,492.7482,510.2207,528.3237,547.0688,566.4991,586.9899,607.5215,629.0867,651.4529,674.6595,698.6874,723.5935,749.4081,776.1423,803.8502,832.6138,862.3133,893.1425,925.0571,958.2072,992.4434,1027.9714
2 Denmark (DK),1 Power own use & trans.,352.3086,436.071,482.0492,477.0127,479.7961,483.1758,486.423,490.9957,656.1607,418.7082,278.4836,287.2506,296.6505,306.2888,316.2196,326.571,337.2193,348.3004,359.7527,371.478,383.5781,397.5009,411.9172,426.787,442.1699,458.0731,474.507,491.513,509.1302,527.4324,546.3794,566.0825,586.5691,607.8732,629.9007,652.7048,676.3745,700.8333,726.1949,752.3963,779.5725,802.1637,825.6042,849.9489,875.6893,901.4912,928.642,956.8611,986.1859,1016.5999,1048.1599,1080.9141,1114.8789,1150.1257,1186.7582,1224.6213,1263.96,1304.7351,1347.1306,1390.95,1436.4722
2 Denmark (DK),2 O.energy own use & tra,352.3086,427.4614,475.133,472.2403,473.8313,475.5536,477.3463,480.7216,643.3068,413.3003,271.7685,280.4771,289.5175,298.8757,308.5444,318.6345,329.0378,339.883,351.1114,362.6716,374.7077,388.8038,403.4544,418.6407,434.4326,450.8221,467.8245,485.4703,503.7859,522.8357,542.5674,563.0977,584.4207,606.58,629.5655,653.4299,678.288,704.0475,730.8625,758.6504,787.5814,811.3691,836.001,861.5328,888.4583,915.4375,943.7747,973.1646,1003.6589,1035.2324,1067.9596,1101.8807,1137.0103,1173.4194,1211.2155,1250.2417,1290.7522,1332.6888,1376.2489,1421.2365,1467.9213
2 Denmark (DK),3 Hydrogen production,624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),4 Iron & steel,624.0566,667.2105,693.7231,688.6865,691.4699,694.8497,698.0969,702.6696,817.637,663.8979,571.6399,579.2161,587.1371,595.3936,603.902,612.8951,622.2204,632.0053,642.2096,652.7589,663.8301,675.8439,688.3945,701.4298,714.9978,729.1321,743.8041,759.0739,774.9595,791.5051,808.6748,826.5878,845.2401,864.6616,884.8062,905.7882,927.7257,950.4378,974.226,998.8768,1024.6249,1040.9338,1057.8215,1075.3264,1093.7866,1112.2837,1131.7119,1151.8618,1172.7689,1194.4158,1216.8538,1240.1104,1264.1953,1289.1577,1315.0709,1341.8275,1369.6018,1398.3538,1428.2189,1459.0625,1491.0701
2 Denmark (DK),5 Non-ferrous metals,624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),6 Chemicals,624.0566,668.3114,691.7077,688.5608,691.2323,694.8522,696.0754,699.7366,814.9913,660.6967,567.7676,575.1182,582.7973,590.7952,599.0396,607.7412,616.7585,626.2134,636.0657,646.2464,656.9216,668.6053,680.8039,693.4707,706.6537,720.381,734.6295,749.4536,764.8717,780.9278,797.586,814.96,833.0458,851.8732,871.4017,891.7346,912.9846,934.9871,958.0162,981.8806,1006.798,1023.1069,1039.9946,1057.4995,1075.9597,1094.4568,1113.885,1134.0349,1154.942,1176.5889,1199.0269,1222.2834,1246.3684,1271.3308,1297.244,1324.0006,1351.7749,1380.5269,1410.392,1441.2356,1473.2432
2 Denmark (DK),7 Non-metallics nes,624.0566,666.7091,692.9907,688.7181,692.2473,696.3367,700.1957,705.2517,821.188,668.1945,576.8372,584.716,592.9619,601.5653,610.428,619.8125,629.5512,639.7791,650.4559,661.4998,673.1025,685.5593,698.5823,712.1122,726.197,740.8776,756.1182,771.9858,788.499,805.7016,823.5579,842.1944,861.6071,881.8259,902.7973,924.6505,947.5107,971.1752,995.9821,1021.6887,1048.5514,1064.8604,1081.7482,1099.2529,1117.7131,1136.2103,1155.6384,1175.7883,1196.6956,1218.3424,1240.7804,1264.0369,1288.1219,1313.0842,1338.9976,1365.7542,1393.5283,1422.2804,1452.1455,1482.9891,1514.9966
2 Denmark (DK),8 Ore-extra.(non-energy),624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),"9 Food, drink & tob.",624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),"10 Tex., cloth. & footw.",624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),11 Paper & pulp,624.0566,668.6733,693.4252,687.5734,686.4711,686.9531,686.1476,690.4788,820.0436,666.8099,575.1623,582.9436,591.0848,599.5764,608.325,617.5833,627.1888,637.2739,647.7984,658.6829,670.1144,682.4283,695.2992,708.6697,722.588,737.0925,752.1498,767.8248,784.1357,801.1266,818.7617,837.165,856.3326,876.2945,896.9995,918.5719,941.1348,964.4923,988.9709,1014.3373,1040.8408,1057.1498,1074.0376,1091.5424,1110.0026,1128.4998,1147.9279,1168.0778,1188.9849,1210.6318,1233.0698,1256.3263,1280.4114,1305.3737,1331.2869,1358.0435,1385.8177,1414.5698,1444.4348,1475.2786,1507.2859
2 Denmark (DK),12 Engineering etc,624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),13 Other industry,624.0566,670.8581,697.3685,691.4849,695.2361,699.0604,702.3278,705.7819,818.3893,664.8081,572.741,580.3812,588.3711,596.701,605.2845,614.3605,623.7734,633.6522,643.9566,654.6106,665.7945,677.9021,690.5528,703.6929,717.3704,731.6204,746.4128,761.8093,777.8278,794.5126,811.8278,829.894,848.7075,868.2979,888.6176,909.7842,931.9171,954.831,978.835,1003.7095,1029.6936,1046.0027,1062.8904,1080.3951,1098.8555,1117.3525,1136.7808,1156.9307,1177.8376,1199.4846,1221.9226,1245.1792,1269.2642,1294.2266,1320.1396,1346.8962,1374.6707,1403.4226,1433.2876,1464.1313,1496.1388
2 Denmark (DK),14 Construction,624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),15 Rail transport,624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
2 Denmark (DK),16 Road transport,624.0566,642.6906,676.2941,676.2941,676.2941,676.2941,676.2941,676.2941,785.7611,625.3287,524.9858,529.8449,534.8501,539.9918,545.3193,550.8,556.4143,562.223,568.186,574.2952,580.595,588.6326,596.9419,605.5371,614.4662,623.6965,633.2657,643.1676,653.4203,664.0679,675.0745,686.493,698.3196,710.5839,723.3062,736.4684,750.1221,764.2853,778.9282,794.1025,809.8438,826.1527,843.0405,860.5453,879.0055,897.5026,916.9308,937.0807,957.9878,979.6347,1002.0727,1025.3292,1049.4143,1074.3766,1100.2898,1127.0464,1154.8207,1183.5728,1213.4377,1244.2815,1276.2888
