Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
14 Construction,844.7627,870.0101,806.4767,791.877,716.2024,616.087,632.7854,644.9062,686.7119,731.989,643.6384,643.6384,660.8071,691.4021,722.0687,747.8954,770.6439,790.0624,805.7934,821.114,836.6668,852.3107,873.4703,895.0565,917.2726,939.9902,963.326,987.3589,1011.864,1037.1616,1062.9893,1089.5358,1116.3152,1144.3696,1172.663,1201.6935,1231.5238,1262.2922,1293.4783,1322.4297,1354.5665
15 Rail transport,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
16 Road transport,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
17 Domestic aviation,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
18 Other transp. serv.,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
19 Households,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
"20 Agriculture, forestry",1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
21 Fishing,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
22 Other final use,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
23 Non-energy use,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
24 Aviation bunkers,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
25 Marine bunkers,1912.4404,2072.2314,2025.0414,2045.9736,1879.3208,1787.2925,1829.8475,1839.8479,1929.2495,2026.2717,1779.3859,1779.3859,1807.1431,1856.6072,1906.1869,1947.942,1984.7201,2016.1149,2041.5477,2066.3171,2091.4619,2116.7539,2150.9634,2185.8625,2221.7803,2258.5085,2296.2363,2335.0913,2374.7095,2415.6089,2457.3655,2500.2842,2543.5796,2588.936,2634.6792,2681.6138,2729.8413,2779.5859,2830.0054,2876.8123,2928.769
