Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
15 Rail transport,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
16 Road transport,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
17 Domestic aviation,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
18 Other transp. serv.,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
19 Households,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
"20 Agriculture, forestry",135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
21 Fishing,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
22 Other final use,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
23 Non-energy use,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
24 Aviation bunkers,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
25 Marine bunkers,135.655,142.6142,165.9611,174.6735,167.0743,168.4711,157.2939,160.5535,151.5069,158.7139,152.5184,150.364,1299.6243,667.8145,133.9213,127.4008,140.6606,155.726,171.209,187.1579,203.6641,223.6547,244.0222,264.6321,285.6945,307.1453,329.2563,351.8165,374.9671,398.7145,423.1452,448.1218,473.5859,499.8768,526.5975,554.1348,582.2023,610.8897,640.4144,670.4874,701.3819
