Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
15 Rail transport,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
16 Road transport,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
17 Domestic aviation,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
18 Other transp. serv.,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
19 Households,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
"20 Agriculture, forestry",64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
21 Fishing,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
22 Other final use,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
23 Non-energy use,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
24 Aviation bunkers,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
25 Marine bunkers,64.1006,73.1028,83.047,89.5136,81.8699,69.5822,67.412,72.6631,67.6299,70.5764,67.8447,64.2944,1016.4909,493.0176,62.0127,67.6428,78.9916,91.9273,105.2216,118.9158,133.0887,150.2533,167.7416,185.4379,203.5231,221.9414,240.9266,260.2977,280.1757,300.5659,321.5432,342.9888,364.8533,387.4276,410.371,434.0157,458.1153,482.7475,508.0982,533.9202,560.4473
