Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
12 Engineering etc,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
13 Other industry,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
14 Construction,150.8383,153.494,158.5078,162.2878,146.0336,136.2616,547.7474,663.4955,465.7625,408.1329,286.5829,286.5829,736.1617,1426.6018,2271.7668,3196.4338,4067.0879,4716.4053,4996.8667,5313.5527,5678.7144,5801.9067,5967.1025,6136.4146,6309.9683,6487.8467,6670.1841,6857.0635,7048.626,7244.9927,7446.2524,7652.5571,7864.0024,8080.7515,8302.8994,8530.583,8764.0146,9003.2236,9248.4717,9499.7939,9757.4199,10021.5078,10292.1787,10569.6426,10854.0254,11145.4912,11444.2734,11750.5039,12064.4199,12386.1631,12715.9834,13053.9697,13400.498,13755.6074,14119.6348,14492.7988,14875.2715,15267.2832,15669.0674,16080.9443,16503.0977
15 Rail transport,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
16 Road transport,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
17 Domestic aviation,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
18 Other transp. serv.,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
19 Households,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
"20 Agriculture, forestry",153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
21 Fishing,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
22 Other final use,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
23 Non-energy use,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
24 Aviation bunkers,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
25 Marine bunkers,153.9874,148.0925,140.8427,126.8085,111.5916,139.1136,225.7946,394.9822,360.6241,380.5215,267.1946,267.1946,921.6177,1926.647,3156.8997,4502.8779,5770.2334,6715.4033,7123.6523,7584.6328,8116.1748,8295.498,8535.9629,8782.4199,9035.0508,9293.9766,9559.3936,9831.4219,10110.2676,10396.1055,10689.0664,10989.3701,11297.1582,11612.666,11936.0322,12267.457,12607.249,12955.4502,13312.4424,13678.2754,14053.2861,14437.7012,14831.6992,15235.5859,15649.543,16073.8125,16508.7305,16954.4902,17411.4375,17879.7773,18359.877,18851.8613,19356.2812,19873.1914,20403.082,20946.2715,21503.0137,22073.6387,22658.4922,23258.0332,23872.5332
