RTI,FUTI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Belgium (BE),1 Power own use & trans.,251.2784,326.8339,349.9596,342.9727,346.8339,351.5224,356.0271,362.3704,461.7737,374.935,274.7023,287.4256,300.8749,315.0264,329.7048,345.3282,361.7269,378.9781,397.1658,416.1941,436.2127,454.0833,472.8363,492.3362,512.6444,533.9316,556.0696,579.0873,603.1862,628.3098,654.4573,681.8245,710.3168,740.1063,770.9598,803.2878,837.1264,872.2651,909.1056,947.3113,987.2683,1014.8615,1042.3872,1072.4907,1102.3677,1135.1689,1167.3854,1202.2019,1238.0859,1275.363,1314.0396,1354.4706,1396.4043,1440.2125,1485.7721,1532.9052,1582.1733,1633.2664,1686.6387,1741.9912,1799.6962
1 Belgium (BE),2 O.energy own use & tra,251.2784,319.9739,345.5394,340.1272,343.0544,346.3732,349.7563,353.7544,449.0239,359.5081,256.0416,267.678,279.9611,292.8668,306.2728,320.4913,335.4057,351.0665,367.5577,384.81,402.9202,419.2003,436.2569,453.9809,472.4337,491.7593,511.8563,532.7269,554.5728,577.3372,601.0197,625.7891,651.5512,678.478,706.3628,735.563,766.0883,797.8076,830.9901,865.4053,901.3597,928.9529,956.4786,986.5823,1016.4592,1049.2604,1081.4769,1116.2935,1152.1774,1189.4546,1228.1311,1268.5621,1310.4958,1354.3041,1399.8636,1446.9967,1496.2649,1547.3579,1600.7302,1656.0828,1713.7877
1 Belgium (BE),3 Hydrogen production,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1799,108.3185,112.6447,117.1624,121.8936,126.8447,132.0091,137.4238,143.0871,148.9839,154.4208,160.0843,165.9551,172.0603,178.4344,185.0616,191.9141,199.0806,206.5361,214.2805,222.3593,230.731,239.4713,248.518,257.9708,267.8052,278.0499,288.6794,299.7074,311.1825,323.3256,335.4389,348.6868,361.8348,376.2698,390.4475,405.7694,421.561,437.9658,454.9863,472.7791,491.233,510.5119,530.5615,551.3036,572.9854,595.4701,618.9579,643.3171,668.7117
1 Belgium (BE),4 Iron & steel,146.5319,173.5737,175.3779,168.3911,172.2522,176.9407,181.4454,187.7887,235.806,202.7895,164.9596,172.6692,180.8528,189.4999,198.4303,208.0339,218.1332,228.8135,240.1118,251.9345,264.4504,275.4033,286.9505,298.9807,311.5211,324.6982,338.4042,352.7031,367.6839,383.3214,399.6155,416.7036,434.5443,453.2132,472.5563,492.8571,514.1829,536.2869,559.603,583.7773,609.1342,621.2772,633.3905,646.6384,659.7865,674.2214,688.3992,703.7211,719.5127,735.9175,752.938,770.7307,789.1846,808.4635,828.5131,849.2552,870.937,893.4217,916.9095,941.2687,966.6633
1 Belgium (BE),5 Non-ferrous metals,146.5319,189.3951,183.4909,172.3412,176.8787,183.9705,190.3551,199.2996,250.1861,220.1891,186.0066,194.9419,204.441,214.4932,224.8586,236.0467,247.8202,260.2943,273.506,287.3318,302.0002,314.7468,328.2074,342.2407,356.8738,372.2632,388.2712,404.9918,422.5137,440.812,459.8864,479.9044,500.8243,522.722,545.4135,569.2421,594.305,620.2656,647.7074,676.1569,706.028,718.1711,730.2844,743.5323,756.6804,771.1154,785.293,800.615,816.4066,832.8113,849.8318,867.6246,886.0785,905.3574,925.407,946.1492,967.8308,990.3156,1013.8033,1038.1626,1063.5571
1 Belgium (BE),6 Chemicals,146.5319,156.7173,162.8166,158.6593,159.6315,161.4888,163.1954,169.2747,212.8916,175.0635,131.4216,137.178,143.2655,149.6735,156.3173,163.396,170.8275,178.6495,186.8989,195.5298,204.6157,212.7102,221.2084,230.0469,239.2525,248.9043,258.9421,269.3822,280.3137,291.7113,303.5749,315.9944,328.9282,342.4521,356.4597,371.139,386.51,402.4685,419.2104,436.5723,454.7356,466.8787,478.992,492.2399,505.3879,519.8229,534.0006,549.3226,565.1141,581.5189,598.5394,616.3322,634.7861,654.065,674.1146,694.8568,716.5385,739.0232,762.511,786.8702,812.2648
1 Belgium (BE),7 Non-metallics nes,146.5319,180.4884,180.2855,169.2338,172.6171,177.816,181.8204,190.167,237.2918,204.5872,167.1342,174.9705,183.29,192.0822,201.1609,210.9282,221.2005,232.0661,243.5622,255.5918,268.3301,279.4683,291.2132,303.4504,316.207,329.6127,343.5565,358.1057,373.3489,389.2614,405.8427,423.2336,441.3924,460.3949,480.084,500.7493,522.4612,544.9636,568.7061,593.3221,619.1453,631.2883,643.4017,656.6496,669.7976,684.2327,698.4103,713.7322,729.5238,745.9286,762.9491,780.7418,799.1958,818.4747,838.5243,859.2664,880.9481,903.4329,926.9207,951.2799,976.6744
1 Belgium (BE),8 Ore-extra.(non-energy),146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1799,108.3185,112.6447,117.1624,121.8936,126.8447,132.0091,137.4238,143.0871,148.9839,154.4208,160.0843,165.9551,172.0603,178.4344,185.0616,191.9141,199.0806,206.5361,214.2805,222.3593,230.731,239.4713,248.518,257.9708,267.8052,278.0499,288.6794,299.7074,311.1825,323.3256,335.4389,348.6868,361.8348,376.2698,390.4475,405.7694,421.561,437.9658,454.9863,472.7791,491.233,510.5119,530.5615,551.3036,572.9854,595.4701,618.9579,643.3171,668.7117
1 Belgium (BE),"9 Food, drink & tob.",146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1799,108.3185,112.6447,117.1624,121.8936,126.8447,132.0091,137.4238,143.0871,148.9839,154.4208,160.0843,165.9551,172.0603,178.4344,185.0616,191.9141,199.0806,206.5361,214.2805,222.3593,230.731,239.4713,248.518,257.9708,267.8052,278.0499,288.6794,299.7074,311.1825,323.3256,335.4389,348.6868,361.8348,376.2698,390.4475,405.7694,421.561,437.9658,454.9863,472.7791,491.233,510.5119,530.5615,551.3036,572.9854,595.4701,618.9579,643.3171,668.7117
1 Belgium (BE),"10 Tex., cloth. & footw.",146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1799,108.3185,112.6447,117.1624,121.8936,126.8447,132.0091,137.4238,143.0871,148.9839,154.4208,160.0843,165.9551,172.0603,178.4344,185.0616,191.9141,199.0806,206.5361,214.2805,222.3593,230.731,239.4713,248.518,257.9708,267.8052,278.0499,288.6794,299.7074,311.1825,323.3256,335.4389,348.6868,361.8348,376.2698,390.4475,405.7694,421.561,437.9658,454.9863,472.7791,491.233,510.5119,530.5615,551.3036,572.9854,595.4701,618.9579,643.3171,668.7117
1 Belgium (BE),11 Paper & pulp,146.5319,182.0724,181.1364,170.312,175.812,181.0212,185.7701,188.1363,231.4858,197.5621,158.6364,165.9778,173.7662,181.9911,190.4904,199.618,209.2143,219.3557,230.0792,241.3001,253.1694,263.5833,274.5557,285.9841,297.8958,310.4082,323.4226,336.994,351.2113,366.0495,381.5082,397.7162,414.6317,432.3306,450.6677,469.9087,490.1118,511.0571,533.1338,556.0237,580.0243,592.1674,604.2806,617.5286,630.6766,645.1116,659.2893,674.6112,690.4028,706.8076,723.8281,741.6208,760.0747,779.3536,799.4033,820.1454,841.8271,864.3118,887.7996,912.1589,937.5534
1 Belgium (BE),12 Engineering etc,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1799,108.3185,112.6447,117.1624,121.8936,126.8447,132.0091,137.4238,143.0871,148.9839,154.4208,160.0843,165.9551,172.0603,178.4344,185.0616,191.9141,199.0806,206.5361,214.2805,222.3593,230.731,239.4713,248.518,257.9708,267.8052,278.0499,288.6794,299.7074,311.1825,323.3256,335.4389,348.6868,361.8348,376.2698,390.4475,405.7694,421.561,437.9658,454.9863,472.7791,491.233,510.5119,530.5615,551.3036,572.9854,595.4701,618.9579,643.3171,668.7117
1 Belgium (BE),13 Other industry,146.5319,178.1983,175.8114,169.9263,175.347,185.0016,190.8715,191.9013,242.8723,211.3395,175.3018,183.6138,192.4438,201.7813,211.4169,221.7991,232.7211,244.2829,256.5214,269.3284,282.902,294.7363,307.2237,320.2382,333.8069,348.0712,362.9083,378.3972,394.6267,411.5717,429.232,447.7598,467.1136,487.3691,508.3576,530.3919,553.5541,577.5532,602.8966,629.1717,656.7468,668.8899,681.0032,694.2511,707.3992,721.8342,736.0118,751.3337,767.1254,783.5302,800.5507,818.3434,836.7973,856.0762,876.1259,896.8679,918.5497,941.0344,964.5222,988.8815,1014.276
1 Belgium (BE),14 Construction,146.5319,139.5589,151.1998,151.1998,151.1998,151.1998,151.1998,151.1998,191.5867,149.2851,100.2394,104.1799,108.3185,112.6447,117.1624,121.8936,126.8447,132.0091,137.4238,143.0871,148.9839,154.4208,160.0843,165.9551,172.0603,178.4344,185.0616,191.9141,199.0806,206.5361,214.2805,222.3593,230.731,239.4713,248.518,257.9708,267.8052,278.0499,288.6794,299.7074,311.1825,323.3256,335.4389,348.6868,361.8348,376.2698,390.4475,405.7694,421.561,437.9658,454.9863,472.7791,491.233,510.5119,530.5615,551.3036,572.9854,595.4701,618.9579,643.3171,668.7117
