Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,439.732,467.0274,448.6103,485.5546,434.3959,397.4193,342.0722,319.0746,337.3588,334.4843,299.3641,299.427,671.3188,466.9351,294.0612,336.4602,342.127,347.9287,353.8541,359.8805,366.0386,373.6044,381.3315,389.2562,397.363,405.6703,414.174,422.8877,431.8193,440.9506,450.2929,459.8899,469.6905,479.7367,490.0318,500.5624,511.3357,522.3847,533.7023,545.2901,557.155,569.2892,581.7205,594.4651,607.5034,620.8597,634.5447,648.5596,662.8927,677.5881,692.6213,708.0285,723.8021,739.9473,756.4878,773.4395,790.7753,808.5358,826.7299,845.3551,864.4287
12 Engineering etc,439.732,466.9391,448.5685,485.5423,434.3836,397.4098,342.0655,319.0673,337.3266,334.4311,299.3247,299.3247,671.1514,466.7406,293.935,336.3333,341.9993,347.8004,353.7252,359.7509,365.9081,373.4688,381.1907,389.1102,397.2118,405.5139,414.0123,422.7209,431.6473,440.7735,450.1107,459.6987,469.4905,479.5279,489.8141,500.3359,511.1003,522.1404,533.4492,545.0282,556.8843,569.0109,581.4342,594.1709,607.2009,620.5486,634.2249,648.2308,662.5546,677.2405,692.264,707.6612,723.4243,739.5588,756.0884,773.0289,790.3531,808.1018,826.2836,844.8963,863.957
13 Other industry,439.732,685.3779,539.1266,543.1053,503.3049,493.3914,403.0779,395.5992,487.2318,570.4601,473.9215,753.1588,1413.8223,1329.3453,853.8211,899.5354,908.3429,917.2855,925.8282,934.9954,944.4688,975.0671,1005.8267,1036.7839,1067.9232,1099.2631,1130.7992,1162.5454,1194.5095,1225.9753,1258.3503,1307.5562,1356.4421,1405.574,1455.478,1505.0942,1554.7783,1605.6108,1655.8394,1706.5127,1757.4631,1803.4481,1851.1262,1898.9431,1949.1475,2000.1931,2052.9639,2106.5876,2161.9255,2218.8472,2277.3281,2336.8809,2398.7195,2462.3257,2527.374,2593.7061,2662.8652,2732.9722,2805.6067,2879.8938,2955.8508
14 Construction,439.732,466.9391,448.5685,485.5423,434.3836,397.4098,342.0655,319.0673,337.3266,334.4311,299.3247,299.3247,671.1514,466.7406,293.935,336.3333,341.9993,347.8004,353.7252,359.7509,365.9081,373.4688,381.1907,389.1102,397.2118,405.5139,414.0123,422.7209,431.6473,440.7735,450.1107,459.6987,469.4905,479.5279,489.8141,500.3359,511.1003,522.1404,533.4492,545.0282,556.8843,569.0109,581.4342,594.1709,607.2009,620.5486,634.2249,648.2308,662.5546,677.2405,692.264,707.6612,723.4243,739.5588,756.0884,773.0289,790.3531,808.1018,826.2836,844.8963,863.957
15 Rail transport,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
16 Road transport,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
17 Domestic aviation,821.9259,860.1256,924.5895,931.0827,933.0231,927.7247,895.8246,870.2628,877.2679,930.2289,919.5844,1009.8832,2026.4812,1529.7643,1019.7308,1036.8889,1050.2638,1063.9407,1077.7777,1091.957,1106.4698,1128.5198,1150.9302,1173.7827,1197.0426,1220.7511,1244.8986,1269.5161,1294.6211,1320.0172,1346.0409,1376.3232,1406.9443,1438.1152,1469.959,1502.2135,1534.9716,1568.5408,1602.5167,1637.1355,1672.3748,1707.051,1742.7024,1779.016,1816.4528,1854.717,1894.0273,1934.1921,1975.3793,2017.6486,2060.9458,2105.2344,2150.7695,2197.4473,2245.2419,2294.1504,2344.4624,2395.8403,2448.6541,2502.7041,2558.0288
18 Other transp. serv.,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
19 Households,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,1044.1416,1059.6772,1075.2257,1091.1002,1110.2239,1136.0518,1163.2458,1191.5793,1221.141,1251.9915,1284.2112,1317.8984,1353.0824,1389.8645,1428.4327,1468.7617,1511.0435,1555.3918,1601.8967,1650.6871,1701.9874,1755.9142,1812.6293,1872.328,1911.2136,1951.04,1991.8928,2033.728,2076.6055,2120.5613,2165.6096,2211.7324,2259.02,2307.427,2357.0486,2407.8511,2459.8625,2513.1379,2567.7178,2623.5518,2680.7271,2739.282,2799.2307,2860.6372
"20 Agriculture, forestry",821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
21 Fishing,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
22 Other final use,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
23 Non-energy use,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
24 Aviation bunkers,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
25 Marine bunkers,821.9259,860.1256,907.8752,920.7618,921.9294,912.5885,886.7638,857.5736,843.837,877.5941,880.649,908.6776,1860.8647,1337.4023,894.8755,911.2941,923.9684,936.9448,950.1979,963.6768,977.4501,994.3625,1011.6356,1029.3506,1047.4731,1066.0442,1085.0542,1104.5343,1124.5017,1144.9161,1165.8024,1187.25,1209.1531,1231.6057,1254.6147,1278.1511,1302.23,1326.9255,1352.2222,1378.123,1404.644,1431.77,1459.5596,1488.05,1517.197,1547.0544,1577.6467,1608.9768,1641.0176,1673.8682,1707.4744,1741.9163,1777.1768,1813.2681,1850.2429,1888.1372,1926.8896,1966.5916,2007.2625,2048.897,2091.5337
