Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
12 Engineering etc,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
13 Other industry,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
14 Construction,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
15 Rail transport,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
16 Road transport,465.077,565.2041,704.5466,656.7521,561.3251,468.4666,420.7922,571.3815,502.5269,477.4032,423.8277,423.8277,441.2603,459.2158,477.71,496.759,516.3796,536.5887,557.4041,578.8439,600.927,623.6725,647.1005,671.2313,696.0859,721.6862,748.0546,775.214,803.1881,832.0014,861.6792,892.2473,923.7324,956.1621,989.5647,1023.9695,1059.4062,1095.9061,1133.5011,1172.2239,1212.1083,1253.1893,1295.5027,1339.0854,1383.9757,1430.2128,1477.8368,1526.8895,1577.4139,1629.4541,1683.0555,1738.2649,1795.1305,1853.7021,1914.031,1976.1697,2040.1724,2106.0955,2173.9961,2243.9336,2315.9695
17 Domestic aviation,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
18 Other transp. serv.,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
19 Households,465.077,565.2041,704.5466,656.7521,561.3251,468.4666,420.7922,571.3815,502.5269,477.4032,423.8277,423.8277,441.2603,459.2158,477.71,496.759,516.3796,536.5887,557.4041,578.8439,600.927,623.6725,647.1005,671.2313,696.0859,721.6862,748.0546,775.214,803.1881,832.0014,861.6792,892.2473,923.7324,956.1621,989.5647,1023.9695,1059.4062,1095.9061,1133.5011,1172.2239,1212.1083,1253.1893,1295.5027,1339.0854,1383.9757,1430.2128,1477.8368,1526.8895,1577.4139,1629.4541,1683.0555,1738.2649,1795.1305,1853.7021,1914.031,1976.1697,2040.1724,2106.0955,2173.9961,2243.9336,2315.9695
"20 Agriculture, forestry",465.077,565.2041,704.5466,656.7521,561.3251,468.4666,420.7922,571.3815,502.5269,477.4032,423.8277,423.8277,441.2603,459.2158,477.71,496.759,516.3796,536.5887,557.4041,578.8439,600.927,623.6725,647.1005,671.2313,696.0859,721.6862,748.0546,775.214,803.1881,832.0014,861.6792,892.2473,923.7324,956.1621,989.5647,1023.9695,1059.4062,1095.9061,1133.5011,1172.2239,1212.1083,1253.1893,1295.5027,1339.0854,1383.9757,1430.2128,1477.8368,1526.8895,1577.4139,1629.4541,1683.0555,1738.2649,1795.1305,1853.7021,1914.031,1976.1697,2040.1724,2106.0955,2173.9961,2243.9336,2315.9695
21 Fishing,465.077,565.2041,704.5466,656.7521,561.3251,468.4666,420.7922,571.3815,502.5269,477.4032,423.8277,423.8277,441.2603,459.2158,477.71,496.759,516.3796,536.5887,557.4041,578.8439,600.927,623.6725,647.1005,671.2313,696.0859,721.6862,748.0546,775.214,803.1881,832.0014,861.6792,892.2473,923.7324,956.1621,989.5647,1023.9695,1059.4062,1095.9061,1133.5011,1172.2239,1212.1083,1253.1893,1295.5027,1339.0854,1383.9757,1430.2128,1477.8368,1526.8895,1577.4139,1629.4541,1683.0555,1738.2649,1795.1305,1853.7021,1914.031,1976.1697,2040.1724,2106.0955,2173.9961,2243.9336,2315.9695
22 Other final use,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
23 Non-energy use,465.077,565.2041,704.5466,656.7521,561.3251,468.4666,420.7922,571.3815,502.5269,477.4032,423.8277,423.8277,441.2603,459.2158,477.71,496.759,516.3796,536.5887,557.4041,578.8439,600.927,623.6725,647.1005,671.2313,696.0859,721.6862,748.0546,775.214,803.1881,832.0014,861.6792,892.2473,923.7324,956.1621,989.5647,1023.9695,1059.4062,1095.9061,1133.5011,1172.2239,1212.1083,1253.1893,1295.5027,1339.0854,1383.9757,1430.2128,1477.8368,1526.8895,1577.4139,1629.4541,1683.0555,1738.2649,1795.1305,1853.7021,1914.031,1976.1697,2040.1724,2106.0955,2173.9961,2243.9336,2315.9695
24 Aviation bunkers,465.077,565.2041,704.5466,656.7521,561.3251,468.4666,420.7922,571.3815,502.5269,477.4032,423.8277,423.8277,441.2603,459.2158,477.71,496.759,516.3796,536.5887,557.4041,578.8439,600.927,623.6725,647.1005,671.2313,696.0859,721.6862,748.0546,775.214,803.1881,832.0014,861.6792,892.2473,923.7324,956.1621,989.5647,1023.9695,1059.4062,1095.9061,1133.5011,1172.2239,1212.1083,1253.1893,1295.5027,1339.0854,1383.9757,1430.2128,1477.8368,1526.8895,1577.4139,1629.4541,1683.0555,1738.2649,1795.1305,1853.7021,1914.031,1976.1697,2040.1724,2106.0955,2173.9961,2243.9336,2315.9695
25 Marine bunkers,465.077,565.2041,704.5466,656.7521,561.3251,468.4666,420.7922,571.3815,502.5269,477.4032,423.8277,423.8277,441.2603,459.2158,477.71,496.759,516.3796,536.5887,557.4041,578.8439,600.927,623.6725,647.1005,671.2313,696.0859,721.6862,748.0546,775.214,803.1881,832.0014,861.6792,892.2473,923.7324,956.1621,989.5647,1023.9695,1059.4062,1095.9061,1133.5011,1172.2239,1212.1083,1253.1893,1295.5027,1339.0854,1383.9757,1430.2128,1477.8368,1526.8895,1577.4139,1629.4541,1683.0555,1738.2649,1795.1305,1853.7021,1914.031,1976.1697,2040.1724,2106.0955,2173.9961,2243.9336,2315.9695
