Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
15 Rail transport,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
16 Road transport,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
17 Domestic aviation,790.2852,871.0926,1045.5771,1153.0969,1354.2313,1280.7417,1126.8896,1028.2625,1026.7944,1037.1139,1048.5815,1105.5131,2256.4307,1687.0474,1184.0776,1220.884,1238.7148,1258.4581,1278.7275,1299.5739,1321.0911,1346.2152,1371.8348,1397.8176,1424.3773,1451.4517,1479.3162,1507.7627,1536.9354,1566.844,1597.5781,1629.0029,1661.0637,1694.1036,1727.7279,1762.3284,1797.6208,1833.6992,1870.7848,1908.5925,1947.399
18 Other transp. serv.,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
19 Households,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
"20 Agriculture, forestry",790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
21 Fishing,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
22 Other final use,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
23 Non-energy use,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
24 Aviation bunkers,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
25 Marine bunkers,790.2852,871.0926,1028.0566,1143.1637,1342.6825,1264.7819,1115.8124,1015.2693,996.2313,988.9917,1012.9843,1012.9843,2105.0132,1504.6666,997.3604,1029.7296,1043.0204,1058.1187,1073.6355,1089.6193,1106.1615,1126.1956,1146.6075,1167.2623,1188.3711,1209.8685,1232.0277,1254.6371,1277.8383,1301.6376,1326.1217,1351.1527,1376.6724,1403.0208,1429.7996,1457.3971,1485.5259,1514.2759,1543.8647,1574.0037,1604.9655
