Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
13 Other industry,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843
14 Construction,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843
15 Rail transport,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843
16 Road transport,1398.4745,1675.8885,1782.4207,1717.5474,1647.4792,1423.842,1381.3689,1544.9768,1749.8071,1770.533,1591.7043,1605.8823,1624.7463,1644.1763,1664.1891,1684.8022,1706.0339,1727.9026,1750.4271,1773.6274,1797.5239,1822.1372,1847.4889,1873.6011,1900.4966,1928.1991,1956.7327,1986.1222,2016.3933,2047.5726,2079.6875,2112.7656,2146.8359,2181.9287,2218.074,2255.3037,2293.6504,2333.1475,2373.8296,2415.7319,2458.8914
17 Domestic aviation,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843
18 Other transp. serv.,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843
19 Households,1398.4745,1675.8885,1782.4207,1717.5474,1647.4792,1423.842,1381.3689,1544.9768,1749.8071,1770.533,1591.7043,1605.8823,1624.7463,1644.1763,1664.1891,1684.8022,1706.0339,1727.9026,1750.4271,1773.6274,1797.5239,1822.1372,1847.4889,1873.6011,1900.4966,1928.1991,1956.7327,1986.1222,2016.3933,2047.5726,2079.6875,2112.7656,2146.8359,2181.9287,2218.074,2255.3037,2293.6504,2333.1475,2373.8296,2415.7319,2458.8914
"20 Agriculture, forestry",1398.4745,1675.8885,1782.4207,1717.5474,1647.4792,1423.842,1381.3689,1544.9768,1749.8071,1770.533,1591.7043,1605.8823,1624.7463,1644.1763,1664.1891,1684.8022,1706.0339,1727.9026,1750.4271,1773.6274,1797.5239,1822.1372,1847.4889,1873.6011,1900.4966,1928.1991,1956.7327,1986.1222,2016.3933,2047.5726,2079.6875,2112.7656,2146.8359,2181.9287,2218.074,2255.3037,2293.6504,2333.1475,2373.8296,2415.7319,2458.8914
21 Fishing,1398.4745,1675.8885,1782.4207,1717.5474,1647.4792,1423.842,1381.3689,1544.9768,1749.8071,1770.533,1591.7043,1605.8823,1624.7463,1644.1763,1664.1891,1684.8022,1706.0339,1727.9026,1750.4271,1773.6274,1797.5239,1822.1372,1847.4889,1873.6011,1900.4966,1928.1991,1956.7327,1986.1222,2016.3933,2047.5726,2079.6875,2112.7656,2146.8359,2181.9287,2218.074,2255.3037,2293.6504,2333.1475,2373.8296,2415.7319,2458.8914
22 Other final use,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843
23 Non-energy use,1398.4745,1675.8885,1782.4207,1717.5474,1647.4792,1423.842,1381.3689,1544.9768,1749.8071,1770.533,1591.7043,1605.8823,1624.7463,1644.1763,1664.1891,1684.8022,1706.0339,1727.9026,1750.4271,1773.6274,1797.5239,1822.1372,1847.4889,1873.6011,1900.4966,1928.1991,1956.7327,1986.1222,2016.3933,2047.5726,2079.6875,2112.7656,2146.8359,2181.9287,2218.074,2255.3037,2293.6504,2333.1475,2373.8296,2415.7319,2458.8914
24 Aviation bunkers,1398.4745,1675.8885,1782.4207,1717.5474,1647.4792,1423.842,1381.3689,1544.9768,1749.8071,1770.533,1591.7043,1605.8823,1624.7463,1644.1763,1664.1891,1684.8022,1706.0339,1727.9026,1750.4271,1773.6274,1797.5239,1822.1372,1847.4889,1873.6011,1900.4966,1928.1991,1956.7327,1986.1222,2016.3933,2047.5726,2079.6875,2112.7656,2146.8359,2181.9287,2218.074,2255.3037,2293.6504,2333.1475,2373.8296,2415.7319,2458.8914
25 Marine bunkers,1398.4745,1675.8885,1782.4207,1717.5474,1647.4792,1423.842,1381.3689,1544.9768,1749.8071,1770.533,1591.7043,1605.8823,1624.7463,1644.1763,1664.1891,1684.8022,1706.0339,1727.9026,1750.4271,1773.6274,1797.5239,1822.1372,1847.4889,1873.6011,1900.4966,1928.1991,1956.7327,1986.1222,2016.3933,2047.5726,2079.6875,2112.7656,2146.8359,2181.9287,2218.074,2255.3037,2293.6504,2333.1475,2373.8296,2415.7319,2458.8914
