Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
12 Engineering etc,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
13 Other industry,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
14 Construction,1269.7585,1269.1956,1248.9243,1236.4535,1184.1279,1138.5243,1110.7767,1054.5795,1086.2059,1138.8682,1209.7673,1211.3763,1236.5828,1287.5216,1334.3414,1376.8987,1413.6799,1444.2052,1467.8674,1490.974,1514.4205,1537.3019,1567.9534,1599.4653,1631.6338,1664.7291,1698.5984,1733.4297,1769.0364,1805.4833,1842.9957,1881.3993,1920.6151,1960.9843,2002.1982,2044.605,2087.8984,2132.4229,2178.0332,2224.8088,2272.4631,2321.3484,2371.2632,2423.0969,2475.2466,2528.9302,2585.251,2641.7266,2699.6204,2759.3735,2820.4463,2882.731,2947.1311,3013.1353,3080.4868,3149.6812,3219.9783,3293.0454,3367.3196,3442.9331,3520.7271
15 Rail transport,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
16 Road transport,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
17 Domestic aviation,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
18 Other transp. serv.,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
19 Households,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
"20 Agriculture, forestry",2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
21 Fishing,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
22 Other final use,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
23 Non-energy use,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
24 Aviation bunkers,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
25 Marine bunkers,2261.7441,2280.1978,2297.1279,2381.6511,2339.343,2322.0115,2343.4651,2288.9814,2268.4856,2300.3135,2415.2009,2456.22,2500.2007,2589.0796,2670.7715,2745.0264,2809.2029,2862.4639,2903.7502,2944.0669,2984.9768,3024.9004,3078.3816,3133.3643,3189.4924,3247.2375,3306.3335,3367.1074,3429.2349,3492.8279,3558.2803,3625.2876,3693.7119,3764.1487,3836.0596,3910.0518,3985.5906,4063.2776,4142.8594,4224.4746,4307.6226,4392.918,4480.0107,4570.4512,4661.4424,4755.1104,4853.3799,4951.9199,5052.9341,5157.1924,5263.7534,5372.4287,5484.7949,5599.96,5717.4761,5838.208,5960.8633,6088.3521,6217.9473,6349.8789,6485.6152
