Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
12 Engineering etc,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
13 Other industry,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
14 Construction,1762.0061,1831.8348,2039.9209,2085.438,2065.978,1974.2212,1941.8655,1826.9429,1718.1897,1922.7732,1777.5151,1777.5151,1800.8573,1860.3682,1915.7422,1966.1724,2010.335,2047.7946,2078.0054,2107.5349,2137.8821,2165.6187,2202.7739,2240.897,2279.9824,2320.3264,2361.929,2404.4009,2447.1436,2491.4575,2537.0522,2584.3887,2631.7759,2679.6873,2730.1768,2781.125,2833.2227,2886.5879,2941.7856,2997.5142,3054.7041,3113.2783,3173.5859,3236.7046,3299.9761,3365.3506,3432.3525,3500.4146,3570.5679,3644.0073,3717.4829,3794.1294,3872.4678,3951.1533,4033.7393,4118.2446,4202.8555,4289.5347,4380.1792,4473.2246,4567.8765
15 Rail transport,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
16 Road transport,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
17 Domestic aviation,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
18 Other transp. serv.,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
19 Households,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
"20 Agriculture, forestry",2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
21 Fishing,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
22 Other final use,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
23 Non-energy use,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
24 Aviation bunkers,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
25 Marine bunkers,2321.1152,2360.4419,2627.5818,2731.8384,2840.1172,2873.9062,2830.5601,2715.3828,2755.4761,3005.0867,2914.5884,2914.5884,2954.6182,3056.6743,3151.6357,3238.1189,3313.854,3378.0938,3429.9031,3480.5432,3532.5859,3580.1519,3643.8696,3709.2478,3776.2754,3845.4619,3916.8066,3989.6423,4062.9421,4138.937,4217.1279,4298.3052,4379.5703,4461.7344,4548.3188,4635.6914,4725.0332,4816.5508,4911.2095,5006.7798,5104.8555,5205.3042,5308.7271,5416.9697,5525.4751,5637.5864,5752.4888,5869.2095,5989.5156,6115.458,6241.4624,6372.9038,6507.248,6642.1865,6783.814,6928.7334,7073.834,7222.4814,7377.9277,7537.4932,7699.813
