Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
11 Paper & pulp,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,994.6705,1064.6802,1032.8293,998.1078,1006.954,1015.5963,1024.387,1033.0312,1041.9177,1070.8606,1100.5111,1130.714,1161.7673,1193.3297,1225.6089,1258.5957,1292.2917,1326.921,1362.2229,1399.293,1437.3182,1476.2257,1515.9937,1556.5984,1598.3325,1640.8677,1684.3032,1728.7386,1774.2283,1832.0551,1892.7188,1956.1893,2023.1912,2093.2515,2167.2634,2245.084,2327.0706,2413.6433,2505.084,2601.5337,2703.5366,2811.6665,2926.3096,3048.0242,3177.2673,3314.6167,3460.615,3616.3171,3782.1116
12 Engineering etc,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
13 Other industry,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,994.6705,1064.6802,1032.8293,998.1078,1006.954,1015.5963,1024.387,1033.0312,1041.9177,1070.8606,1100.5111,1130.714,1161.7673,1193.3297,1225.6089,1258.5957,1292.2917,1326.921,1362.2229,1399.293,1437.3182,1476.2257,1515.9937,1556.5984,1598.3325,1640.8677,1684.3032,1728.7386,1774.2283,1832.0551,1892.7188,1956.1893,2023.1912,2093.2515,2167.2634,2245.084,2327.0706,2413.6433,2505.084,2601.5337,2703.5366,2811.6665,2926.3096,3048.0242,3177.2673,3314.6167,3460.615,3616.3171,3782.1116
14 Construction,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
15 Rail transport,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
16 Road transport,790.9753,890.0468,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1020.1,1113.2065,1061.5511,1012.2051,1015.6039,1019.0129,1022.4088,1025.8202,1029.2681,1056.9221,1085.3724,1114.5594,1144.5226,1175.3634,1207.0117,1239.5856,1273.0221,1307.3357,1342.6613,1378.7814,1416.064,1454.3551,1493.7577,1534.178,1575.7142,1618.4187,1662.283,1707.364,1753.6626,1801.2773,1850.2119,1900.4299,1952.1019,2005.1696,2059.6855,2115.7354,2173.3005,2232.4407,2293.2402,2355.6765,2419.573,2485.5618,2553.2739,2622.9363,2694.4592,2767.9636,2843.5291,2921.147,3000.9023
17 Domestic aviation,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
18 Other transp. serv.,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
19 Households,790.9753,890.0468,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1020.1,1113.2065,1061.5511,1012.2051,1015.6039,1019.0129,1022.4088,1025.8202,1029.2681,1056.9221,1085.3724,1114.5594,1144.5226,1175.3634,1207.0117,1239.5856,1273.0221,1307.3357,1342.6613,1378.7814,1416.064,1454.3551,1493.7577,1534.178,1575.7142,1618.4187,1662.283,1707.364,1753.6626,1801.2773,1850.2119,1900.4299,1952.1019,2005.1696,2059.6855,2115.7354,2173.3005,2232.4407,2293.2402,2355.6765,2419.573,2485.5618,2553.2739,2622.9363,2694.4592,2767.9636,2843.5291,2921.147,3000.9023
"20 Agriculture, forestry",790.9753,890.0468,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1020.1,1113.2065,1061.5511,1012.2051,1015.6039,1019.0129,1022.4088,1025.8202,1029.2681,1056.9221,1085.3724,1114.5594,1144.5226,1175.3634,1207.0117,1239.5856,1273.0221,1307.3357,1342.6613,1378.7814,1416.064,1454.3551,1493.7577,1534.178,1575.7142,1618.4187,1662.283,1707.364,1753.6626,1801.2773,1850.2119,1900.4299,1952.1019,2005.1696,2059.6855,2115.7354,2173.3005,2232.4407,2293.2402,2355.6765,2419.573,2485.5618,2553.2739,2622.9363,2694.4592,2767.9636,2843.5291,2921.147,3000.9023
21 Fishing,790.9753,890.0468,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1020.1,1113.2065,1061.5511,1012.2051,1015.6039,1019.0129,1022.4088,1025.8202,1029.2681,1056.9221,1085.3724,1114.5594,1144.5226,1175.3634,1207.0117,1239.5856,1273.0221,1307.3357,1342.6613,1378.7814,1416.064,1454.3551,1493.7577,1534.178,1575.7142,1618.4187,1662.283,1707.364,1753.6626,1801.2773,1850.2119,1900.4299,1952.1019,2005.1696,2059.6855,2115.7354,2173.3005,2232.4407,2293.2402,2355.6765,2419.573,2485.5618,2553.2739,2622.9363,2694.4592,2767.9636,2843.5291,2921.147,3000.9023
22 Other final use,790.9753,890.0467,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,968.9728,1045.5049,1003.0449,962.4833,965.2771,968.0793,970.8706,973.6747,976.5088,999.2399,1022.6257,1046.6169,1071.2461,1096.5968,1122.6112,1149.3862,1176.8706,1205.0758,1234.1128,1263.8031,1294.4487,1325.9233,1358.3116,1391.5365,1425.6786,1460.7809,1496.8367,1533.8925,1571.9492,1611.0878,1651.3112,1692.5895,1735.063,1778.6837,1823.4951,1869.5669,1916.8846,1965.4969,2015.473,2066.7947,2119.3164,2173.5581,2229.2166,2286.4778,2345.2683,2405.688,2467.8015,2531.6021,2597.1594
23 Non-energy use,790.9753,890.0468,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1020.1,1113.2065,1061.5511,1012.2051,1015.6039,1019.0129,1022.4088,1025.8202,1029.2681,1056.9221,1085.3724,1114.5594,1144.5226,1175.3634,1207.0117,1239.5856,1273.0221,1307.3357,1342.6613,1378.7814,1416.064,1454.3551,1493.7577,1534.178,1575.7142,1618.4187,1662.283,1707.364,1753.6626,1801.2773,1850.2119,1900.4299,1952.1019,2005.1696,2059.6855,2115.7354,2173.3005,2232.4407,2293.2402,2355.6765,2419.573,2485.5618,2553.2739,2622.9363,2694.4592,2767.9636,2843.5291,2921.147,3000.9023
24 Aviation bunkers,790.9753,890.0468,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1020.1,1113.2065,1061.5511,1012.2051,1015.6039,1019.0129,1022.4088,1025.8202,1029.2681,1056.9221,1085.3724,1114.5594,1144.5226,1175.3634,1207.0117,1239.5856,1273.0221,1307.3357,1342.6613,1378.7814,1416.064,1454.3551,1493.7577,1534.178,1575.7142,1618.4187,1662.283,1707.364,1753.6626,1801.2773,1850.2119,1900.4299,1952.1019,2005.1696,2059.6855,2115.7354,2173.3005,2232.4407,2293.2402,2355.6765,2419.573,2485.5618,2553.2739,2622.9363,2694.4592,2767.9636,2843.5291,2921.147,3000.9023
25 Marine bunkers,790.9753,890.0468,1070.0295,1023.7909,879.9146,948.89,784.3302,832.566,961.3939,906.2435,732.895,732.895,1020.1,1113.2065,1061.5511,1012.2051,1015.6039,1019.0129,1022.4088,1025.8202,1029.2681,1056.9221,1085.3724,1114.5594,1144.5226,1175.3634,1207.0117,1239.5856,1273.0221,1307.3357,1342.6613,1378.7814,1416.064,1454.3551,1493.7577,1534.178,1575.7142,1618.4187,1662.283,1707.364,1753.6626,1801.2773,1850.2119,1900.4299,1952.1019,2005.1696,2059.6855,2115.7354,2173.3005,2232.4407,2293.2402,2355.6765,2419.573,2485.5618,2553.2739,2622.9363,2694.4592,2767.9636,2843.5291,2921.147,3000.9023
