Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
13 Other industry,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
14 Construction,737.2507,771.0162,962.2097,1225.3798,1232.724,1088.9497,1070.9785,1186.896,980.3837,809.2378,663.3541,663.3541,800.8373,987.4176,1161.7312,1316.4709,1443.6357,1537.0349,1591.541,1644.6414,1698.7185,1749.196,1816.8418,1886.0078,1957.0503,2029.6514,2104.2068,2180.6389,2258.8711,2339.1062,2421.5593,2505.8459,2592.6304,2681.7515,2773.0564,2866.2388,2961.9102,3059.8118,3160.3289,3262.7664,3368.1414
15 Rail transport,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
16 Road transport,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
17 Domestic aviation,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
18 Other transp. serv.,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
19 Households,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
"20 Agriculture, forestry",395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
21 Fishing,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
22 Other final use,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
23 Non-energy use,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
24 Aviation bunkers,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
25 Marine bunkers,395.9862,398.0217,488.2336,434.1888,436.791,514.0293,505.5464,566.5399,467.9655,576.6426,686.7294,686.7294,885.3224,1154.8361,1406.6307,1630.151,1813.8397,1948.7538,2027.4874,2104.1904,2182.3042,2255.2188,2352.9326,2452.8418,2555.4624,2660.334,2768.0288,2878.4341,2991.4399,3107.3389,3226.4419,3348.1934,3473.5522,3602.2871,3734.1763,3868.7773,4006.9741,4148.3921,4293.5884,4441.5581,4593.7715
