FTTI,Petrol TWV,Petrol LCV,Petrol MDT,Petrol HDT,Petrol Bus,Adv petrol TWV,Adv petrol LCV,Adv petrol MDT,Adv petrol HDT,Adv petrol Bus,Diesel TWV,Diesel LCV,Diesel MDT,Diesel HDT,Diesel Bus,Adv diesel TWV,Adv diesel LCV,Adv diesel MDT,Adv diesel HDT,Adv diesel Bus,CNG/LPG TWV,CNG/LPG LCV,CNG/LPG MDT,CNG/LPG HDT,CNG/LPG Bus,PHEV TWV,PHEV LCV,PHEV MDT,PHEV HDT,PHEV Bus,BEV TWV,BEV LCV,BEV MDT,BEV HDT,BEV Bus,Bioethanol TWV,Bioethanol LCV,Bioethanol MDT,Bioethanol HDT,Bioethanol Bus,FCEV TWV,FCEV LCV,FCEV MDT,FCEV HDT,FCEV Bus
Petrol TWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Petrol LCV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Petrol MDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Petrol HDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Petrol Bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Adv petrol TWV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Adv petrol LCV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Adv petrol MDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Adv petrol HDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
Adv petrol Bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0
