RTI,FSTI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Belgium (BE),TWV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),LCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857089.75,853283.0625,849476.4375,845669.75,841863.125,838056.4375,834249.8125,830443.125,763636.0,798939.0,829411.0,861144.0,852348.0,853147.0,803357.9375,793687.6875,786000.875,780295.6875,776609.25,775065.9375,775712.5,778569.375,783641.1875,790862.3125,800056.3125,811010.0625,823539.9375,837473.375,852629.3125,868943.375,886296.625,904606.75,923785.5625,943728.875,964320.125,985435.5625,1006967.875,1028807.75,1050866.75,1073079.5,1095411.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),MDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42620.4375,41948.703125,41276.96875,40605.234375,39933.5,39261.765625,38590.03125,37918.296875,37604.0,37552.0,37130.0,35059.0,34216.0,33831.0,31770.076171875,31016.65234375,30610.544921875,30465.060546875,30538.9296875,30800.791015625,31215.953125,31756.84375,32389.130859375,33082.2734375,33809.86328125,34555.53125,35308.92578125,36057.48046875,36797.33984375,37523.63671875,38234.828125,38931.24609375,39611.43359375,40273.59765625,40919.1484375,41548.8203125,42164.546875,42767.75390625,43360.61328125,43947.5078125,44528.73046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),HDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110372.1484375,109898.6640625,109425.1796875,108951.6953125,108478.2109375,108004.7265625,107531.25,107057.765625,108484.0,110210.0,109891.0,103751.0,103806.0,105183.0,96238.8984375,96664.875,98141.640625,100222.328125,102664.15625,105321.921875,108085.109375,110858.4609375,113543.15625,116053.3828125,118349.3125,120424.9296875,122291.15625,123962.0078125,125454.0390625,126787.90625,127983.0390625,129048.515625,129981.5234375,130783.390625,131465.765625,132045.71875,132543.140625,132976.390625,133359.609375,133705.21875,134022.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Denmark (DK),TWV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Denmark (DK),LCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390307.28125,387479.375,384651.4375,381823.53125,378995.59375,376167.65625,373339.75,370511.8125,346912.0,379995.0,376229.0,373257.0,352453.0,334626.0,350539.4375,346319.875,342965.8125,340476.40625,338867.84375,338194.4375,338476.53125,339723.125,341936.1875,345087.0625,349098.8125,353878.40625,359345.6875,365425.46875,372038.625,379157.15625,386729.125,394718.625,403087.1875,411789.28125,420774.125,429987.6875,439383.1875,448912.84375,458538.125,468230.53125,477975.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Denmark (DK),MDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7809.9375,7686.2119140625,7562.486328125,7438.7607421875,7315.03515625,7191.31005859375,7067.58447265625,6943.85888671875,7118.0,6896.0,6671.0,6089.0,6226.0,6391.0,5816.22216796875,5678.291015625,5603.94384765625,5577.3095703125,5590.8330078125,5638.7724609375,5714.77685546875,5813.79931640625,5929.5537109375,6056.44921875,6189.65087890625,6326.1611328125,6464.08740234375,6601.126953125,6736.57470703125,6869.53955078125,6999.7392578125,7127.23388671875,7251.75732421875,7372.9814453125,7491.16357421875,7606.439453125,7719.16162109375,7829.591796875,7938.12841796875,8045.572265625,8151.978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Denmark (DK),HDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36442.76171875,36388.31640625,36333.8671875,36279.421875,36224.9765625,36170.53125,36116.08203125,36061.63671875,35626.0,35685.0,35592.0,37143.0,37807.0,38512.0,33127.546875,33274.1796875,33782.515625,34498.73046875,35339.265625,36254.125,37205.2734375,38159.92578125,39084.0546875,39948.12890625,40738.4375,41452.9140625,42095.30859375,42670.453125,43184.04296875,43643.1875,44054.578125,44421.33984375,44742.50390625,45018.5234375,45253.41015625,45453.04296875,45624.265625,45773.3984375,45905.3125,46024.27734375,46133.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Denmark (DK),Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Germany (DE),TWV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
