,Petrol Small,Petrol Large,Petrol adv small,Petrol adv large,Diesel Small,Diesel Large,Diesel adv small,Diesel adv large,CNG/LPG Small,CNG/LPG Large,Hybrid Small,Hybrid Large,Electricity Small,Electricity Large,Bioethano Small,Bioethano Large,Biodiesel Small,Biodiesel Large,Hydrogen Large,Hydrogen Small
Petrol Small,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Petrol Large,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Petrol adv small,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Petrol adv large,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diesel Small,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diesel Large,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diesel adv small,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Diesel adv large,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
CNG/LPG Small,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
CNG/LPG Large,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Hybrid Small,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Hybrid Large,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Electricity Small,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Electricity Large,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Bioethano Small,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Bioethano Large,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Biodiesel Small,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Biodiesel Large,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Hydrogen Large,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Hydrogen Small,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
