,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
BE,47136.00000000002,42756.99999999996,45879.0,48313.96107855247,45238.87313001746,47971.13795560392,44902.780213698046,43601.92150918383,39320.41767848795,38164.01994686459,37815.875038562845,35929.02640897544,33837.63335909915,30809.10744531229,24803.401141957384,26380.352504510996,25621.643948575682,26055.160887343467,25482.765943232702,25260.22967794487,26692.21376624651,25601.70532,25745.3232633006,25889.7468627791,26034.9806339869,26181.0291241444,26327.8969005728,26475.588565448,26624.1087349548,26773.4620566965,26923.6532074766,27074.6868862368,27226.5678191409,27379.3007564101,27532.8904830809,27687.3418009477,27842.6595454586,27998.8485760217,28155.9137806388,28313.8600729978,28472.6923976098,28632.4157253417,28793.0350541387,28954.5554078483,29116.9818423057,29280.3194415109,29444.5733150498,29609.7486050873,29775.8504782948,29942.884135703,30110.8548006154,30279.7677318284,30449.6282125303,30620.4415609718,30792.2131203764,30964.9482674692,31138.6524085162,31313.3309788943,31488.9894418852,31665.6332964542,31843.2680720408,32021.8993251211,32201.5326471562,32382.1736580221,32563.8280113925,32746.5013902614,32930.1995141243,33114.9281292927,33300.6930152988,33487.4999891696,33675.3548924204,33864.2636070908,34054.2320445001,34245.2661471715,34437.3718946511,34630.5552954808,34824.822399792,35020.1792852401,35216.6320664332,35414.1868854877,35612.8499323248,35812.6274137729,36013.5255922351,36215.550746415,36418.709204483,36623.0073211053,36828.4514894176,37035.0481356549,37242.8037300411,37451.7247697559,37661.8177951805,37873.089381745,38085.5461336065,38299.1947107738,38514.0417887009,38730.0940970573,38947.3583920891,39165.8414759225,39385.5501884977,39606.5316618732,39828.6932829473,40052.0938876962,40276.725820807,40502.7275757369,40729.9445415959,40958.369513397
DK,9325.999999999996,9432.000000000005,9711.999999999996,10108.0,10425.999999999998,10999.999999999998,10886.99999999999,11056.999999999995,11011.999999999998,10538.999999999996,11057.999999999993,11493.999999999998,11799.999999999998,10718.000000000005,10002.000000000005,10572.999999999998,12024.99999999999,12292.000000000005,12222.000000000011,12949.76199999999,12324.434000000007,12943.238,13015.8482444245,13088.8624976608,13162.2842489085,13236.1228880881,13310.3698613087,13385.0403792898,13460.1258832012,13535.635521413,13611.5666397012,13687.9224320933,13764.7060427092,13841.9205644921,13919.5690457823,13997.6544816158,14076.1798231922,14155.1423231144,14234.5449130102,14314.3960792494,14394.6985907683,14475.4496194094,14556.651919175,14638.3302185612,14720.4156531567,14803.0151749874,14886.0708948686,14969.5259311292,15053.5398315591,15137.9476349584,15222.9075920474,15308.309419246,15394.1506023877,15480.534080219,15567.3511308071,15654.7038889551,15742.4846666662,15830.7948014106,15919.6307532234,16008.937708487,16098.7129244821,16189.0555007689,16279.8601346325,16371.1747079748,16462.9960494979,16555.3710618611,16648.2462465787,16741.618614989,16835.5346038463,16929.9907029914,17024.9834631027,17120.4607786186,17216.5169907753,17313.0999063046,17410.2063338554,17507.8810254481,17606.0726182014,17704.8730442693,17804.1836047883,17904.0484797736,18004.4642478305,18105.4741923911,18207.0744171469,18309.1686020225,18411.8923204384,18515.1954332337,18619.0286744373,18723.4799709537,18828.5452442684,18934.1303856218,19040.3671981944,19147.1619130432,19254.6002462226,19362.5893584207,19471.2143309532,19580.4271248147,19690.2679273987,19800.7327338651,19911.8176141444,20023.5187079661,20135.8322325195,20248.7972356471,20362.4095200092,20476.622587833,20591.4751529632,20707.0052641519
DE,237515.00000000015,236351.99999999985,245658.9999999998,257446.99999999985,278470.0,280699.0000000002,288955.00000000023,285207.0,290918.00000000006,303744.0000000001,310113.9999999998,330007.99999999994,343438.99999999994,341550.0000000002,307575.0000000002,313096.99999999977,323848.0000000003,307106.0000000001,305781.0000000002,310142.0000000002,314816.00000000023,315768.0,317539.364457686,319320.665760517,321111.959621475,322913.302108017,324724.749566964,326546.358758554,328378.186610198,330220.290447937,332072.727963367,333935.557098804,335808.836156808,337692.623722453,339586.978815371,341491.960658271,343407.62888882,345334.043447415,347271.264613546,349219.353000904,351178.369595182,353148.37569877,355129.432958261,357121.60334087,359124.949198791,361139.53324373,363165.41848981,365202.668365611,367251.346597366,369311.517324696,371383.244982321,373466.59442107,375561.63081072,377668.419743872,379787.027117579,381917.519257885,384059.962840042,386214.424899055,388380.972826764,390559.674439517,392750.597937896,394953.811857203,397169.385161268,399397.387162825,401637.887594661,403890.956553192,406156.66457764,408435.082542257,410726.281736995,413030.333895794,415347.311081318,417677.285834878,420020.331065958,422376.520065973,424745.926596227,427128.624751038,429524.689162516,431934.19479058,434357.217047619,436793.831692179,439244.115068463,441708.143734504,444185.994922453,446677.746083265,449183.475260892,451703.260832091,454237.181649779,456785.316977977,459347.746617664,461924.550702252,464515.809902259,467121.605317869,469742.018403014,472377.131302987,475027.026348635,477691.786545927,480371.49522457,483066.236280352,485776.094074973,488501.153337998,491241.49934934,493997.217923666,496768.395209425,499555.117996125,502357.473497092,505175.549337556
EL,12356.000000000005,12844.000000000011,12739.99999999999,13205.999999999995,13804.000000000002,14291.000000000002,14423.999999999995,14700.000000000002,14700.000000000002,15473.000000000005,15860.999999999989,16510.00000000001,17358.999999999993,16960.000000000007,16939.999999999996,20145.999999999985,20426.000000000015,20415.99999999999,19203.000000000004,19223.000000000004,19763.000000000015,24560.0,24697.7748650867,24836.3260606695,24975.6487348677,25115.7952181977,25256.6464278377,25398.3683086514,25540.8422126833,25684.1198537029,25828.1962092954,25973.0663486162,26118.7808070755,26265.2789913294,26412.6111541153,26560.8266776869,26709.8108603965,26859.6135246015,27010.2836444156,27161.8156453496,27314.2040595061,27467.4435199617,27621.5287615561,27776.454618883,27932.2685803362,28088.9649996743,28246.5383342333,28404.9831499434,28564.3457551571,28724.5688347318,28885.6984584999,29047.7289428236,29210.7054576229,29374.5713446366,29539.3212419398,29705.0500786714,29871.7015278259,30039.2699015712,30207.7496194142,30377.2336664532,30547.6173779777,30718.9931040562,30891.3058494638,31064.5983292124,31238.8643672096,31414.0979011755,31590.3407369802,31767.5388815468,31945.7339552031,32124.9668744902,32305.1840034545,32486.3793707769,32668.6401499452,32851.9130729664,33036.1919188231,33221.5164945536,33407.8802249721,33595.2766533165,33783.7447647412,33973.232637067,34163.8240391385,34355.4671024592,34548.1999518832,34742.0157069536,34936.9076306523,35132.8691067681,35329.9811764498,35528.149192504,35727.4537015452,35927.8874692248,36129.4434029801,36332.1145434033,36535.9366911304,36740.8601595643,36946.9629088414,37154.2374161738,37362.6762886647,37572.2722806451,37783.0182852681,37994.9900323434,38208.1384359205,38422.4562705906,38638.0180740987,38854.7345589663,39072.7203077973,39291.886490652
ES,12471,12498.0,125200.0,125268.00000000012,134258.9999999999,148714.00000000012,161040.99999999988,184545.00000000012,192586.99999999994,220815.0,233218.9999999999,241757.99999999997,258869.00000000006,242978.00000000003,211891.00000000003,210064.0000000001,206839.99999999988,199204.99999999994,192594.00000000003,195763.0,209386.99999999994,216993.0,218210.314457285,219434.469526709,220665.422578886,221903.131849839,223148.150176927,224399.83845172,225658.745982498,226924.533500249,228197.451295183,229477.745368413,230764.789764223,232059.409431149,233361.268190117,234670.321162628,235986.808651516,237310.683823382,238641.900745159,239980.414350043,241326.739174275,242680.546492814,244041.790268328,245410.976783802,246787.505559171,248171.879922791,249564.050273457,250964.238933368,252371.855065481,253787.661254651,255211.337148253,256643.10061987,258082.635573526,259530.423436226,260986.411704181,262450.287206449,263922.784457596,265403.32827621,266892.128345574,268389.133705466,269894.806455856,271408.835963499,272931.424726704,274462.519084928,276002.066425041,277550.265645848,279107.312342853,280673.150411171,282247.477536339,283830.981579202,285423.112880359,287024.307697797,288634.265806549,290253.418102218,291881.706358634,293519.073409649,295165.702047818,296821.534178204,298486.512834534,300161.053495754,301844.860616897,303538.11103996,305240.746181007,306953.171685252,308675.094514843,310406.685974659,312147.885911248,313898.862931213,315659.782896229,317430.583163216,319211.202330834,321002.027555312,322802.548420794,324613.372414139,326434.434050081,328265.669214672,330107.233797865,331958.845314374,333821.094210025,335693.696597513,337576.803862654,339470.564920206,341374.91289034,343289.994568811,345215.742904465,347152.302531759
FR,157084.00000000012,159200.0000000001,161105.99999999997,167763.99999999985,182357.00000000006,184240.00000000012,189022.99999999988,188596.00000000006,189225.99999999994,197412.00000000006,193153.0000000001,198829.0,207024.99999999994,195515.0000000001,166052.0000000001,174408.99999999994,177992.9999999999,165807.99999999994,165314.99999999988,159529.99999999994,148713.00000000006,151213.0,152061.305717516,152914.192091141,153772.086012729,154634.502667303,155501.866130246,156374.593241167,157251.754594506,158133.770126311,159020.610145695,159912.686045819,160809.963528196,161711.972191728,162619.11951932,163531.373019272,164448.700853267,165371.50093614,166298.882439048,167231.671798808,168169.834044679,169113.334838066,170062.140477941,171016.217888988,171975.534649002,172940.058963145,173910.172312755,174885.838776997,175867.023075476,176853.283314801,177845.40191168,178843.340273936,179846.658461893,180855.324520667,181870.104171365,182890.162744556,183916.260383507,184947.964053913,185985.239908011,187028.83468547,188077.929234471,189132.878317869,190194.03065577,191260.962540938,192333.639227478,193412.786408203,194497.604354824,195588.813580909,196685.997335231,197789.119498155,198898.888015739,200014.518329193,201136.713414837,202265.063510827,203399.5313122,204540.443913619,205688.122864735,206841.802544466,208002.166561116,209168.814498871,210342.42059006,211522.230114222,212708.912685706,213902.072585048,215102.020514412,216308.713631406,217522.109918449,218742.51331351,219969.535268134,221203.478333686,222444.29925819,223692.294809055,224947.081170054,226208.953887009,227477.868539991,228753.781654042,230037.314319651,231327.424705858,232625.392235802,233930.181084282,235242.404296656,236562.01492803,237889.29018617,239223.5368285,240565.676331112,241915.018574801
IE,5492.999999999995,6316.0,6998.000000000005,8203.0,10275.000000000007,12347.999999999993,12405.000000000004,14447.999999999993,15898.00000000001,17289.0,18152.000000000015,17686.0,19146.0,17290.00000000001,12068.000000000011,10923.999999999995,9941.000000000005,9895.000000000007,9138.000000000005,9772.000000000002,9844.000000000007,11564.0,11628.8672759369,11694.0933562932,11759.7034764491,11825.6678149085,11892.0114564715,11958.7184457184,12025.8000608817,12093.2673914859,12161.1046158179,12229.3227964744,12297.9328094874,12366.9189675202,12436.292125655,12506.0498767673,12576.202880398,12646.7616140933,12717.697664568,12789.0473565837,12860.7824288885,12932.9260610869,13005.4756726766,13078.4413574198,13151.8078964518,13225.5853727127,13299.7712358661,13374.3878027787,13449.4075882522,13524.8527929913,13600.7207409542,13677.0210031667,13753.750846088,13830.8955019384,13908.4886047898,13986.5152787311,14064.9728405514,14143.8705377536,14223.2174614518,14302.9989993499,14383.2359725176,14463.9254964291,14545.0647423681,14626.6509341311,14708.7043957524,14791.2221575627,14874.1898852651,14957.627615033,15041.5437181301,15125.9126044038,15210.7652558311,15296.0985966712,15381.8984793521,15468.1953245842,15554.9638753805,15642.2232494146,15729.9703709698,15818.2131080756,15906.948358101,15996.1838682983,16085.9165160829,16176.1539308555,16266.8929708578,16358.1517607159,16449.9058778374,16542.1944163253,16634.9825126198,16728.3088799193,16822.1492973924,16916.5109659318,17011.4112598201,17106.836525192,17202.8039450345,17299.2999537516,17396.3516606948,17493.9353835846,17592.0679444006,17690.7559039844,17789.995778792,17889.7940404856,17990.1472075847,18091.071481539,18192.5534900011,18294.6092705558,18397.23522733,18500.4374677749
IT,195326.99999999997,198295.00000000015,153600.0000000001,164150.9999999999,152053.0,158561.9999999999,154786.9999999999,160036.00000000015,143179.9999999999,158183.99999999994,171554.00000000012,155426.00000000006,152398.00000000003,165385.00000000006,156341.0000000001,162508.99999999994,135148.0,118100.00000000004,120160.99999999993,110410.99999999996,110459.00000000007,106581.0,107178.887676959,107780.129335246,108384.743764141,108992.749910337,109604.166775316,110219.013522611,110837.309381654,111459.073678932,112084.32589306,112713.085596138,113345.372453047,113981.206232675,114620.606872629,115263.594345166,115910.188798109,116560.410445577,117214.279647785,117871.816851975,118533.042651619,119197.977729956,119866.642902874,120539.059078806,121215.247307231,121895.228749529,122579.024696462,123266.656529202,123958.145762783,124653.514061529,125352.783167643,126055.974955572,126763.111445408,127474.214752527,128189.30714866,128908.410984992,129631.548796244,130358.74319098,131090.016924626,131825.392890899,132564.894093734,133308.543688163,134056.364929376,134808.381224613,135564.616109157,136325.093234686,137089.83642647,137858.869590373,138632.21679739,139409.902261567,140191.950300436,140978.385400819,141769.232179439,142564.515359552,143364.259848636,144168.490650007,144977.232961659,145790.512067953,146608.35344351,147430.782649133,148257.825459999,149089.507701409,149925.855459359,150766.894863944,151612.652254179,152463.154103383,153318.42700319,154178.497729115,155043.393195451,155913.140471591,156787.766768214,157667.299464056,158551.766056557,159441.194271627,160335.611894058,161235.046941862,162139.527544785,163049.082017779,163963.73883108,164883.526591128,165808.474078464,166738.610261635,167673.964213712,168614.565227221,169560.442739414,170511.626334182
LX,5200,6220.0,5100.0,4602.000000000001,6311.000000000004,7609.000000000003,8777.000000000002,9431.000000000005,9642.999999999993,9954.0,8914.999999999998,8879.000000000004,9222.000000000005,9566.000000000004,8400.000000000002,8657.0,8836.999999999998,6550.0,7214.000000000005,7911.999999999998,7095.000000000001,4508.581036,4533.87650201873,4559.31136181872,4584.88476521449,4610.61234011323,4636.47666617162,4662.4769454719,4688.62864120952,4714.93077519211,4741.38238786507,4767.98253681057,4794.73029766039,4821.62476326518,4848.68087315824,4875.88178988613,4903.2266606975,4930.73027157572,4958.3916002759,4986.20964313011,5014.1834158781,5042.31195262767,5070.59430599188,5099.04476573127,5127.64707027787,5156.40032843589,5185.33370961995,5214.41605506452,5243.67631117789,5273.08361979857,5302.6667060946,5332.40970718734,5362.32630362517,5392.41537127122,5422.66129896093,5453.07763658724,5483.66332051451,5514.43162586642,5545.36708583031,5576.46869847937,5607.74961440577,5639.20868654279,5670.84478976899,5702.65681963215,5734.64369335033,5766.81817676027,5799.16528092457,5831.69769411174,5864.41423839638,5897.31375885405,5930.39512118098,5963.65721415056,5997.11236049618,6030.75931649081,6064.58356547448,6098.61056018913,6132.82577216494,6167.22804895097,6201.81626105527,6236.61532020516,6271.59789641241,6306.77582359153,6342.16073694143,6377.73849791867,6413.50794708088,6449.49329520751,6485.6678586602,6522.05567547863,6558.64284142639,6595.42814897504,6632.43521812201,6669.63787156058,6707.04726732917,6744.67437652729,6782.50560407073,6820.56399791872,6858.82388119877,6897.29611199173,6935.99136332851,6974.89627481513,7014.02146642229,7053.36555641468,7092.93895700512,7132.72846703522,7172.74445068469,7212.97386028853
NL,29803.999999999985,30595.999999999996,31567.99999999998,35341.00000000001,34085.000000000015,33514.00000000001,32494.999999999993,34776.000000000015,37093.0,36723.00000000001,36090.99999999998,35496.00000000002,37091.99999999998,36333.00000000001,30113.99999999998,30343.999999999978,28717.999999999996,31845.00000000002,32033.000000000025,32075.000000000007,33953.00000000001,32960.0,33144.8957855098,33330.8287839265,33517.8048091648,33705.8297151353,33894.9093821306,34085.0497346051,34276.2567158126,34468.5363089066,34661.8945351811,34856.3374438869,35051.8711197621,35248.5016781842,35446.2352793817,35645.07810544,35845.0363814429,36046.1163635523,36248.3243446188,36451.666650491,36656.1496471265,36861.7797336484,37068.5633446663,37276.5069481626,37485.6170530349,37695.900204084,37907.3629798102,38120.0120003439,38333.8346414307,38548.8346570929,38765.1716571303,38982.553506653,39201.2565608522,39421.1316828308,39642.3115904401,39864.6486666313,40088.4131299786,40313.181425505,40539.36067489,40766.8044745667,40995.5049931271,41225.4545458592,41456.6456022976,41689.2050411648,41923.1238787378,42158.2601907337,42394.8720975604,42632.6854721027,42871.8250644823,43112.2826915974,43354.1805501038,43597.3794084551,43841.8715579301,44087.9065241433,44335.2175950417,44583.9249625942,44834.019894973,45085.4938184573,45338.3383284591,45592.6704011456,45848.4803357803,46105.6344484267,46364.3722108462,46624.4366894768,46885.9430147181,47149.0043345018,47413.4889246039,47679.3882896055,47946.9349336291,48215.8777860795,48486.3282448122,48758.3957974419,49031.8330455624,49306.9859988508,49583.4908386965,49861.690849716,50141.34194505,50422.6674133722,50705.540860307,50989.952859007,51276.0084530933,51563.697108036,51852.8951854506,52143.819605677,52436.2343308278,52730.4664980007
