,1 Price of Vehicles,2 Std of Price,3 Fuel Cost,4 Std Fuel Cost,5 O&M Costs,6 Std O&M Costs,7 Discount Rate,8 Service Lifetime,9 Energy Use,10 Loads,11 Cumulative Seats,12 Fuel Consumption,13 Gam,14 CO2 Emissions,15 Learning Exponent,16 Turnover Rate,17 Fuel price per litre,18 empty,19 gCO2/litre,20 kg/l
Petrol Small,25000,22000,0.14850000000000002,0.028350000000000004,0.171,0.1,0.05,15,3.7620000000000005,3.6041666666666665,378000000,11,1.5,253,,10,1.35,,2300,
Petrol Large,50000,30000,0.4698,0.0729,0.171,0.1,0.05,15,11.9016,9.8,378000000,34.8,0,800.4,,10,1.35,,2300,
Petrol adv small,25000,22000,0.14850000000000002,0.028350000000000004,0.171,0.1,0.05,15,3.0096000000000003,3.6041666666666665,378000000,11,0,202.4,,10,1.35,,2300,
Petrol adv large,50000,30000,0.4698,0.0729,0.171,0.1,0.05,15,9.52128,9.8,378000000,34.8,0,640.32,,10,1.35,,2300,
Diesel Small,27665.624646016407,10822.882263981255,0.1278,0.07383999999999999,0.171,0.1,0.05,15,3.474,3.6041666666666665,378000000,9,-1.5,239.4,,10,1.42,,2660,
Diesel Large,114000,45000,0.4118,0.10081999999999999,0.171,0.1,0.05,15,11.194,9.8,378000000,29,0,771.4,,10,1.42,,2660,
Diesel adv small,27665.624646016407,10822.882263981255,0.1278,0.07383999999999999,0.171,0.1,0.05,15,2.7792000000000003,3.6041666666666665,378000000,9,0,191.52,,10,1.42,,2660,
Diesel adv large,114000,45000,0.4118,0.10081999999999999,0.171,0.1,0.05,15,8.955200000000001,9.8,378000000,29,0,617.1200000000001,,10,1.42,,2660,
CNG/LPG Small,30065.624646016407,5411.441131990628,0.08208,0.016800000000000002,0.171,0.1,0.05,15,0.9234,3.6041666666666665,378000000,10.26,0,170.829,,10,0.8,,1665,
CNG/LPG Large,116400,15000,0.264,0.0432,0.171,0.1,0.05,15,2.97,9.8,378000000,33,0,549.45,,10,0.8,,1665,
Hybrid Small,34235,45000,0.10224,0.02982,0.171,0.1,0.05,15,2.4624000000000006,3.6041666666666665,300000,7.2,0,191.52,,10,1.42,,2660,
Hybrid Large,159600,11330,0.32944,0.07668,0.171,0.1,0.05,15,7.934400000000002,9.8,300000,23.200000000000003,0,617.1200000000001,,10,1.42,,2660,
Electricity Small,50000,28000,0.0013621875,0.0030513000000000003,0.34,0.1,0.05,15,0.02109375,3.6041666666666665,20000,0.9375,-3,0,,10,0.1453,,0,
Electricity Large,186000,12330,0.00202511875,0.007846200000000001,0.171,0.1,0.05,15,0.031359374999999995,9.8,20000,1.3937499999999998,0,0,,10,0.1453,,0,
Bioethano Small,30000,22000,0.0836,0.015960000000000002,0.171,0.1,0.05,15,2.8215,3.6041666666666665,378000000,11,0,177.1,,10,0.76,,1610,
Bioethano Large,60000,30000,0.26448,0.04104,0.171,0.1,0.05,15,8.9262,9.8,378000000,34.8,0,560.28,,10,0.76,,1610,
Biodiesel Small,30165.624646016407,5411.441131990628,0.052199999999999996,0.01218,0.171,0.1,0.05,15,2.97,3.6041666666666665,378000000,9,0,235.8,,10,0.58,,2620,
Biodiesel Large,119000,22500,0.16820000000000002,0.03132,0.171,0.1,0.05,15,9.57,9.8,378000000,29,0,759.8,,10,0.58,,2620,
Hydrogen Large,82996.87393804922,1000,0,0.0030513000000000003,0.171,0.1,0.05,15,0,3.6041666666666665,100,0,0,0,,10,0.1453,,0,
Hydrogen Small,228000,1000,0,0.0030513000000000003,0.171,0.1,0.05,15,0,9.8,100,0,0,0,,10,0.1453,,0,
