RTI,FTTI,1 Purchase cost (USD/veh),2 Std of purchase cost,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 Lifetime (y),9 Energy use (MJ/vkm),10 Loads (t or passengers/veh),11 Gamma,12 CO2 emissions (gCO2/km),13 Learning exponent,14 Turnover rate (1/y),15 Average mileage (km/y),16 Battery capacity (kWh),17 Battery cost ($/kWh)
1 Belgium (BE),Petrol TWV,9999.0,9999.0,0.03600431978702545,0.009001079946756363,9999.0,9999.0,0.0949999988079071,7.0,0.8037093877792358,9999.0,0.0,62.74177932739258,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
1 Belgium (BE),Petrol LCV,54106.69921875,13526.6748046875,0.1480994075536728,0.0370248518884182,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.3059611320495605,0.6000000238418579,0.0,216.64950561523438,-0.07400000095367432,0.20000000298023224,20961.0,0.0,0.0
1 Belgium (BE),Petrol MDT,84406.453125,21101.61328125,0.39557671546936035,0.09889417886734009,0.17065252363681793,0.05119575932621956,0.0949999988079071,15.0,8.830292701721191,6.840000152587891,0.23999999463558197,619.1499633789062,-0.07400000095367432,0.20000000298023224,28393.0,0.0,0.0
1 Belgium (BE),Petrol HDT,164484.359375,49345.30859375,0.48111656308174133,0.12027914077043533,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,10.739763259887695,18.40999984741211,-0.05999999865889549,753.4771728515625,-0.07400000095367432,0.2142857164144516,51265.0,0.0,0.0
1 Belgium (BE),Petrol Bus,190000.0,57000.0,0.7857550382614136,0.1964387595653534,0.25,0.07500000298023224,0.0949999988079071,14.0,17.54007911682129,17.860000610351562,0.019999999552965164,1232.0614013671875,-0.07400000095367432,0.2142857164144516,38680.0,0.0,0.0
1 Belgium (BE),Adv petrol TWV,10998.900390625,10998.900390625,0.027003241702914238,0.0067508104257285595,9999.0,9999.0,0.0949999988079071,7.0,0.6027820110321045,9999.0,0.0,47.05633544921875,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
1 Belgium (BE),Adv petrol LCV,59517.3671875,14879.341796875,0.11107455939054489,0.027768639847636223,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,2.479470729827881,0.6000000238418579,0.0,162.4871368408203,-0.07400000095367432,0.20000000298023224,20961.0,0.0,0.0
1 Belgium (BE),Adv petrol MDT,92847.09375,23211.7734375,0.29668253660202026,0.07417063415050507,0.17065252363681793,0.05119575932621956,0.0949999988079071,15.0,6.622719764709473,6.840000152587891,0.0,464.36248779296875,-0.07400000095367432,0.20000000298023224,28393.0,0.0,0.0
1 Belgium (BE),Adv petrol HDT,180932.796875,54279.83984375,0.3608374297618866,0.09020935744047165,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,8.05482292175293,18.40999984741211,0.0,565.1078491210938,-0.07400000095367432,0.2142857164144516,51265.0,0.0,0.0
1 Belgium (BE),Adv petrol Bus,209000.0,62700.0,0.5893162488937378,0.14732906222343445,0.25,0.07500000298023224,0.0949999988079071,14.0,13.155059814453125,17.860000610351562,0.0,924.0460205078125,-0.07400000095367432,0.2142857164144516,38680.0,0.0,0.0
1 Belgium (BE),Diesel TWV,9999.0,9999.0,0.022127171978354454,0.0055317929945886135,9999.0,9999.0,0.0949999988079071,7.0,0.5534936785697937,9999.0,0.0,41.78538513183594,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
1 Belgium (BE),Diesel LCV,54106.69921875,13526.6748046875,0.14755083620548248,0.03688770905137062,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.6908674240112305,0.6000000238418579,-0.05999999865889549,224.44993591308594,-0.07400000095367432,0.20000000298023224,20961.0,0.0,0.0
1 Belgium (BE),Diesel MDT,84406.453125,21101.61328125,0.3596040606498718,0.08990101516246796,0.17065252363681793,0.05119575932621956,0.0949999988079071,15.0,8.995210647583008,6.840000152587891,0.1599999964237213,600.1095581054688,-0.07400000095367432,0.20000000298023224,28393.0,0.0,0.0
1 Belgium (BE),Diesel HDT,164484.359375,49345.30859375,0.45937269926071167,0.11484317481517792,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,11.490843772888184,18.40999984741211,0.6200000047683716,764.3776245117188,-0.07400000095367432,0.2142857164144516,51265.0,0.0,0.0
1 Belgium (BE),Diesel Bus,190000.0,57000.0,0.7265723347663879,0.18164308369159698,0.25,0.07500000298023224,0.0949999988079071,14.0,18.174631118774414,17.860000610351562,0.03999999910593033,1238.1478271484375,-0.07400000095367432,0.2142857164144516,38680.0,0.0,0.0
1 Belgium (BE),Adv diesel TWV,10998.900390625,10998.900390625,0.016595378518104553,0.004148844629526138,9999.0,9999.0,0.0949999988079071,7.0,0.4151202440261841,9999.0,0.0,31.339038848876953,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
1 Belgium (BE),Adv diesel LCV,59517.3671875,14879.341796875,0.11066313087940216,0.02766578271985054,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,2.768150568008423,0.6000000238418579,0.0,168.3374481201172,-0.07400000095367432,0.20000000298023224,20961.0,0.0,0.0
1 Belgium (BE),Adv diesel MDT,92847.09375,23211.7734375,0.2697030305862427,0.06742575764656067,0.17065252363681793,0.05119575932621956,0.0949999988079071,15.0,6.746407985687256,6.840000152587891,0.0,450.0821838378906,-0.07400000095367432,0.20000000298023224,28393.0,0.0,0.0
1 Belgium (BE),Adv diesel HDT,180932.796875,54279.83984375,0.34452953934669495,0.08613238483667374,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,8.618133544921875,18.40999984741211,0.0,573.2832641601562,-0.07400000095367432,0.2142857164144516,51265.0,0.0,0.0
1 Belgium (BE),Adv diesel Bus,209000.0,62700.0,0.5449292659759521,0.13623231649398804,0.25,0.07500000298023224,0.0949999988079071,14.0,13.630973815917969,17.860000610351562,0.0,928.6109008789062,-0.07400000095367432,0.2142857164144516,38680.0,0.0,0.0
1 Belgium (BE),CNG/LPG TWV,9999.0,9999.0,0.017616556957364082,0.004404139239341021,9999.0,9999.0,0.0949999988079071,7.0,0.38204583525657654,9999.0,0.0,47.107852935791016,-0.07400000095367432,0.4285714328289032,9999.0,0.0,0.0
1 Belgium (BE),CNG/LPG LCV,54106.69921875,13526.6748046875,0.15293577313423157,0.03823394328355789,0.11903473734855652,0.035710420459508896,0.0949999988079071,15.0,3.3166792392730713,0.6000000238418579,-0.3100000023841858,186.4816131591797,-0.07400000095367432,0.20000000298023224,20961.0,0.0,0.0
1 Belgium (BE),CNG/LPG MDT,84406.453125,21101.61328125,0.46162882447242737,0.11540720611810684,0.17065252363681793,0.05119575932621956,0.0949999988079071,15.0,10.01122760772705,6.840000152587891,-0.23000000417232513,614.5477294921875,-0.07400000095367432,0.20000000298023224,28393.0,0.0,0.0
1 Belgium (BE),CNG/LPG HDT,164484.359375,49345.30859375,0.5537846684455872,0.1384461671113968,0.20019479095935822,0.060058433562517166,0.0949999988079071,14.0,12.009787559509277,18.40999984741211,-0.07000000029802322,734.0113525390625,-0.07400000095367432,0.2142857164144516,51265.0,0.0,0.0
1 Belgium (BE),CNG/LPG Bus,190000.0,57000.0,0.9235122799873352,0.2308780699968338,0.25,0.07500000298023224,0.0949999988079071,14.0,20.027976989746094,17.860000610351562,0.05999999865889549,1250.58056640625,-0.07400000095367432,0.2142857164144516,38680.0,0.0,0.0
1 Belgium (BE),PHEV TWV,9999.0,9999.0,0.023483822122216225,0.005870955530554056,9999.0,9999.0,0.0949999988079071,7.0,0.5874292254447937,9999.0,0.0,43.600067138671875,-0.0892999991774559,0.4285714328289032,9999.0,0.25,151.0
